Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2013-08-29, UNC, South Carolina, +11.0, -11.0, +0.0
2013-08-29, UNLV, Minnesota, +14.0, -14.0, +0.0
2013-08-29, Tulsa, Bowling Green, +4.5, -4.5, +0.0
2013-08-29, Akron, UCF, +21.5, -21.5, +0.0
2013-08-29, Utah State, Utah, +2.5, -2.5, +0.0
2013-08-29, Ole Miss, Vanderbilt, -3.0, +3.0, +0.0
2013-08-29, Rutgers, Fresno State, +10.5, -10.5, +0.0
2013-08-29, USC, Hawaii, -21.5, +21.5, +0.0
2013-08-30, W Michigan, Michigan State, +26.5, -26.5, +0.0
2013-08-30, FAU, Miami (FL), +32.5, -32.5, +0.0
2013-08-30, Texas Tech, SMU, -6.0, +6.0, +0.0
2013-08-31, UMass, Wisconsin, +44.5, -44.5, +0.0
2013-08-31, Cent Michigan, Michigan, +31.5, -31.5, +0.0
2013-08-31, Buffalo, OSU, +36.0, -36.0, +0.0
2013-08-31, LA Tech, North Carolina St, +13.5, -13.5, +0.0
2013-08-31, FIU, Maryland, +19.5, -19.5, +0.0
2013-08-31, N Illinois, Iowa, +3.0, -3.0, +0.0
2013-08-31, Temple, Notre Dame, +29.0, -29.0, +0.0
2013-08-31, BYU, UVA, -3.0, +3.0, +0.0
2013-08-31, Alabama, VT, -18.0, +18.0, +0.0
2013-08-31, UAB, Troy, +5.0, -5.0, +0.0
2013-08-31, Purdue, Cincinnati, +10.0, -10.0, +0.0
2013-08-31, Kentucky, W Kentucky, -4.5, +4.5, +0.0
2013-08-31, Miami (OH), Marshall, +17.0, -17.0, +0.0
2013-08-31, Miss St, Oklahoma State, +12.0, -12.0, +0.0
2013-08-31, Texas State, Southern Miss, +8.0, -8.0, +0.0
2013-08-31, New Mexico St, Texas, +42.0, -42.0, +0.0
2013-08-31, Toledo, Florida, +23.0, -23.0, +0.0
2013-08-31, LA-Lafayette, Arkansas, +10.5, -10.5, +0.0
2013-08-31, Washington St, Auburn, +15.0, -15.0, +0.0
2013-08-31, Idaho, North Texas, +14.5, -14.5, +0.0
2013-08-31, Penn State, Syracuse, -7.0, +7.0, +0.0
2013-08-31, Wyoming, Nebraska, +27.0, -27.0, +0.0
2013-08-31, UTSA, New Mexico, +3.5, -3.5, +0.0
2013-08-31, Georgia, Clemson, -1.5, +1.5, +0.0
2013-08-31, LSU, TCU, -4.0, +4.0, +0.0
2013-08-31, Boise State, Washington, +3.5, -3.5, +0.0
2013-08-31, Nevada, UCLA, +18.0, -18.0, +0.0
2013-08-31, Northwestern, Cal, -5.5, +5.5, +0.0
2013-08-31, UL Monroe, Oklahoma, +22.0, -22.0, +59.5
2013-08-31, Rice, Texas A&M, +27.0, -27.0, +0.0
2013-09-01, Ohio, Louisville, +20.0, -20.0, +0.0
2013-09-01, Colorado, Colorado State, +2.5, -2.5, +0.0
