Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2017-09-28, Texas, Iowa State, -5.0, +5.0, +61.0
2017-09-29, Miami (FL), Duke, -5.5, +5.5, +55.5
2017-09-29, Nebraska, Illinois, -6.0, +6.0, +47.5
2017-09-29, BYU, Utah State, -1.0, +1.0, +48.5
2017-09-29, USC, Washington St, -4.5, +4.5, +58.5
2017-09-30, Charlotte, FIU, +9.5, -9.5, +48.0
2017-09-30, Rice, Pitt, +20.5, -20.5, +52.5
2017-09-30, USF, ECU, -21.5, +21.5, +73.5
2017-09-30, Syracuse, UNC, +11.5, -11.5, +0.0
2017-09-30, E Michigan, Kentucky, +14.0, -14.0, +50.0
2017-09-30, Akron, Bowling Green, -3.0, +3.0, +57.5
2017-09-30, Buffalo, Kent State, -7.5, +7.5, +41.0
2017-09-30, Houston, Temple, -11.0, +11.0, +44.5
2017-09-30, Baylor, Kansas State, +14.5, -14.5, +56.5
2017-09-30, OSU, Rutgers, -28.0, +28.0, +54.5
2017-09-30, Iowa, Michigan State, +3.0, -3.0, +44.5
2017-09-30, FSU, Wake Forest, -7.5, +7.5, +47.0
2017-09-30, Northwestern, Wisconsin, +16.0, -16.0, +50.5
2017-09-30, Indiana, Penn State, +19.5, -19.5, +62.5
2017-09-30, Navy, Tulsa, -8.0, +8.0, +70.5
2017-09-30, UConn, SMU, +17.0, -17.0, +75.0
2017-09-30, Texas State, Wyoming, +17.0, -17.0, +45.0
2017-09-30, Colorado, UCLA, +7.5, -7.5, +67.0
2017-09-30, Cal, Oregon, +16.5, -16.5, +66.5
2017-09-30, Washington, Oregon State, -27.5, +27.5, +59.5
2017-09-30, Coastal Carolina, UL Monroe, +8.0, -8.0, +53.5
2017-09-30, South Carolina, Texas A&M, +7.0, -7.0, +50.0
2017-09-30, Troy, LSU, +20.5, -20.5, +48.0
2017-09-30, New Mexico St, Arkansas, +18.0, -18.0, +61.5
2017-09-30, San Jose State, UNLV, +16.5, -16.5, +64.0
2017-09-30, UTEP, Army, +22.0, -22.0, +49.5
2017-09-30, Vanderbilt, Florida, +9.0, -9.0, +40.5
2017-09-30, Georgia, Tennessee, -10.0, +10.0, +47.0
2017-09-30, North Texas, Southern Miss, +8.0, -8.0, +57.5
2017-09-30, Miami (OH), Notre Dame, +21.0, -21.0, +53.5
2017-09-30, Miss St, Auburn, +7.5, -7.5, +51.0
2017-09-30, UNC, Georgia Tech, +10.0, -10.0, +58.5
2017-09-30, Clemson, VT, -7.0, +7.0, +47.5
2017-09-30, Ole Miss, Alabama, +30.0, -30.0, +56.0
2017-09-30, Oklahoma State, Texas Tech, -10.0, +10.0, +83.0
2017-09-30, Arizona State, Stanford, +17.0, -17.0, +61.0
2017-09-30, Nevada, Fresno State, +8.5, -8.5, +59.0
2017-09-30, N Illinois, San Diego State, +10.0, -10.0, +47.5
2017-09-30, Memphis, UCF, +4.5, -4.5, +69.0
2017-09-30, Syracuse, North Carolina St, +14.0, -14.0, +62.0
2017-09-30, Marshall, Cincinnati, +3.0, -3.0, +52.5
2017-09-30, Air Force, New Mexico, -3.0, +3.0, +51.0
2017-09-30, Ball State, W Michigan, +13.5, -13.5, +55.0
2017-09-30, Cent Michigan, Boston College, +10.5, -10.5, +51.0
2017-09-30, Ohio, UMass, -4.0, +4.0, +53.5
2017-09-30, Maryland, Minnesota, +13.5, -13.5, +45.0
2017-09-30, South Alabama, LA Tech, +11.0, -11.0, +58.5
2017-09-30, Mid Tennessee, FAU, +2.5, -2.5, +59.0
2017-10-01, Colorado State, Hawaii, -7.0, +7.0, +66.0
