,All Games (Wins),All Games (Losses),All Games (Win %),at Home (Wins),at Home (Losses),at Home (Win %),on Road/Neutral Site (Wins),on Road/Neutral Site (Losses),on Road/Neutral Site (Win %),vs. Conference (Wins),vs. Conference (Losses),vs. Conference (Win %),vs. Non-Conference (Wins),vs. Non-Conference (Losses),vs. Non-Conference (Win %),vs. Ranked (AP) (Wins),vs. Ranked (AP) (Losses),vs. Ranked (AP) (Win %),vs. Unranked (AP) (Wins),vs. Unranked (AP) (Losses),vs. Unranked (AP) (Win %),vs. FBS (I-A) (Wins),vs. FBS (I-A) (Losses),vs. FBS (I-A) (Win %),vs. FCS (I-AA) (Wins),vs. FCS (I-AA) (Losses),vs. FCS (I-AA) (Win %),vs. FBS Winning (Wins),vs. FBS Winning (Losses),vs. FBS Winning (Win %),vs. FBS Non-Winning (Wins),vs. FBS Non-Winning (Losses),vs. FBS Non-Winning (Win %),vs. BCS AQ (Wins),vs. BCS AQ (Losses),vs. BCS AQ (Win %),vs. BCS non-AQ (Wins),vs. BCS non-AQ (Losses),vs. BCS non-AQ (Win %),vs. FBS Power 5 (Wins),vs. FBS Power 5 (Losses),vs. FBS Power 5 (Win %),vs. FBS non-Power 5 (Wins),vs. FBS non-Power 5 (Losses),vs. FBS non-Power 5 (Win %),in August/September (Wins),in August/September (Losses),in August/September (Win %),in October (Wins),in October (Losses),in October (Win %),in November (Wins),in November (Losses),in November (Win %),in December/January (Wins),in December/January (Losses),in December/January (Win %)
2009,8,5,1.6,5,1,5.0,3,4,0.75,5,3,1.67,3,2,1.5,0,3,0.0,8,2,4.0,7,5,1.4,1,0,0,2,4,0.5,5,1,5.0,0,1,0.0,7,4,1.75,0,1,0.0,7,4,1.75,3,1,3.0,2,3,0.67,2,1,2.0,1,0,0.0
2010,9,4,2.25,5,1,5.0,4,3,1.33,5,3,1.67,4,1,4.0,0,2,0.0,9,2,4.5,8,4,2.0,1,0,0,3,4,0.75,5,0,0.0,1,1,1.0,7,3,2.33,1,1,1.0,7,3,2.33,3,1,3.0,2,3,0.67,3,0,0.0,1,0,0.0
2011,7,6,1.17,4,3,1.33,3,3,1.0,3,4,0.75,4,2,2.0,0,2,0.0,7,4,1.75,5,6,0.83,2,0,0,0,6,0.0,5,0,0.0,0,1,0.0,5,5,1.0,0,0,0.0,5,6,0.83,2,1,2.0,2,3,0.67,3,1,3.0,0,1,0.0
2012,6,7,0.86,5,1,5.0,1,6,0.17,5,3,1.67,1,4,0.25,0,1,0.0,6,6,1.0,5,7,0.71,1,0,0,1,5,0.2,4,2,2.0,0,1,0.0,5,6,0.83,0,1,0.0,5,6,0.83,2,2,1.0,3,1,3.0,1,3,0.33,0,1,0.0
2013,2,10,0.2,2,5,0.4,0,5,0.0,0,8,0.0,2,2,1.0,0,1,0.0,2,9,0.22,1,10,0.1,1,0,0,0,7,0.0,1,3,0.33,0,1,0.0,1,9,0.11,0,0,0.0,1,10,0.1,1,4,0.25,0,3,0.0,1,3,0.33,0,0,0.0
2014,10,3,3.33,6,0,0.0,4,3,1.33,5,3,1.67,5,0,0.0,1,0,0.0,9,3,3.0,9,3,3.0,1,0,0,5,2,2.5,4,1,4.0,0,0,0.0,9,3,3.0,0,0,0.0,9,3,3.0,3,1,3.0,2,1,2.0,4,1,4.0,1,0,0.0
2015,8,6,1.33,6,0,0.0,2,6,0.33,6,3,2.0,2,3,0.67,0,2,0.0,8,4,2.0,7,6,1.17,1,0,0,1,6,0.17,6,0,0.0,0,3,0.0,7,3,2.33,0,2,0.0,7,4,1.75,2,1,2.0,3,2,1.5,3,1,3.0,0,2,0.0
2016,10,3,3.33,5,1,5.0,5,2,2.5,5,3,1.67,5,0,0.0,0,0,0.0,10,3,3.33,9,3,3.0,1,0,0,4,2,2.0,5,1,5.0,1,0,0.0,8,3,2.67,0,0,0.0,9,3,3.0,3,0,0.0,2,3,0.67,4,0,0.0,1,0,0.0
2017,5,7,0.71,3,3,1.0,2,4,0.5,4,4,1.0,1,3,0.33,0,1,0.0,5,6,0.83,4,7,0.57,1,0,0,1,6,0.17,3,1,3.0,0,2,0.0,4,5,0.8,0,1,0.0,4,6,0.67,1,3,0.33,3,1,3.0,1,3,0.33,0,0,0.0
2018,4,6,0.67,3,2,1.5,1,4,0.25,2,4,0.5,2,2,1.0,0,2,0.0,4,4,1.0,3,6,0.5,1,0,0,0,5,0.0,3,1,3.0,1,0,0.0,2,6,0.33,0,0,0.0,3,6,0.5,1,3,0.33,2,2,1.0,1,1,1.0,0,0,0.0
