Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
American Athletic,East,Temple,7,1,278,165,10,4,417,281,5,1,5,2,L2,0,2,0,2,2015
American Athletic,East,South Florida,6,2,275,157,8,5,437,298,5,1,3,3,L1,1,3,1,2,2015
American Athletic,East,Cincinnati,4,4,286,259,7,6,440,405,5,1,2,4,L1,0,2,0,2,2015
American Athletic,East,Connecticut,4,4,152,166,6,7,223,253,4,2,2,4,L2,1,2,1,2,2015
American Athletic,East,East Carolina,3,5,204,188,5,7,329,312,3,3,2,4,L1,0,3,0,3,2015
American Athletic,East,UCF,0,8,117,359,0,12,167,452,0,6,0,6,L12,0,3,0,3,2015
American Athletic,West,Houston,7,1,325,184,13,1,566,290,8,0,4,1,W3,3,0,3,0,2015
American Athletic,West,Navy,7,1,308,177,11,2,478,284,6,0,3,2,W2,0,2,0,2,2015
American Athletic,West,Memphis,5,3,313,229,9,4,522,355,5,1,4,2,L1,1,3,1,3,2015
American Athletic,West,Tulsa,3,5,272,322,6,7,483,518,3,3,3,3,L1,0,3,0,3,2015
American Athletic,West,SMU,1,7,199,375,2,10,333,548,2,5,0,5,L1,0,5,0,5,2015
American Athletic,West,Tulane,1,7,147,295,3,9,236,435,2,4,1,5,L2,0,3,0,3,2015
Atlantic Coast,Atlantic,Clemson,8,0,304,152,14,1,577,325,7,0,5,0,L1,4,1,4,1,2015
Atlantic Coast,Atlantic,Florida State,6,2,216,144,10,3,412,227,7,0,3,2,L1,1,2,1,2,2015
Atlantic Coast,Atlantic,Louisville,5,3,208,200,8,5,373,313,4,2,3,2,W2,0,3,0,3,2015
Atlantic Coast,Atlantic,NC State,3,5,219,237,7,6,432,336,3,3,4,2,L2,0,3,0,3,2015
Atlantic Coast,Atlantic,Syracuse,2,6,202,266,4,8,327,372,4,3,0,5,W1,0,2,0,2,2015
Atlantic Coast,Atlantic,Wake Forest,1,7,120,219,3,9,209,295,1,5,2,4,L6,0,4,0,4,2015
Atlantic Coast,Atlantic,Boston College,0,8,73,147,3,9,206,183,3,4,0,4,L8,0,3,0,3,2015
Atlantic Coast,Coastal,North Carolina,8,0,340,190,11,3,570,343,7,0,4,0,L2,0,2,0,2,2015
Atlantic Coast,Coastal,Pittsburgh,6,2,216,182,8,5,367,339,3,3,5,1,L2,0,4,0,4,2015
Atlantic Coast,Coastal,Miami,5,3,199,259,8,5,361,366,5,1,3,3,L1,0,3,0,3,2015
Atlantic Coast,Coastal,Duke,4,4,220,260,8,5,410,330,3,3,4,2,W2,0,2,0,2,2015
Atlantic Coast,Coastal,Virginia Tech,4,4,203,186,7,6,403,342,2,4,4,2,W2,0,2,0,2,2015
Atlantic Coast,Coastal,Virginia,3,5,217,233,4,8,309,386,4,3,0,5,L1,0,3,0,3,2015
Atlantic Coast,Coastal,Georgia Tech,1,7,188,250,3,9,351,309,3,4,0,5,L4,1,3,1,3,2015
Big 12,,Oklahoma,8,1,425,184,11,2,566,286,6,0,5,0,L1,3,1,3,1,2015
Big 12,,Oklahoma State,7,2,369,313,10,3,514,396,5,2,5,0,L3,1,3,1,3,2015
Big 12,,TCU,7,2,351,252,11,2,547,354,6,0,4,2,W2,2,2,2,2,2015
Big 12,,Baylor,6,3,384,261,10,3,625,368,4,2,4,1,W1,2,2,2,2,2015
Big 12,,West Virginia,4,5,269,255,8,5,442,320,6,1,1,4,W1,0,4,0,4,2015
Big 12,,Texas Tech,4,5,396,422,7,6,586,567,4,2,3,2,L1,0,5,0,5,2015
Big 12,,Texas,4,5,228,253,5,7,317,364,3,3,1,4,W1,2,3,2,3,2015
Big 12,,Kansas State,3,6,263,328,6,7,389,409,4,3,2,3,L1,0,4,0,4,2015
Big 12,,Iowa State,2,7,229,324,3,9,300,392,3,3,0,6,L4,0,6,0,5,2015
Big 12,,Kansas,0,9,108,430,0,12,183,553,0,7,0,5,L12,0,4,0,4,2015
Big Ten,East,Michigan State,7,1,268,170,12,2,417,304,7,0,4,1,L1,4,1,4,1,2015
Big Ten,East,Ohio State,7,1,282,119,12,1,464,196,6,1,5,0,W2,2,1,2,1,2015
Big Ten,East,Michigan,6,2,256,168,10,3,408,213,5,2,4,1,W1,2,3,2,3,2015
Big Ten,East,Penn State,4,4,190,184,7,6,301,284,6,1,0,4,L4,0,5,0,6,2015
Big Ten,East,Indiana,2,6,281,317,6,7,475,489,3,4,3,2,L1,1,4,0,4,2015
Big Ten,East,Maryland,1,7,178,282,3,9,296,413,2,4,1,4,W1,0,4,0,4,2015
Big Ten,East,Rutgers,1,7,170,334,4,8,325,419,2,5,2,3,L1,0,4,0,4,2015
Big Ten,West,Iowa,8,0,253,153,12,2,433,285,7,0,5,0,L2,2,2,2,2,2015
Big Ten,West,Northwestern,6,2,148,162,10,3,254,242,6,1,3,1,L1,2,2,2,2,2015
Big Ten,West,Wisconsin,6,2,194,119,10,3,348,178,5,2,4,0,W2,0,3,0,3,2015
Big Ten,West,Nebraska,3,5,245,227,6,7,427,362,3,4,2,3,W1,1,3,1,3,2015
Big Ten,West,Minnesota,2,6,194,239,6,7,292,327,3,4,2,3,W1,0,6,0,6,2015
Big Ten,West,Illinois,2,6,135,203,5,7,272,279,4,2,1,4,L3,0,4,0,4,2015
Big Ten,West,Purdue,1,7,180,297,2,10,301,438,2,5,0,5,L4,0,3,0,3,2015
Conference USA,East,Western Kentucky,8,0,405,188,12,2,620,363,6,0,5,2,W6,0,1,0,1,2015
Conference USA,East,Middle Tennessee,6,2,293,206,7,6,442,346,5,1,2,4,L1,0,2,0,1,2015
Conference USA,East,Marshall,6,2,259,133,10,3,407,231,6,0,3,3,W1,0,1,0,0,2015
Conference USA,East,Florida Atlantic,3,5,177,201,3,9,270,345,1,5,2,4,W1,0,1,0,1,2015
Conference USA,East,Florida Intl,3,5,216,270,5,7,306,358,4,1,1,6,L2,0,0,0,0,2015
Conference USA,East,Old Dominion,3,5,215,298,5,7,291,429,3,4,2,3,L2,0,0,0,0,2015
Conference USA,East,Charlotte,0,8,140,310,2,10,210,435,1,5,1,5,L10,0,1,0,1,2015
Conference USA,West,Southern Mississippi,7,1,348,143,9,5,559,358,5,1,4,3,L2,0,1,0,1,2015
Conference USA,West,Louisiana Tech,6,2,283,208,9,4,488,349,5,1,3,3,W1,0,1,0,1,2015
Conference USA,West,UT San Antonio,3,5,191,231,3,9,271,405,1,5,2,4,L1,0,1,0,1,2015
Conference USA,West,UTEP,3,5,138,214,5,7,248,395,3,2,2,5,W1,0,1,0,1,2015
Conference USA,West,Rice,3,5,174,271,5,7,313,430,3,3,2,4,W1,0,1,0,1,2015
Conference USA,West,North Texas,1,7,146,312,1,11,182,495,1,4,0,7,L4,0,1,0,1,2015
FBS Independents,,Notre Dame,,-,--,--,10,3,445,313,6,0,3,2,L2,2,3,2,3,2015
FBS Independents,,BYU,,-,--,--,9,4,438,297,6,0,3,2,L1,0,2,0,2,2015
FBS Independents,,Army,,-,--,--,2,10,248,313,1,5,1,4,L4,0,1,0,1,2015
Mid-American,East,Bowling Green,7,1,376,175,10,4,591,405,3,2,6,0,L1,0,1,0,1,2015
Mid-American,East,Ohio,5,3,204,219,8,5,358,329,5,1,3,3,L1,0,0,0,0,2015
Mid-American,East,Akron,5,3,191,170,8,5,311,279,3,3,4,2,W5,0,1,0,1,2015
Mid-American,East,Buffalo,3,5,201,251,5,7,320,331,2,4,3,3,L3,0,0,0,0,2015
Mid-American,East,Kent State,2,6,73,202,3,9,157,313,2,4,1,5,L5,0,1,0,1,2015
Mid-American,East,Miami (OH),2,6,142,226,3,9,215,384,2,4,1,5,W1,0,1,0,1,2015
Mid-American,East,UMass,2,6,178,228,3,9,266,377,1,5,2,4,W1,0,3,0,2,2015
Mid-American,West,Northern Illinois,6,2,293,205,8,6,436,387,5,1,3,3,L3,0,1,0,1,2015
Mid-American,West,Western Michigan,6,2,318,199,8,5,468,368,4,2,3,3,W2,0,2,0,2,2015
Mid-American,West,Toledo,6,2,305,190,10,2,420,249,4,2,5,0,W1,1,0,1,0,2015
Mid-American,West,Central Michigan,6,2,241,171,7,6,336,286,4,2,3,3,L1,0,2,0,2,2015
Mid-American,West,Ball State,2,6,168,283,3,9,277,430,2,4,1,5,L3,0,2,0,1,2015
Mid-American,West,Eastern Michigan,0,8,165,336,1,11,305,505,0,6,1,5,L10,0,1,0,1,2015
Mountain West,Mountain,Air Force,6,2,298,197,8,6,473,357,6,0,2,5,L3,0,2,0,2,2015
Mountain West,Mountain,New Mexico,5,3,217,221,7,6,389,369,5,2,2,3,L1,0,0,0,0,2015
Mountain West,Mountain,Utah State,5,3,285,209,6,7,377,347,5,1,1,5,L2,0,1,0,1,2015
Mountain West,Mountain,Boise State,5,3,305,194,9,4,508,263,4,2,4,2,W2,0,1,0,1,2015
Mountain West,Mountain,Colorado State,5,3,220,232,7,6,385,354,3,3,4,1,L1,0,1,0,1,2015
Mountain West,Mountain,Wyoming,2,6,159,274,2,10,228,408,2,4,0,6,W1,0,1,0,1,2015
Mountain West,West,San Diego State,8,0,289,90,11,3,450,230,6,1,4,2,W10,0,1,0,1,2015
Mountain West,West,Nevada,4,4,211,200,7,6,341,349,4,2,2,4,W1,0,1,0,1,2015
Mountain West,West,San Jose State,4,4,235,238,6,7,363,354,3,3,2,4,W1,0,0,0,0,2015
Mountain West,West,Fresno State,2,6,178,274,3,9,267,457,2,4,1,5,L2,0,1,0,2,2015
Mountain West,West,UNLV,2,6,223,293,3,9,343,404,2,4,1,5,L3,0,2,0,2,2015
Mountain West,West,Hawai'i,0,8,126,324,3,10,229,463,3,4,0,6,W1,0,1,0,1,2015
Pac-12,North,Stanford,8,1,368,219,12,2,529,316,6,1,4,1,W4,2,2,2,2,2015
Pac-12,North,Oregon,7,2,368,340,9,4,559,488,5,2,4,1,L1,1,3,1,3,2015
Pac-12,North,Washington State,6,3,304,274,9,4,409,360,4,2,4,2,W1,1,1,1,1,2015
Pac-12,North,California,4,5,285,298,8,5,493,399,5,1,2,4,W2,0,3,0,3,2015
Pac-12,North,Washington,4,5,261,180,7,6,398,244,4,3,2,3,W3,0,3,0,3,2015
