birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
1956-03-09,108-59,25,Mark Dantonio,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_dantonio_s.jpg,Michigan State,90-42,MSU
,24-15,188,Blake Anderson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/blake_anderson_s.jpg,Arkansas State,24-15,ARST
,67-30,2263,Bobby Wilder,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bobby_wilder_s.jpg,Old Dominion,67-30,ODU
,16-30,716,Brad Lambert,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/brad_lambert_s.jpg,Charlotte,16-30,CHA
,13-24,1432,Derek Mason,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/derek_mason_s.jpg,Vanderbilt,13-24,VAN
,78-33,45,Jim Harbaugh,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jim_harbaugh_s.jpg,Michigan,20-6,MICH
1964-10-13,119-26,82,Chris Petersen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chris_petersen_s.jpg,Washington,27-14,WASH
1971-06-21,46-31,1251,Dana Holgorsen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dana_holgorsen_s.jpg,West Virginia,46-31,WVU
,128-88,1196,Mark Whipple,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_whipple_s.jpg,Massachusetts,8-28,UMAS
1967-08-16,103-104,21,Dave Clawson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dave_clawson_s.jpg,Wake Forest,13-24,WAKE
1944-09-08,146-86,100,Frank Solich,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/frank_solich_s.jpg,Ohio,88-67,OHIO
,0-0,1548,Tom Allen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tom_allen_s.jpg,Indiana,0-0,IU
,6-7,479,Luke Fickell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/luke_fickell_s.jpg,Cincinnati,0-0,CIN
,38-14,577,Bryan Harsin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bryan_harsin_s.jpg,Boise State,31-9,BSU
,7-7,448,DJ Durkin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dj_durkin_s.jpg,Maryland,6-7,MD
,30-22,485,P.J. Fleck,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/pj_fleck_s.jpg,Minnesota,0-0,MINN
1951-10-31,205-61-1,91,Nick Saban,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/nick_saban_s.jpg,Alabama,114-19,ALA
1964-07-10,165-29,70,Urban Meyer,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/urban_meyer_s.jpg,Ohio State,61-6,OSU
,19-30,1104,Mark Stoops,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_stoops_s.jpg,Kentucky,19-30,UK
,4-8,891,Barry Odom,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/barry_odom_s.jpg,Missouri,4-8,MIZZ
1965-11-17,40-25,353,Paul Chryst,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/paul_chryst_s.jpg,Wisconsin,21-6,WIS
1964-02-19,55-56,2,Gary Andersen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/gary_andersen_s.jpg,Oregon State,6-18,ORST
,15-33,930,Paul Petrino,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/paul_petrino_s.jpg,Idaho,15-33,IDAH
,5-8,743,Seth Littrell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/seth_littrell_s.jpg,North Texas,5-8,UNT
1960-02-18,154-55,87,Mark Richt,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_richt_s.jpg,Miami (FL),9-4,MIA
1972-07-31,64-17,1046,David Shaw,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/david_shaw_s.jpg,Stanford,64-17,STAN
1968-11-10,90-52,631,Mark Hudspeth,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_hudspeth_s.jpg,Louisiana-Lafayette,24-31,ULL
1970-01-13,93-50,7,Bret Bielema,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bret_bielema_s.jpg,Arkansas,25-26,ARK
,4-8,2326,Mike Jinks,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_jinks_s.jpg,Bowling Green,4-8,BGSU
,22-4,594,Tom Herman,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tom_herman_s.jpg,Texas,0-0,TEX
,0-0,884,Jay Norvell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jay_norvell_s.jpg,Nevada,0-0,NEV
,24-26,1299,Kliff Kingsbury,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kliff_kingsbury_s.jpg,Texas Tech,24-26,TTU
1965-03-14,36-52,763,Mike MacIntyre,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_macIntyre_s.jpg,Colorado,20-31,COLO
1962-10-29,49-49,1888,Joey Jones,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/joey_jones_s.jpg,South Alabama,48-42,USA
1958-08-27,96-104,29,Randy Edsall,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/randy_edsall_s.jpg,Connecticut,0-0,UCON
1964-08-03,79-38,107,Kevin Sumlin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kevin_sumlin_s.jpg,Texas A&M,44-21,TAM
,32-18,1400,Scott Satterfield,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/scott_satterfield_s.jpg,Appalachian State,32-18,APP
1963-05-24,156-113-2,90,Rich Rodriguez,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rich_rodriguez_s.jpg,Arizona,36-29,ARIZ
1976-08-27,51-47,1123,Willie Taggart,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/willie_taggart_s.jpg,Oregon,0-0,ORE
1956-02-25,164-99-2,1885,Terry Bowden,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/terry_bowden_s.jpg,Akron,24-37,AKR
,38-23,2330,Tim Lester,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tim_lester_s.jpg,Western Michigan,0-0,WMU
,0-0,1383,Mike Sanford Jr.,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_sanford_s.jpg,Western Kentucky,0-0,WKY
,82-41,2710,Matt Viator,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_viator_s.jpg,Louisiana-Monroe,4-8,ULM
1954-09-30,62-61,1886,Bob Davie,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bob_davie_s.jpg,New Mexico,27-36,UNM
,7-17,2576,Tony Sanchez,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tony_sanchez_s.jpg,UNLV,7-17,UNLV
,6-7,508,Scott Frost,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/scott_frost_s.jpg,UCF,6-7,UCF
1966-09-26,77-53,16,Troy Calhoun,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/troy_calhoun_s.jpg,Air Force,77-53,AFA
,16-7,587,Clay Helton,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/clay_helton_s.jpg,USC,16-7,USC
1971-08-03,34-28,862,Will Muschamp,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/will_muschamp_s.jpg,South Carolina,6-7,SCAR
,0-0,1341,Shawn Elliott,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/shawn_elliott_s.jpg,Georgia State,0-0,GAST
1957-12-23,72-66,104,Rick Stockstill,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rick_stockstill_s.jpg,Middle Tennessee,72-66,MTSU
1961-10-25,230-88-2,56,Brian Kelly,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/brian_kelly_s.jpg,Notre Dame,59-31,ND
,50-39,840,Jeff Monken,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeff_monken_s.jpg,Army,14-23,ARMY
,7-17,1363,Chad Morris,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chad_morris_s.jpg,Southern Methodist,7-17,SMU
1967-08-12,104-50,44,Mike Gundy,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_gundy_s.jpg,Oklahoma State,104-50,OKST
,14-11,288,Neal Brown,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/neal_brown_s.jpg,Troy,14-11,TROY
1959-06-01,37-38,173,Steve Addazio,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/steve_addazio_s.jpg,Boston College,24-27,BC
,9-4,1064,Kalani Sitake,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kalani_sitake_s.jpg,Brigham Young,9-4,BYU
1966-02-21,101-53,69,Bronco Mendenhall,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bronco_mendenhall_s.jpg,Virginia,2-10,UVA
,118-56,2418,Craig Bohl,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/craig_bohl_s.jpg,Wyoming,14-24,WYO
