School,Hex1,RGB1,Hex2,RGB2,Hex3,RGB3,Hex4,RGB4
Air Force,#00529C,"0,82,156",#B3B5B8,"179,181,184",#000000,"0,0,0",,
Akron,#13214D,"19,33,77",#957D4C,"149,125,76",,,,
Alabama,#A8263B,"168,38,59",#8A9197,"138,145,151",#000000,"0,0,0",,
Appalachian State,#FFD303,"255,211,3",#000000,"0,0,0",,,,
Arizona,#0C234B,"12,35,75",#AB0520,"171,5,32",,,,
Arizona State,#8D0E3B,"141,14,59",#FDC727,"253,199,39",,,,
Arkansas,#A51E36,"165,30,54",#000000,"0,0,0",,,,
Arkansas State,#ED1B2E,"237,27,46",#000000,"0,0,0",,,,
Army,#D3AF7E,"211,175,126",#000000,"0,0,0",,,,
Auburn,#0C2E59,"12,46,89",#F5711F,"245,113,31",,,,
Ball State,#B93334,"185,51,52",#000000,"0,0,0",,,,
Baylor,#004933,"0,73,51",#FDBA31,"253,186,49",,,,
Boise State,#093479,"9,52,121",#F2632B,"242,99,43",,,,
Boston College,#84051A,"132,5,26",#C4B264,"196,178,100",#000000,"0,0,0",,
Bowling Green,#F15C26,"241,92,38",#532E1C,"83,46,28",,,,
Buffalo,#1976B6,"25,118,182",#000000,"0,0,0",,,,
Byu,#072D5E,"7,45,94",#FFFFFF,"255,255,255",,,,
California,#041E42,"4,30,66",#FFC72C,"255,199,44",,,,
Central Michigan,#6B0C25,"107,12,37",#FECD0B,"254,205,11",,,,
Charlotte,#00703C,"0, 112, 60",#ffffff,"255,255,255",,,,
Cincinnati,#EB1C24,"235,28,36",#000000,"0,0,0",,,,
Clemson,#F26635,"242,102,53",,,,,,
Coastal Carolina,#006f71,"0,111,113",#a27752,"162,119,82",#111111,"17,17,17",,
Colorado,#D0B87C,"208,184,124",#000000,"0,0,0",,,,
Colorado State,#115135,"17,81,53",#B5985A,"181,152,90",,,,
Connecticut,#0E142E,"14,20,46",#9EA6B3,"158,166,179",#EC3C46,"236,60,70",,
Duke,#00529B,"0,82,155",#FFFFFF,"255,255,255",,,,
East Carolina,#4F2684,"79,38,132",#FFC324,"255,195,36",,,,
