Team,Primary,Secondary
Buffalo Bills,#00133F,#EE2F2B
Miami Dolphins,#006B79,#FF642A
New England Patriots,#00295B,#EE2F2B
New York Jets,#174032,#FFFFFF
Baltimore Ravens,#2B025B,#F5A329
Cincinnati Bengals,#FF2700,#101B24
Cleveland Browns,#4C230E,#FF652B
Pittsburgh Steelers,#000000,#FFBF00
Houston Texans,#00133F,#D6303A
Indianapolis Colts,#00417E,#FFFFFF
Jacksonville Jaguars,#00839C,#101B24
Tennessee Titans,#002C4B,#EE2F2B
Denver Broncos,#002E4D,#FF652B
Kansas City Chiefs,#C60024,#000000
Oakland Raiders,#000000,#B5BBBD
San Diego Chargers,#05173C,#0F83B8
Dallas Cowboys,#002E4D,#FFFFFF
New York Giants,#003155,#FFFFFF
Philadelphia Eagles,#002F30,#EFEFEF
Washington Redskins,#8C001A,#FFBF00
Chicago Bears,#00133F,#FF652B
Detroit Lions,#006EA1,#F6F6F6
Green Bay Packers,#294239,#FFBF00
Minnesota Vikings,#240A67,#FFAC2C
Atlanta Falcons,#000000,#231F20
Carolina Panthers,#0097C6,#101B24
New Orleans Saints,#C6A876,#000B17
Tampa Bay Buccaneers,#665C50,#D6303A
Arizona Cardinals,#B10339,#FFC40D
St. Louis Rams,#00295B,#C1A05B
San Francisco 49ers,#940029,#D99E77
Seattle Seahawks,#030F1F,#283E67
