conference,icon_url,school,teamABBR,teamID
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MISS.png,Ole Miss,MISS,176017
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MSU.png,Michigan State,MSU,171100
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WYO.png,Wyoming,WYO,240727
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MINN.png,Minnesota,MINN,174066
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/GAST.png,Georgia State,GAST,139940
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ILL.png,Illinois,ILL,145637
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TOL.png,Toledo,TOL,206084
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/IU.png,Indiana,IU,151351
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/SJST.png,San Jose State,SJST,122755
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ULM.png,Louisiana-Monroe,ULM,159993
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TEX.png,Texas,TEX,228778
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CMU.png,Central Michigan,CMU,169248
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/USM.png,Southern Miss,USM,176372
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/SDST.png,San Diego State,SDST,122409
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TLSA.png,Tulsa,TLSA,207971
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/KU.png,Kansas,KU,155317
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/FSU.png,Florida State,FSU,134097
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UCON.png,Connecticut,UCON,129020
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UTST.png,Utah State,UTST,230728
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WVU.png,West Virginia,WVU,238032
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TXSA.png,UTSA,TXSA,229027
Ind.,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/UMAS.png,Massachusetts,UMAS,166629
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TULN.png,Tulane,TULN,160755
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/SCAR.png,South Carolina,SCAR,218663
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MIZZ.png,Missouri,MIZZ,178396
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CLEM.png,Clemson,CLEM,217882
