Ranking,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Final Rankings
1,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,USC
2,Ohio State,Miami,Miami,Miami,Miami,Miami,Miami,Miami,Miami,USC,USC,USC,USC,USC,LSU
3,Miami,Ohio State,Michigan,USC,Ohio State,Ohio State,Virginia Tech,Virginia Tech,USC,Florida State,LSU,LSU,LSU,LSU,Oklahoma
4,USC,USC,USC,Ohio State,Virginia Tech,Virginia Tech,Georgia,Georgia,Georgia,LSU,Ohio State,Ohio State,Michigan,Michigan,Ohio State
5,Michigan,Michigan,Ohio State,Virginia Tech,Florida State,Florida State,USC,USC,Florida State,Virginia Tech,Michigan,Michigan,Georgia,Georgia,Miami
6,Texas,Texas,Kansas State,Florida State,LSU,LSU,Washington State,Florida State,Washington State,Miami,Texas,Georgia,Texas,Texas,Michigan
7,Kansas State,Kansas State,Georgia,LSU,Tennessee,Arkansas,Florida State,Washington State,LSU,Ohio State,Georgia,Texas,Tennessee,Tennessee,Georgia
8,Georgia,Georgia,Virginia Tech,Tennessee,Arkansas,Georgia,Ohio State,Ohio State,Ohio State,Michigan,Washington State,Washington State,Ohio State,Ohio State,Iowa
9,Virginia Tech,Virginia Tech,Pittsburgh,Arkansas,Michigan,USC,Iowa,LSU,Michigan State,Georgia,Tennessee,Tennessee,Florida State,Florida State,Washington State
10,Pittsburgh,Florida State,Florida State,Oregon,USC,Nebraska,LSU,Purdue,Virginia Tech,Iowa,TCU,TCU,Miami,Miami,Miami (OH)
11,Florida State,Pittsburgh,LSU,Michigan,Georgia,Texas,Arkansas,Michigan State,Michigan,Texas,Purdue,Florida State,Florida,Purdue,Florida State
12,Tennessee,LSU,Tennessee,Georgia,Nebraska,Washington State,Northern Illinois,Northern Illinois,Nebraska,Washington State,Virginia Tech,Virginia Tech,Purdue,Iowa,Texas
13,LSU,Tennessee,Texas,Iowa,Texas,Tennessee,Purdue,Michigan,Iowa,TCU,Florida State,Florida,Iowa,Kansas State,Ole Miss
14,NC State,Wisconsin,Arkansas,Texas,Washington State,Iowa,Wisconsin,Nebraska,Oklahoma State,Michigan State,Miami,Miami,Kansas State,Miami (OH),Kansas State
15,Virginia,Notre Dame,Nebraska,Nebraska,Pittsburgh,Pittsburgh,Michigan State,TCU,TCU,Bowling Green,Florida,Ole Miss,Miami (OH),Washington State,Tennessee
16,Purdue,Arizona State,Arizona State,Kansas State,Kansas State,Northern Illinois,TCU,Iowa,Texas,Purdue,Pittsburgh,Purdue,Washington State,Florida,Boise State
17,Auburn,Colorado,Florida,Pittsburgh,Northern Illinois,Minnesota,Michigan,Auburn,Bowling Green,Florida,Ole Miss,Iowa,Ole Miss,Ole Miss,Maryland
18,Wisconsin,Nebraska,Iowa,Washington,Washington,Purdue,Nebraska,Oklahoma State,Purdue,Tennessee,Nebraska,Miami (OH),Boise State,Boise State,Purdue
19,Notre Dame,Florida,Washington,TCU,Oregon,TCU,Auburn,Texas,Tennessee,Nebraska,Minnesota,Kansas State,TCU,TCU,Nebraska
20,Arizona State,Wake Forest,TCU,Northern Illinois,TCU,Michigan,Texas,Wisconsin,Ole Miss,Ole Miss,Iowa,Boise State,Pittsburgh,Bowling Green,Minnesota
21,Florida,Washington,Alabama,Washington State,Minnesota,Michigan State,Tennessee,Arkansas,Missouri,Oklahoma State,Northern Illinois,Pittsburgh,Virginia Tech,West Virginia,Utah
22,Washington,TCU,Oregon,Purdue,Purdue,Kansas State,Oregon State,Tennessee,Northern Illinois,Missouri,Michigan State,Bowling Green,Bowling Green,Oklahoma State,Clemson
23,Nebraska,Iowa,Missouri,Missouri,Iowa,Wisconsin,Oklahoma State,Bowling Green,Florida,Northern Illinois,Miami (OH),Nebraska,Oklahoma State,Nebraska,Bowling Green
24,Colorado,NC State,Washington State,Minnesota,Florida,Oregon State,Missouri,Utah,Minnesota,Minnesota,Boise State,Oklahoma State,West Virginia,Maryland,Florida
25,TCU,South Carolina,Purdue,Florida,Michigan State,Virginia,Minnesota,Florida,Pittsburgh,Pittsburgh,Bowling Green,West Virginia,Nebraska,Minnesota,TCU
