Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 15,Final Rankings
1,USC,USC,USC,USC,USC,USC,USC,USC,USC,USC,USC,USC,USC,USC,Texas
2,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,USC
3,Tennessee,Michigan,LSU,LSU,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Miami,Miami,LSU,Penn State,Penn State
4,Michigan,Ohio State,Virginia Tech,Virginia Tech,LSU,Florida State,Florida State,Georgia,Georgia,Alabama,Alabama,LSU,Penn State,Ohio State,Ohio State
5,LSU,LSU,Tennessee,Florida,Florida,Georgia,Georgia,Alabama,Alabama,Miami,LSU,Penn State,Virginia Tech,Notre Dame,West Virginia
6,Ohio State,Tennessee,Florida,Florida State,Florida State,Ohio State,Alabama,Miami,Miami,LSU,Penn State,Notre Dame,Notre Dame,Oregon,LSU
7,Oklahoma,Virginia Tech,Georgia,Georgia,Georgia,Alabama,Miami,LSU,LSU,UCLA,Notre Dame,Virginia Tech,Ohio State,Auburn,Virginia Tech
8,Virginia Tech,Iowa,Florida State,Ohio State,Ohio State,Tennessee,Penn State,UCLA,UCLA,Notre Dame,Virginia Tech,Alabama,Oregon,Georgia,Alabama
9,Miami,Georgia,Ohio State,Louisville,Miami,Miami,Notre Dame,Notre Dame,Notre Dame,Florida State,Georgia,Ohio State,Auburn,Miami,Notre Dame
10,Florida,Florida,Notre Dame,Tennessee,Tennessee,California,LSU,Texas Tech,Florida State,Penn State,Ohio State,Oregon,Miami,LSU,Georgia
11,Iowa,Florida State,Louisville,Purdue,Michigan State,LSU,Florida,Florida State,Penn State,Georgia,Oregon,Auburn,UCLA,West Virginia,TCU
12,Louisville,Louisville,Purdue,Miami,California,Notre Dame,UCLA,Penn State,Ohio State,Ohio State,Florida,UCLA,West Virginia,Virginia Tech,Oregon
13,Georgia,Purdue,Miami,California,Notre Dame,Florida,Texas Tech,Boston College,Boston College,Florida,Texas Tech,West Virginia,Georgia,Alabama,Florida
14,Florida State,Miami,Michigan,Michigan,Arizona State,Wisconsin,Boston College,Ohio State,Oregon,Wisconsin,UCLA,Georgia,Alabama,TCU,Auburn
15,Purdue,Arizona State,California,Georgia Tech,Alabama,Texas Tech,Ohio State,Oregon,Wisconsin,Oregon,Auburn,TCU,TCU,Louisville,Wisconsin
16,Auburn,California,Georgia Tech,Notre Dame,Texas Tech,Penn State,Michigan State,Auburn,Florida,Texas Tech,West Virginia,Fresno State,Fresno State,Florida,UCLA
17,Texas A&M;,Georgia Tech,Boston College,Michigan State,Wisconsin,Arizona State,Tennessee,Tennessee,Texas Tech,Auburn,Florida State,Michigan,Louisville,UCLA,Miami
18,Boise State,Oklahoma,Arizona State,Arizona State,Minnesota,Boston College,California,Florida,West Virginia,West Virginia,TCU,Louisville,Texas Tech,Texas Tech,Boston College
19,California,Boston College,Texas Tech,Texas Tech,Virginia,Michigan State,Louisville,Wisconsin,Auburn,Boston College,Wisconsin,South Carolina,Florida,Boston College,Louisville
20,Arizona State,Notre Dame,Clemson,Alabama,UCLA,UCLA,Oregon,West Virginia,TCU,TCU,Fresno State,Florida,Georgia Tech,Michigan,Texas Tech
21,Texas Tech,Texas Tech,Oklahoma,Iowa,Boston College,Michigan,Auburn,TCU,Northwestern,Fresno State,Michigan,Texas Tech,Boston College,Wisconsin,Clemson
22,Boston College,TCU,Iowa,Iowa State,Purdue,Auburn,Minnesota,Michigan State,Fresno State,Michigan,Colorado,Florida State,Michigan,Florida State,Oklahoma
23,Pittsburgh,Virginia,Fresno State,Virginia,Iowa State,Louisville,Wisconsin,Virginia,Tennessee,California,Louisville,Boston College,Florida State,Clemson,Florida State
24,Fresno State,Fresno State,Iowa State,Oregon,Louisville,Georgia Tech,Colorado,Fresno State,California,Louisville,Georgia Tech,UTEP,Wisconsin,Georgia Tech,Nebraska
25,Virginia,Clemson,Virginia,UCLA,Georgia Tech,Oregon,TCU,California,Michigan,Colorado,Northwestern,Wisconsin,Clemson,Iowa,California
