Ranking,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
1,Texas,Texas,Alabama,Alabama,Alabama,Alabama,Alabama,Oklahoma
2,Alabama,Alabama,Texas Tech,Texas Tech,Texas Tech,Texas,Oklahoma,Florida
3,Penn State,Penn State,Penn State,Texas,Texas,Oklahoma,Texas,Texas
4,Oklahoma,Oklahoma,Texas,Florida,Florida,Florida,Florida,Alabama
5,USC,USC,Florida,Oklahoma,Oklahoma,USC,USC,USC
6,Oklahoma State,Georgia,Oklahoma,USC,USC,Utah,Utah,Utah
7,Georgia,Texas Tech,USC,Utah,Utah,Texas Tech,Texas Tech,Texas Tech
8,Texas Tech,Florida,Utah,Penn State,Penn State,Penn State,Penn State,Penn State
9,Ohio State,Oklahoma State,Oklahoma State,Boise State,Boise State,Boise State,Boise State,Boise State
10,Florida,Utah,Boise State,Georgia,Ohio State,Ohio State,Ohio State,Ohio State
11,Utah,Boise State,Ohio State,Ohio State,Georgia,Georgia,TCU,TCU
12,Boise State,Ohio State,TCU,Missouri,Oklahoma State,Oklahoma State,Ball State,Cincinnati
13,LSU,TCU,Georgia,Oklahoma State,Missouri,Missouri,Cincinnati,Oklahoma State
14,TCU,Missouri,Missouri,Ball State,BYU,TCU,Oklahoma State,Georgia Tech
15,Missouri,Florida State,BYU,Michigan State,Michigan State,Ball State,Georgia Tech,Georgia
16,South Florida,Ball State,LSU,North Carolina,TCU,Cincinnati,Georgia,BYU
17,Pittsburgh,Minnesota,Ball State,BYU,Ball State,Oregon State,Boston College,Oregon
18,Georgia Tech,Tulsa,Michigan State,TCU,LSU,BYU,BYU,Michigan State
19,Tulsa,LSU,North Carolina,Florida State,Cincinnati,Michigan State,Oregon,Virginia Tech
20,Ball State,BYU,Georgia Tech,LSU,Pittsburgh,Florida State,Missouri,Pittsburgh
21,BYU,Michigan State,California,Pittsburgh,Oregon State,Boston College,Michigan State,Missouri
22,Northwestern,North Carolina,Florida State,Cincinnati,North Carolina,Georgia Tech,Northwestern,Ball State
23,Kansas,South Florida,Maryland,Tulsa,Miami,Oregon,Pittsburgh,Northwestern
24,Minnesota,Oregon,Northwestern,Wake Forest,Oregon,Northwestern,Florida State,Boston College
25,Florida State,Connecticut,West Virginia,South Carolina,Maryland,Pittsburgh,Virginia Tech,Ole Miss
