Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Final Rankings
1,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Alabama,Florida,Florida,Florida,Florida,Florida,Florida,Alabama,Alabama
2,Texas,Texas,Texas,Texas,Texas,Texas,Alabama,Florida,Alabama,Texas,Texas,Alabama,Alabama,Alabama,Texas,Texas
3,Oklahoma,USC,USC,Alabama,Alabama,Alabama,Texas,Texas,Texas,Alabama,Alabama,Texas,Texas,Texas,TCU,Florida
4,USC,Alabama,Alabama,Ole Miss,LSU,LSU,Virginia Tech,USC,USC,Cincinnati,TCU,TCU,TCU,TCU,Cincinnati,Boise State
5,Alabama,Oklahoma State,Ole Miss,Penn State,Boise State,Virginia Tech,Boise State,Cincinnati,Cincinnati,Boise State,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Florida,Ohio State
6,Ohio State,Ole Miss,Penn State,California,Virginia Tech,Boise State,USC,Boise State,Boise State,TCU,Boise State,Boise State,Boise State,Boise State,Boise State,TCU
7,Virginia Tech,Penn State,BYU,LSU,USC,USC,Ohio State,Iowa,Iowa,Oregon,Georgia Tech,Georgia Tech,Georgia Tech,Oregon,Oregon,Iowa
8,Ole Miss,Ohio State,California,Boise State,Oklahoma,Cincinnati,Cincinnati,Miami,TCU,Iowa,Pittsburgh,Pittsburgh,Pittsburgh,Ohio State,Ohio State,Cincinnati
9,Oklahoma State,BYU,LSU,Miami,Ohio State,Ohio State,Miami,LSU,LSU,LSU,LSU,Ohio State,Ohio State,Iowa,Georgia Tech,Penn State
10,Penn State,California,Boise State,Oklahoma,Cincinnati,TCU,LSU,TCU,Oregon,Georgia Tech,Ohio State,LSU,Oregon,Penn State,Iowa,Virginia Tech
11,LSU,LSU,Ohio State,Virginia Tech,TCU,Miami,Iowa,Georgia Tech,Georgia Tech,Penn State,USC,Oregon,Oklahoma State,Virginia Tech,Penn State,Oregon
12,California,Boise State,Oklahoma,USC,Houston,Iowa,TCU,Oregon,Penn State,USC,Miami,Oklahoma State,Penn State,Georgia Tech,Virginia Tech,BYU
13,Georgia,Oklahoma,Virginia Tech,Ohio State,Iowa,Oregon,Oregon,Penn State,Oklahoma State,Houston,Houston,Penn State,Iowa,Oregon State,LSU,Georgia Tech
14,Boise State,Virginia Tech,Georgia Tech,Cincinnati,Oklahoma State,Penn State,Penn State,Oklahoma State,Virginia Tech,Pittsburgh,Oregon,Stanford,Virginia Tech,Pittsburgh,Miami,Nebraska
15,Georgia Tech,Georgia Tech,TCU,TCU,Penn State,Oklahoma State,Nebraska,Virginia Tech,Houston,Ohio State,Iowa,Iowa,Clemson,LSU,BYU,Pittsburgh
16,Oregon,TCU,Oklahoma State,Oklahoma State,Oregon,Kansas,Oklahoma State,BYU,Pittsburgh,Miami,Utah,Virginia Tech,Oregon State,BYU,Oregon State,Wisconsin
17,TCU,Utah,Cincinnati,Houston,Miami,Auburn,Kansas,Houston,Ohio State,Utah,Oklahoma State,Wisconsin,LSU,Miami,Pittsburgh,LSU
18,Florida State,Notre Dame,Utah,Florida State,Kansas,BYU,BYU,Ohio State,Miami,Oklahoma State,Arizona,Clemson,BYU,Houston,West Virginia,Utah
19,Utah,North Carolina,Nebraska,BYU,Georgia,Oklahoma,Georgia Tech,Utah,Utah,Notre Dame,Penn State,BYU,Miami,California,Stanford,Miami
20,BYU,Miami,Miami,Kansas,BYU,Ole Miss,Oklahoma,Pittsburgh,West Virginia,Oklahoma,Virginia Tech,Oregon State,Ole Miss,USC,Nebraska,Ole Miss
21,North Carolina,Georgia,Houston,Georgia,Ole Miss,Nebraska,South Florida,Texas Tech,South Carolina,Arizona,Wisconsin,Miami,California,Nebraska,Oklahoma State,Texas Tech
22,Iowa,Nebraska,Kansas,North Carolina,Michigan,Georgia Tech,South Carolina,West Virginia,Oklahoma,Virginia Tech,BYU,USC,Utah,Oklahoma State,Arizona,USC
23,Notre Dame,Cincinnati,Georgia,Michigan,Nebraska,South Florida,Houston,South Carolina,Arizona,California,South Florida,Utah,North Carolina,Stanford,Utah,Central Michigan
24,Nebraska,Kansas,North Carolina,Washington,California,Missouri,Utah,Kansas,Ole Miss,Wisconsin,Clemson,Houston,USC,West Virginia,Wisconsin,Clemson
25,Kansas,Missouri,Michigan,Nebraska,Georgia Tech,South Carolina,Notre Dame,Oklahoma,Notre Dame,BYU,Stanford,Rutgers,Houston,Clemson,Central Michigan,West Virginia
