,Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Final Rankings
0,1,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Florida State,Florida State,Florida State
1,2,Ohio State,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Florida State,Florida State,Florida State,Ohio State,Auburn,Auburn
2,3,Oregon,Ohio State,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson,Florida State,Florida State,Florida State,Ohio State,Baylor,Ohio State,Auburn,Alabama,Michigan State
3,4,Stanford,Clemson,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Baylor,Ohio State,Auburn,Alabama,Michigan State,South Carolina
4,5,Georgia,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford,Florida State,Missouri,Baylor,Baylor,Stanford,Oregon,Missouri,Missouri,Stanford,Missouri
5,6,South Carolina,South Carolina,Texas A&M;,LSU,LSU,Georgia,Florida State,LSU,Baylor,Stanford,Stanford,Oregon,Auburn,Clemson,Oklahoma State,Baylor,Oklahoma
6,7,Texas A&M;,Texas A&M;,Louisville,Louisville,Louisville,Louisville,Georgia,Texas A&M;,Miami,Miami,Auburn,Auburn,Clemson,Oklahoma State,Stanford,Ohio State,Alabama
7,8,Clemson,Louisville,LSU,Florida State,Florida State,Florida State,Louisville,Louisville,Stanford,Auburn,Clemson,Clemson,Missouri,Stanford,South Carolina,South Carolina,Clemson
8,9,Louisville,LSU,Georgia,Georgia,Georgia,Texas A&M;,Texas A&M;,UCLA,Clemson,Clemson,Missouri,Missouri,Texas A&M;,Baylor,Baylor,Missouri,Oregon
9,10,Florida,Florida State,Florida State,Texas A&M;,Texas A&M;,LSU,LSU,Miami,Texas Tech,Missouri,LSU,Texas A&M;,Stanford,South Carolina,Michigan State,Oregon,UCF
10,11,Florida State,Georgia,Michigan,Oklahoma State,Oklahoma State,Oklahoma,UCLA,South Carolina,Auburn,LSU,Texas A&M;,South Carolina,Oklahoma State,Michigan State,Arizona State,Oklahoma,Stanford
11,12,LSU,Florida,Oklahoma State,South Carolina,South Carolina,UCLA,Oklahoma,Baylor,UCLA,Texas A&M;,Oklahoma,Oklahoma State,South Carolina,Oregon,Oregon,Clemson,Ohio State
12,13,Oklahoma State,Oklahoma State,South Carolina,UCLA,UCLA,South Carolina,Miami,Stanford,LSU,Oklahoma,South Carolina,UCLA,Michigan State,Arizona State,Clemson,Oklahoma State,Baylor
13,14,Notre Dame,Notre Dame,Oklahoma,Oklahoma,Oklahoma,Miami,South Carolina,Missouri,Texas A&M;,South Carolina,Miami,Michigan State,UCLA,Wisconsin,LSU,LSU,LSU
14,15,Texas,Texas,Miami,Michigan,Miami,Washington,Baylor,Georgia,Fresno State,Texas Tech,Oklahoma State,UCF,Fresno State,LSU,UCF,UCF,Louisville
15,16,Oklahoma,Oklahoma,UCLA,Miami,Washington,Northwestern,Washington,Texas Tech,Virginia Tech,Fresno State,UCLA,Fresno State,Wisconsin,Fresno State,Northern Illinois,Arizona State,UCLA
16,17,Michigan,Michigan,Northwestern,Washington,Northwestern,Baylor,Florida,Fresno State,Oklahoma,UCLA,Fresno State,Wisconsin,UCF,UCF,UCLA,UCLA,Oklahoma State
17,18,Nebraska,UCLA,Florida,Northwestern,Michigan,Florida,Michigan,Oklahoma,Louisville,Oklahoma State,Michigan State,LSU,LSU,Northern Illinois,Oklahoma,Louisville,Texas A&M;
18,19,Boise State,Northwestern,Washington,Florida,Baylor,Michigan,Northwestern,Virginia Tech,Oklahoma State,UCF,UCF,Louisville,Arizona State,Texas A&M;,Louisville,Wisconsin,USC
19,20,TCU,Washington,Wisconsin,Baylor,Florida,Texas Tech,Texas Tech,Washington,South Carolina,Louisville,Louisville,Northern Illinois,Northern Illinois,Oklahoma,Duke,Texas A&M;,Notre Dame
20,21,UCLA,Wisconsin,Notre Dame,Ole Miss,Ole Miss,Oklahoma State,Fresno State,Oklahoma State,UCF,Northern Illinois,Wisconsin,Arizona State,Louisville,Louisville,Wisconsin,Fresno State,Arizona State
21,22,Northwestern,Nebraska,Baylor,Notre Dame,Notre Dame,Arizona State,Oklahoma State,Florida,Wisconsin,Wisconsin,Northern Illinois,Oklahoma,Oklahoma,UCLA,Texas A&M;,Duke,Wisconsin
22,23,Wisconsin,Baylor,Nebraska,Arizona State,Wisconsin,Fresno State,Northern Illinois,Northern Illinois,Northern Illinois,Michigan,Arizona State,Texas,USC,USC,Texas,Georgia,Duke
23,24,USC,TCU,TCU,Wisconsin,Texas Tech,Ole Miss,Virginia Tech,Auburn,Michigan,Michigan State,Notre Dame,Miami,Ole Miss,Duke,Fresno State,Northern Illinois,Vanderbilt
24,25,Oregon State,USC,Ole Miss,Texas Tech,Fresno State,Maryland,Missouri,Wisconsin,Nebraska,Arizona State,Texas Tech,Georgia,Duke,Notre Dame,Georgia,Notre Dame,Washington
