,Ranking,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
0,1,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Florida State,Florida State
1,2,Florida State,Oregon,Florida State,Florida State,Florida State,Florida State,Ohio State,Auburn
2,3,Oregon,Florida State,Oregon,Ohio State,Ohio State,Ohio State,Auburn,Alabama
3,4,Ohio State,Ohio State,Ohio State,Stanford,Baylor,Auburn,Alabama,Michigan State
4,5,Missouri,Stanford,Stanford,Baylor,Oregon,Missouri,Missouri,Stanford
5,6,Stanford,Baylor,Baylor,Oregon,Auburn,Clemson,Oklahoma State,Baylor
6,7,Miami,Miami,Clemson,Auburn,Clemson,Oklahoma State,Stanford,Ohio State
7,8,Baylor,Clemson,Missouri,Clemson,Missouri,Stanford,South Carolina,Missouri
8,9,Clemson,Missouri,Auburn,Missouri,Stanford,Baylor,Baylor,South Carolina
9,10,Texas Tech,Oklahoma,Oklahoma,South Carolina,Oklahoma State,South Carolina,Michigan State,Oregon
10,11,Auburn,Auburn,Miami,Texas A&M;,South Carolina,Michigan State,Arizona State,Oklahoma
11,12,UCLA,Texas A&M;,South Carolina,Oklahoma State,Texas A&M;,Arizona State,Oregon,Clemson
12,13,LSU,LSU,LSU,UCLA,Michigan State,Oregon,Clemson,Oklahoma State
13,14,Virginia Tech,South Carolina,Oklahoma State,Fresno State,UCLA,Northern Illinois,Northern Illinois,Arizona State
14,15,Oklahoma,Texas Tech,Texas A&M;,Northern Illinois,Fresno State,Wisconsin,LSU,UCF
15,16,Texas A&M;,Fresno State,Fresno State,Michigan State,Northern Illinois,Fresno State,UCF,LSU
16,17,Fresno State,Northern Illinois,Michigan State,UCF,Arizona State,LSU,Oklahoma,UCLA
17,18,Northern Illinois,Oklahoma State,Northern Illinois,Oklahoma,UCF,Oklahoma,UCLA,Louisville
18,19,Oklahoma State,Louisville,UCLA,Arizona State,Wisconsin,UCF,Louisville,Wisconsin
19,20,Louisville,UCLA,Louisville,Louisville,Oklahoma,Louisville,Duke,Fresno State
20,21,South Carolina,Michigan,UCF,LSU,Louisville,Texas A&M;,Wisconsin,Texas A&M;
21,22,Michigan,Michigan State,Arizona State,Wisconsin,LSU,UCLA,Georgia,Georgia
22,23,UCF,UCF,Notre Dame,Miami,USC,USC,Fresno State,Northern Illinois
23,24,Nebraska,Wisconsin,Wisconsin,Texas,Ole Miss,Duke,Texas A&M;,Duke
24,25,Oregon State,Notre Dame,Texas Tech,Georgia,Minnesota,Notre Dame,Texas,USC
