Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Final Rankings
1,Florida State,Florida State,Florida State,Florida State,Florida State,Florida State,Florida State,Mississippi State,Mississippi State,Mississippi State,Mississippi State,Mississippi State,Florida State,Florida State,Alabama,Alabama,Ohio State
2,Alabama,Alabama,Oregon,Oregon,Oregon,Oregon,Auburn,Florida State,Florida State,Florida State,Florida State,Florida State,Alabama,Alabama,Florida State,Florida State,Oregon
3,Oregon,Oregon,Alabama,Alabama,Alabama,Alabama,Mississippi State,Ole Miss,Ole Miss,Alabama,Auburn,Oregon,Oregon,Oregon,Oregon,Oregon,TCU
4,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Ole Miss,Baylor,Alabama,Auburn,Alabama,Alabama,Mississippi State,Mississippi State,TCU,Baylor,Alabama
5,Ohio State,Auburn,Auburn,Auburn,Auburn,Auburn,Baylor,Notre Dame,Auburn,Oregon,Oregon,TCU,TCU,Baylor,Baylor,Ohio State,Michigan State
6,Auburn,Georgia,Georgia,Texas A&M;,Texas A&M;,Texas A&M;,Notre Dame,Auburn,Oregon,Notre Dame,TCU,Baylor,Baylor,TCU,Ohio State,TCU,Florida State
7,UCLA,Michigan State,Texas A&M;,Baylor,Baylor,Baylor,Alabama,Alabama,Notre Dame,Ole Miss,Michigan State,Arizona State,Ohio State,Ohio State,Michigan State,Michigan State,Baylor
8,Michigan State,Ohio State,Baylor,LSU,Notre Dame,UCLA,Michigan State,Michigan State,Michigan State,Michigan State,Notre Dame,Ohio State,Ole Miss,Georgia,Arizona,Mississippi State,Georgia Tech
9,South Carolina,Texas A&M;,USC,Notre Dame,Michigan State,Notre Dame,TCU,Oregon,Georgia,Georgia,Kansas State,Auburn,Georgia,UCLA,Kansas State,Ole Miss,Georgia
10,Baylor,Baylor,LSU,Ole Miss,Ole Miss,Michigan State,Arizona,Georgia,TCU,TCU,Baylor,Ole Miss,Michigan State,Michigan State,Mississippi State,Georgia Tech,UCLA
11,Stanford,UCLA,Notre Dame,Michigan State,UCLA,Ole Miss,Oklahoma,Oklahoma,Kansas State,Kansas State,Arizona State,Nebraska,UCLA,Kansas State,Wisconsin,Kansas State,Mississippi State
12,Georgia,LSU,UCLA,UCLA,Georgia,Mississippi State,Oregon,TCU,Baylor,Baylor,Ole Miss,Michigan State,Kansas State,Arizona,Georgia Tech,Arizona,Arizona State
13,LSU,Stanford,Michigan State,Georgia,South Carolina,Georgia,Georgia,Ohio State,Ohio State,Ohio State,Ohio State,Kansas State,Arizona State,Arizona State,Ole Miss,Georgia,Wisconsin
14,Wisconsin,USC,Ole Miss,South Carolina,Mississippi State,Stanford,Texas A&M;,Kansas State,Arizona State,Arizona,LSU,UCLA,Wisconsin,Wisconsin,Missouri,UCLA,Missouri
15,USC,Ole Miss,Stanford,Arizona State,Arizona State,LSU,Ohio State,Oklahoma State,Arizona,Arizona State,Nebraska,Notre Dame,Arizona,Auburn,Georgia,Arizona State,Clemson
16,Clemson,Notre Dame,Arizona State,Stanford,Stanford,USC,Oklahoma State,Arizona,Nebraska,LSU,Oklahoma,Georgia,Auburn,Georgia Tech,UCLA,Missouri,Boise State
17,Notre Dame,Arizona State,Virginia Tech,USC,LSU,Wisconsin,Kansas State,Arizona State,Oklahoma,Nebraska,Georgia,Arizona,Georgia Tech,Missouri,Arizona State,Wisconsin,Ole Miss
18,Ole Miss,Wisconsin,Wisconsin,Missouri,USC,BYU,UCLA,East Carolina,East Carolina,Utah,UCLA,Clemson,Marshall,Ole Miss,Oklahoma,Clemson,Kansas State
19,Arizona State,Nebraska,Kansas State,Wisconsin,Wisconsin,Nebraska,East Carolina,Nebraska,Utah,Oklahoma,Clemson,Duke,Missouri,Marshall,Clemson,Auburn,Arizona
20,Kansas State,Kansas State,Missouri,Kansas State,BYU,Ohio State,Arizona State,Utah,USC,West Virginia,Utah,LSU,Utah,Oklahoma,Auburn,Louisville,USC
21,Texas A&M;,South Carolina,Louisville,BYU,Nebraska,Oklahoma State,Nebraska,Texas A&M;,Clemson,East Carolina,Arizona,Marshall,Nebraska,Colorado State,Louisville,Boise State,Utah
22,Nebraska,North Carolina,Ohio State,Clemson,Ohio State,East Carolina,Georgia Tech,USC,West Virginia,Clemson,Duke,Wisconsin,Colorado State,Minnesota,Boise State,LSU,Auburn
23,North Carolina,Clemson,Clemson,Ohio State,East Carolina,Kansas State,Missouri,Stanford,Marshall,Marshall,Marshall,Colorado State,Oklahoma,Clemson,LSU,Utah,Marshall
24,Missouri,Missouri,South Carolina,Nebraska,Oklahoma State,Missouri,Utah,Clemson,LSU,Duke,West Virginia,Georgia Tech,USC,Louisville,Utah,USC,Louisville
25,Washington,Louisville,BYU,Oklahoma State,Kansas State,TCU,Stanford,Marshall,UCLA,UCLA,Wisconsin,Utah,Duke,Boise State,Nebraska,Nebraska,Memphis
