"team","conference","adj_ppg"
"Alabama","SEC",35.3
"Clemson","ACC",30
"Georgia","SEC",29.4
"LSU","SEC",25.6
"Oklahoma","Big 12",24.6
"Florida","SEC",23.8
"Ohio State","Big Ten",23.6
"Auburn","SEC",23.4
"Michigan","Big Ten",21.2
"Mississippi State","SEC",20.3
"Texas A&M","SEC",19.5
"Notre Dame","Independent",19.3
"Missouri","SEC",18.9
"Wisconsin","Big Ten",18.1
"Washington","Pac-12",17.8
"Penn State","Big Ten",17.7
"South Carolina","SEC",15.3
"Utah","Pac-12",14.2
"Oregon","Pac-12",14.1
"Miami","ACC",13.9
"UCF","AAC",12.3
"Oklahoma State","Big 12",12.1
"Michigan State","Big Ten",12.1
"Boise State","MWC",12
"Iowa","Big Ten",11.4
"Tennessee","SEC",10.9
"Memphis","AAC",10.9
"USC","Pac-12",10.5
"Appalachian State","Sun Belt",9.9
"Minnesota","Big Ten",9.8
"Texas","Big 12",9.1
"Virginia Tech","ACC",9.1
"TCU","Big 12",9.1
"Washington State","Pac-12",9
"Florida State","ACC",9
"Stanford","Pac-12",8.7
"Ole Miss","SEC",8.5
"Virginia","ACC",8.5
"Nebraska","Big Ten",7.4
"Kentucky","SEC",7.3
"Iowa State","Big 12",7
"Baylor","Big 12",6.8
"Utah State","MWC",6.8
"Cincinnati","AAC",6.7
"West Virginia","Big 12",6.6
"Fresno State","MWC",6.1
"NC State","ACC",6
"Purdue","Big Ten",5.7
"Vanderbilt","SEC",5.6
"BYU","Independent",5.5
"Indiana","Big Ten",5
"Arkansas","SEC",4.8
"Syracuse","ACC",4.8
"Texas Tech","Big 12",4.7
"Arizona State","Pac-12",4.3
"San Diego State","MWC",4
"Arizona","Pac-12",3.9
"Wake Forest","ACC",3.7
"Duke","ACC",3.4
"Pittsburgh","ACC",2.9
"UCLA","Pac-12",2.9
"Temple","AAC",2.4
"Northwestern","Big Ten",2
"California","Pac-12",2
"Boston College","ACC",1
"North Carolina","ACC",0.7
"Arkansas State","Sun Belt",0.6
"Maryland","Big Ten",0.5
"Colorado","Pac-12",0.4
"Houston","AAC",0.3
"Marshall","C-USA",-0.2
"Southern Miss","C-USA",-0.3
"Northern Illinois","MAC",-0.3
"Florida Atlantic","C-USA",-0.3
"Kansas State","Big 12",-0.5
"USF","AAC",-0.7
"Wyoming","MWC",-1.2
"Toledo","MAC",-1.5
"Georgia Tech","ACC",-1.7
"Ohio","MAC",-1.9
"North Texas","C-USA",-2
"Louisville","ACC",-2.1
"Georgia Southern","Sun Belt",-2.2
"Air Force","MWC",-3.2
"Army","Independent",-3.3
"Louisiana Tech","C-USA",-3.4
"Nevada","MWC",-3.6
"Western Michigan","MAC",-3.7
"Tulane","AAC",-4.2
"Florida International","C-USA",-4.3
"SMU","AAC",-4.4
"Illinois","Big Ten",-5.2
"Miami-Ohio","MAC",-5.4
"Troy","Sun Belt",-5.5
"Eastern Michigan","MAC",-5.8
"Hawaii","MWC",-6
"UL-Lafayette","Sun Belt",-6.9
"Oregon State","Pac-12",-7.5
"Tulsa","AAC",-7.6
"Texas State","Sun Belt",-8.3
"Middle Tennessee","C-USA",-8.5
"UNLV","MWC",-8.8
"Buffalo","MAC",-8.9
"UAB","C-USA",-10.2
"UL-Monroe","Sun Belt",-10.4
"Western Kentucky","C-USA",-10.4
"Colorado State","MWC",-11.8
"Kansas","Big 12",-12.1
"Ball State","MAC",-12.8
"Liberty","Independent",-12.9
"Rutgers","Big Ten",-13.2
"East Carolina","AAC",-13.7
"Kent State","MAC",-14.3
"Navy","AAC",-15.3
"San Jose State","MWC",-15.6
"Georgia State","Sun Belt",-15.6
"Coastal Carolina","Sun Belt",-17.3
"Charlotte","C-USA",-17.6
"New Mexico State","Independent",-17.7
"New Mexico","MWC",-17.7
"Akron","MAC",-20.3
"Old Dominion","C-USA",-20.7
"Central Michigan","MAC",-21.2
"South Alabama","Sun Belt",-21.7
"UMass","Independent",-22.1
"UTSA","C-USA",-22.8
"Rice","C-USA",-22.9
"Bowling Green","MAC",-23.1
"UConn","AAC",-26
"UTEP","C-USA",-30.2
