"Team (Record)","Rating","Offense","Defense","Special Teams"
"1. Alabama (5-0)",32.5,"46.5 (2)","13.9 (11)","-0.1 (84)"
"2. Ohio State (6-0)",32.4,"43.5 (5)","11.2 (3)","0.1 (38)"
"3. Oklahoma (5-0)",28.8,"50.7 (1)","21.8 (36)","-0.1 (77)"
"4. LSU (5-0)",27.5,"45.9 (3)","19.1 (28)","0.6 (1)"
"5. Georgia (5-0)",26.8,"42.7 (6)","16.3 (17)","0.4 (11)"
"6. Wisconsin (5-0)",25.8,"37.5 (16)","11.3 (4)","-0.4 (123)"
"7. Penn State (5-0)",25.2,"40.2 (10)","15.1 (16)","0.2 (32)"
"8. Clemson (5-0)",24.2,"38.1 (15)","13.9 (10)","0.0 (64)"
"9. Florida (6-0)",22.3,"34.3 (32)","12.4 (5)","0.4 (13)"
"10. Missouri (4-1)",20.9,"34.0 (33)","13.3 (7)","0.3 (24)"
"11. Oregon (4-1)",20.5,"30.3 (52)","9.6 (1)","-0.2 (98)"
"12. Auburn (5-1)",20.3,"34.6 (29)","14.7 (14)","0.4 (8)"
"13. Notre Dame (4-1)",18.7,"37.3 (18)","18.8 (27)","0.2 (26)"
"14. Iowa State (3-2)",18.5,"35.0 (28)","16.4 (19)","-0.1 (80)"
"15. Baylor (5-0)",18.1,"35.1 (26)","16.6 (20)","-0.4 (120)"
"16. Utah (4-1)",18,"37.4 (17)","19.2 (29)","-0.1 (82)"
"17. Michigan (4-1)",17.6,"28.5 (66)","11.1 (2)","0.1 (37)"
"18. Michigan State (4-2)",16.6,"29.7 (56)","13.1 (6)","-0.1 (75)"
"19. Texas A&M (3-2)",16.6,"33.7 (40)","17.3 (21)","0.2 (33)"
"20. Texas (4-1)",16.3,"43.6 (4)","27.7 (66)","0.5 (7)"
"21. Iowa (4-1)",16.3,"29.9 (55)","13.8 (9)","0.2 (27)"
"22. UCF (4-2)",16.2,"33.9 (36)","17.6 (22)","0.0 (69)"
"23. Washington (4-2)",16.1,"36.5 (21)","20.9 (33)","0.6 (5)"
"24. Memphis (5-0)",15.8,"33.9 (37)","18.5 (25)","0.5 (6)"
"25. Oklahoma State (4-2)",15,"39.7 (13)","24.6 (49)","0.0 (63)"
"26. Minnesota (5-0)",14.5,"39.0 (14)","24.5 (46)","0.0 (68)"
"27. TCU (3-2)",13,"33.4 (42)","20.5 (32)","0.0 (58)"
"28. Indiana (3-2)",12.7,"35.1 (27)","22.6 (39)","0.3 (21)"
"29. USC (3-2)",12.2,"37.0 (19)","25.0 (51)","0.2 (35)"
"30. Miss. State (3-2)",11.8,"36.9 (20)","24.6 (48)","-0.4 (122)"
"31. Wash. State (3-2)",11.6,"42.4 (7)","31.1 (84)","0.3 (16)"
"32. Miami (2-3)",11.2,"31.3 (47)","19.9 (31)","-0.2 (109)"
"33. Texas Tech (3-2)",10.7,"32.6 (46)","22.3 (37)","0.4 (15)"
"34. Arizona State (4-1)",10.6,"25.0 (86)","14.7 (13)","0.3 (20)"
"35. S. Carolina (2-3)",10.4,"28.5 (65)","18.5 (26)","0.4 (10)"
"36. Maryland (3-2)",8.7,"30.3 (51)","21.2 (34)","-0.4 (124)"
"37. Arizona (4-1)",8.7,"41.6 (9)","32.8 (89)","-0.1 (87)"
"38. Cincinnati (4-1)",8,"27.5 (75)","19.6 (30)","0.2 (36)"
"39. Nebraska (4-2)",7.9,"34.0 (34)","25.6 (52)","-0.5 (126)"
"40. Virginia (4-1)",7.6,"25.2 (85)","17.7 (23)","0.1 (51)"
"41. Kansas State (3-2)",7.5,"29.0 (60)","21.8 (35)","0.3 (25)"
"42. SMU (6-0)",7.2,"34.5 (30)","27.0 (60)","-0.2 (106)"
"43. Temple (4-1)",7.2,"21.7 (98)","14.4 (12)","-0.2 (94)"
"44. Tulane (4-1)",6.4,"33.8 (38)","27.8 (67)","0.3 (17)"
"45. Florida State (3-2)",5.5,"35.9 (22)","30.4 (78)","-0.1 (74)"
"46. Duke (3-2)",5.1,"28.0 (73)","23.0 (41)","0.2 (31)"
"47. Boise State (5-0)",5,"29.7 (57)","24.8 (50)","0.1 (47)"
"48. Colorado (3-2)",4.9,"41.7 (8)","37.3 (113)","0.6 (2)"
"49. App. State (4-0)",4.9,"39.7 (11)","35.1 (101)","0.2 (29)"
"50. Ole Miss (3-3)",4.7,"27.4 (76)","22.4 (38)","-0.3 (112)"
"51. Wake Forest (5-0)",4.7,"33.2 (43)","28.6 (71)","0.1 (49)"
