birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
,,621,Stu Holt,http://www.gannett-cdn.com/media/None,Appalachian State,,APP
,,413,Lawrence Dawsey,http://www.gannett-cdn.com/media/None,Florida State,,FSU
,,124,Phil Bennett,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/phil_bennett_s.jpg,Arizona State,,AZST
,,2439,Brent Davis,http://www.gannett-cdn.com/media/None,Army,,ARMY
,,928,John Peterson,http://www.gannett-cdn.com/media/None,Pittsburgh,,PITT
,,2898,Mario Verduzco,http://www.gannett-cdn.com/media/None,UCF,,UCF
,,2359,Freddie Roach,http://www.gannett-cdn.com/media/None,Ole Miss,,MISS
,,2365,John Scott Jr.,http://www.gannett-cdn.com/media/None,Arkansas,,ARK
,,2467,Herb Haygood,http://www.gannett-cdn.com/media/None,Eastern Michigan,,EMU
,,325,Mike Canales,http://www.gannett-cdn.com/media/None,Tennessee,,TENN
,,2209,Sherrone Moore,http://www.gannett-cdn.com/media/None,Central Michigan,,CMU
,,1535,Tony Elliott,http://www.gannett-cdn.com/media/None,Clemson,,CLEM
,,1219,Ken Wilson,http://www.gannett-cdn.com/media/None,Washington State,,WSU
,,2320,Renaldo Hill,http://www.gannett-cdn.com/media/None,Pittsburgh,,PITT
,,401,Mark D'Onofrio,http://www.gannett-cdn.com/media/None,Houston,,HOU
,,2136,Donte Pimpleton,http://www.gannett-cdn.com/media/None,Oregon,,ORE
,,1283,Jon Wholley,http://www.gannett-cdn.com/media/None,Connecticut,,UCON
,,400,Adam Cushing,http://www.gannett-cdn.com/media/None,Northwestern,,NW
,,2752,Cort Dennison,http://www.gannett-cdn.com/media/None,Louisville,,LOU
,,2428,Nate Woody,http://www.gannett-cdn.com/media/None,Appalachian State,,APP
,,222,Harlon Barnett,http://www.gannett-cdn.com/media/None,Michigan State,,MSU
,,2370,Kelvin Sigler,http://www.gannett-cdn.com/media/None,South Alabama,,USA
,,273,Kendal Briles,http://www.gannett-cdn.com/media/None,Florida Atlantic,,FAU
,,1023,John Schlarman,http://www.gannett-cdn.com/media/None,Kentucky,,UK
,,978,Terry Richardson,http://www.gannett-cdn.com/media/None,Connecticut,,UCON
,,980,Kent Riddle,http://www.gannett-cdn.com/media/None,Boise State,,BSU
,,2162,Calvin Thibodeaux,http://www.gannett-cdn.com/media/None,Oklahoma,,OU
,,2389,Garett Tujague,http://www.gannett-cdn.com/media/None,Virginia,,UVA
,,1403,Brian Stewart,http://www.gannett-cdn.com/media/None,Rice,,RICE
,,337,Jeff Casteel,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeff_casteel_s.jpg,Nevada,,NEV
,,2653,Tray Scott,http://www.gannett-cdn.com/media/None,Georgia,,UGA
,,2811,Jeff Kastl,http://www.gannett-cdn.com/media/None,UTSA,,UTSA
,,92,Mike Sanford,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_sanford_s.jpg,Western Kentucky,,WKY
,,346,Jim Chaney,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jim_chaney_s.jpg,Georgia,,UGA
,,1401,D.J. Eliot,http://www.gannett-cdn.com/media/None,Colorado,,COLO
,,890,Danny O'Rourke,http://www.gannett-cdn.com/media/None,Navy,,NAVY
,,2391,Morgan Turner,http://www.gannett-cdn.com/media/None,Stanford,,STAN
,,284,Don Brown,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/don_brown_s.jpg,Michigan,,MICH
,,2155,David Sloan,http://www.gannett-cdn.com/media/None,Rice,,RICE
,,2479,Rob Harley,http://www.gannett-cdn.com/media/None,Pittsburgh,,PITT
,,2199,Matt House,http://www.gannett-cdn.com/media/None,Kentucky,,UK
,,2982,Theron Aych,http://www.gannett-cdn.com/media/None,Arizona,,ARIZ
,,2066,Jeff Conway,http://www.gannett-cdn.com/media/None,Tulane,,TULN
,,2822,Dan Lanning,http://www.gannett-cdn.com/media/None,Memphis,,MEM
,,2808,Mickey Joseph,http://www.gannett-cdn.com/media/None,LSU,,LSU
1963-05-12,,934,Joker Phillips,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/joker_phillips_s.jpg,Cincinnati,,CIN
,,1091,Sean Spencer,http://www.gannett-cdn.com/media/None,Penn State,,PSU
,,301,Shane Burnham,http://www.gannett-cdn.com/media/None,Rutgers,,RUTG
,,2604,Johnson Richardson,http://www.gannett-cdn.com/media/None,Charlotte,,CHA
,,701,Des Kitchings,http://www.gannett-cdn.com/media/None,North Carolina State,,NCST
,,2877,Ryan Silverfield,http://www.gannett-cdn.com/media/None,Memphis,,MEM
,,3048,Bobby Daly,http://www.gannett-cdn.com/media/None,Idaho,,IDAH
,,2930,Desmond Lindsey,http://www.gannett-cdn.com/media/None,Southern Miss,,USM
,,1525,George McDonald,http://www.gannett-cdn.com/media/None,North Carolina State,,NCST
,,1482,Walter Bell,http://www.gannett-cdn.com/media/None,Maryland,,MD
,,1536,Gabe Franklin,http://www.gannett-cdn.com/media/None,Boise State,,BSU
1972-10-28,,730,Tony Levine,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tony_levine_s.jpg,Purdue,,PUR
,,307,Rusty Burns,http://www.gannett-cdn.com/media/None,TCU,,TCU
,,1337,Brian Haines,http://www.gannett-cdn.com/media/None,Ohio,,OHIO
,,2338,Mike Mickens,http://www.gannett-cdn.com/media/None,Bowling Green,,BGSU
