birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
1951-10-31,218-62-1,91,Nick Saban,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/nick_saban_s.jpg,Alabama,127-20,ALA
1964-07-10,177-31,70,Urban Meyer,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/urban_meyer_s.jpg,Ohio State,73-8,OSU
,86-38,45,Jim Harbaugh,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jim_harbaugh_s.jpg,Michigan,28-11,MICH
1965-10-09,85-23,483,Jimbo Fisher,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jimbo_fisher_s.jpg,Texas A&M,0-0,TAM
1965-10-28,54-25,773,Gus Malzahn,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/gus_malzahn_s.jpg,Auburn,45-22,AUB
,21-7,1068,Kirby Smart,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kirby_smart_s.jpg,Georgia,21-7,UGA
1969-11-20,101-30,108,Dabo Swinney,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dabo_swinney_s.jpg,Clemson,101-30,CLEM
1972-04-27,70-46,72,Dan Mullen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dan_mullen_s.jpg,Florida,0-0,FLA
,29-10,594,Tom Herman,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tom_herman_s.jpg,Texas,7-6,TEX
,19-7,508,Scott Frost,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/scott_frost_s.jpg,Nebraska,0-0,NEB
1967-08-12,114-53,44,Mike Gundy,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_gundy_s.jpg,Oklahoma State,114-53,OKST
1976-08-27,58-53,1123,Willie Taggart,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/willie_taggart_s.jpg,Florida State,0-0,FSU
,5-19,2709,Lovie Smith,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lovie_smith_s.jpg,Illinois,5-19,ILL
1960-02-13,160-57,80,Gary Patterson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/gary_patterson_s.jpg,TCU,160-57,TCU
1972-02-02,60-32,499,James Franklin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/james_franklin_s.jpg,Penn State,36-17,PSU
,12-2,981,Lincoln Riley,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lincoln_riley_s.jpg,Oklahoma,12-2,OU
1955-08-01,155-118,36,Kirk Ferentz,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kirk_ferentz_s.jpg,Iowa,143-97,IOWA
1956-03-09,118-62,25,Mark Dantonio,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_dantonio_s.jpg,Michigan State,100-45,MSU
1964-10-13,129-29,82,Chris Petersen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chris_petersen_s.jpg,Washington,37-17,WASH
1972-07-31,73-22,1046,David Shaw,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/david_shaw_s.jpg,Stanford,73-22,STAN
1971-08-03,43-32,862,Will Muschamp,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/will_muschamp_s.jpg,South Carolina,15-11,SCAR
1960-02-18,164-58,87,Mark Richt,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_richt_s.jpg,Miami (FL),19-7,MIA
,26-36,1104,Mark Stoops,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_stoops_s.jpg,Kentucky, 26-36,UK
1976-07-30,45-31,509,Justin Fuente,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/justin_fuente_s.jpg,Virginia Tech,19-8,VT
,117-48,83,Bobby Petrino,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bobby_petrino_s.jpg,Louisville,34-18,LOU
,0-0,1259,Jeremy Pruitt,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeremy_pruitt_s.jpg,Tennessee,0-0,TENN
,37-16,278,Jeff Brohm,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeff_brohm_s.jpg,Purdue,7-6,PUR
1959-11-21,111-56,118,Kyle Whittingham,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kyle_whittingham_s.jpg,Utah,111-56,UTAH
1965-11-17,53-26,353,Paul Chryst,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/paul_chryst_s.jpg,Wisconsin,34-7,WIS
,30-33,1299,Kliff Kingsbury,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kliff_kingsbury_s.jpg,Texas Tech,30-33,TTU
1974-12-02,87-65,37,Pat Fitzgerald,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/pat_fitzgerald_s.jpg,Northwestern,87-65,NW
1971-06-21,53-37,1251,Dana Holgorsen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dana_holgorsen_s.jpg,West Virginia,53-37,WVU
1966-02-21,107-60,69,Bronco Mendenhall,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bronco_mendenhall_s.jpg,Virginia,8-17,UVA
,35-29,485,P.J. Fleck,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/pj_fleck_s.jpg,Minnesota,5-7,MINN
