School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
Texas A&M,SEC,John Chavis,1558000,1558000,180000,4811000,
Clemson,ACC,Brent Venables,1431250,1431250,95000,5390417,
Alabama,SEC,Lane Kiffin,1400000,1400000,306000,5320000,
LSU,SEC,Dave Aranda,1315000,1315000,125000,5781500,
Louisville,ACC,Todd Grantham,1300000,1302000,108333,3839500,
LSU,SEC,Cam Cameron,1200000,1211000,125000,5781500,
Baylor,Big 12,Phil Bennett,1199848,1202098,,,
Tennessee,SEC,Bob Shoop,1155000,1155000,276000,4545700,
Notre Dame,Ind.,Brian VanGorder,1106156,1106156,,,
Auburn,SEC,Kevin Steele,1100000,1100000,102500,4456250,
Florida,SEC,Geoff Collins,1051500,1051500,236000,4530709,
Alabama,SEC,Jeremy Pruitt,1000000,1000000,220000,5320000,
Texas A&M,SEC,Noel Mazzone,965000,965000,144000,4811000,
Virginia Tech,ACC,Bud Foster,925000,936000,92500,3359000,
Oklahoma,Big 12,Mike Stoops,900000,905400,119000,4390900,
Oklahoma,Big 12,Lincoln Riley,900000,905000,119000,4390900,
Michigan,Big Ten,Don Brown,880000,880000,141667,4308750,
Georgia,SEC,Jim Chaney,850000,850000,225000,4675000,
Michigan,Big Ten,Tim Drevno,850000,850000,133333,4308750,
Texas,Big 12,Sterlin Gilbert,850000,850000,185000,4546250,
Georgia,SEC,Mel Tucker,850000,850000,225000,4675000,
Florida State,ACC,Charles Kelly,833000,833000,146333,4586000,
Arkansas,SEC,Robb Smith,825000,827000,266667,3893100,
Texas,Big 12,Vance Bedford,800000,800625,185000,4546250,
Ole Miss,SEC,Dave Wommack,800000,800000,96000,4261700,
UCLA,Pac-12,Adrian Klemm,760000,760000,100000,3955000,
Ohio State,Big Ten,Luke Fickell,754500,754500,286875,4583100,
West Virginia,Big 12,Tony Gibson,750000,750300,67500,2686025,
Georgia Tech,ACC,Ted Roof,750000,750000,112500,2534515,
South Carolina,SEC,Travaris Robinson,750000,750000,115000,3952400,
Arkansas,SEC,Dan Enos,725000,727000,233333,3893100,
Michigan,Big Ten,Jedd Fisch,700000,700000,116667,4308750,
Missouri,SEC,Josh Heupel,700000,700000,211000,3801800,
South Carolina,SEC,Kurt Roper,700000,700000,115000,3952400,
Ole Miss,SEC,Dan Werner,670000,670500,80400,4261700,
Ohio State,Big Ten,Ed Warinner,654500,654500,248625,4583100,
Georgia,SEC,Sam Pittman,650000,650000,210000,4675000,
Illinois,Big Ten,Garrick McGee,650000,650000,273000,3245000,
Kentucky,SEC,Eddie Gran,650000,650000,108333,3403900,
Arizona State,Pac-12,Chip Lindsey,650000,650000,488000,3255000,
Clemson,ACC,Tony Elliott,643750,643750,95000,5390417,
Clemson,ACC,Jeff Scott,643750,643750,95000,5390417,
Mississippi State,SEC,Peter Sirmon,635000,635000,52083,3295000,
Iowa,Big Ten,Phil Parker,625000,625000,0,3610000,
Iowa,Big Ten,Greg Davis,625000,625000,0,3610000,
LSU,SEC,Ed Orgeron,610000,621000,75000,5781500,
Louisville,ACC,Chris Klenakis,607500,610500,0,3839500,
Louisville,ACC,Lonnie Galloway,607500,607500,0,3839500,
Ohio State,Big Ten,Tim Beck,604500,604500,229500,4583100,
Oregon,Pac-12,Matt Lubick,603600,603600,300000,3622484,
Auburn,SEC,Rodney Garner,600000,601500,177500,4456250,
Washington,Pac-12,Pete Kwiatkowski,600000,601500,96000,3553578,
Auburn,SEC,Rhett Lashlee,600000,601500,190000,4456250,
Missouri,SEC,DeMontie Cross,600000,600000,183000,3801800,
Ohio State,Big Ten,Greg Schiano,600000,600000,229500,4583100,
Georgia,SEC,James Coley,600000,600000,195000,4675000,
Oklahoma State,Big 12,Glenn Spencer,600000,600000,216667,3283999,
California,Pac-12,Art Kaufman,590000,593000,70000,2675600,
Florida State,ACC,Rick Trickett,592000,592000,103667,4586000,
Florida State,ACC,Randy Sanders,592000,592000,106167,4586000,
Maryland,Big Ten,Andy Buh,587500,587500,65000,2907500,
Nebraska,Big Ten,Mark Banker,580663,580663,232266,3758626,
Kentucky,SEC,D.J. Eliot,575000,576200,95833,3403900,
Wisconsin,Big Ten,Joe Rudolph,574800,575635,134112,2862520,
Washington State,Pac-12,Alex Grinch,575000,575000,121875,2662000,
Ole Miss,SEC,Matt Luke,565000,565300,67800,4261700,
LSU,SEC,Dameyune Craig,565000,565000,75000,5781500,
Virginia,ACC,Robert Anae,560000,560000,137500,3030000,
Texas Tech,Big 12,David Gibbs,555000,558000,138750,2247900,
Texas,Big 12,Matt Mattox,550000,550000,185000,4546250,
Illinois,Big Ten,Hardy Nickerson,550000,550000,231000,3245000,
Minnesota,Big Ten,Jay Johnson,550000,550000,147500,2932000,
Alabama,SEC,Tosh Lupoi,550000,550000,121000,5320000,
Minnesota,Big Ten,Jay Sawvel,550000,550000,147500,2932000,
TCU,Big 12,Doug Meacham,548457,548457,,,
LSU,SEC,Jeff Grimes,535000,546000,75000,5781500,
Florida,SEC,Mike Summers,538959,538959,195400,4530709,
Colorado State,Mt. West,Will Friend,534450,534450,99631,1845555,
Arizona,Pac-12,Calvin Magee,520000,530000,43333,2834900,
Nebraska,Big Ten,Danny Langsdorf,527875,527875,211150,3758626,
Florida,SEC,Doug Nussmeier,526500,526500,206000,4530709,
Houston,AAC,Todd Orlando,526000,526000,89420,2419000,
Georgia,SEC,Tracy Rocker,525000,525000,210000,4675000,
Alabama,SEC,Mario Cristobal,525000,525000,115500,5320000,
Colorado,Pac-12,Jim Leavitt,511500,511900,59423,2661601,
Florida,SEC,Randy Shannon,511250,511250,159900,4530709,
UCLA,Pac-12,Tom Bradley,510000,510000,100000,3955000,
UCLA,Pac-12,Kennedy Polamalu,510000,510000,100000,3955000,
Clemson,ACC,Marion Hobby,507083,507083,95000,5390417,
Tennessee,SEC,Tommy Thigpen,505000,505400,120000,4545700,
Tennessee,SEC,Mike DeBord,500000,505000,120000,4545700,
Arizona,Pac-12,Marcel Yates,500000,503900,41667,2834900,
South Carolina,SEC,Shawn Elliott,500000,502400,115000,3952400,
Washington,Pac-12,Jimmy Lake,500004,501504,96000,3553578,
Florida,SEC,Chris Rumph,501500,501500,196000,4530709,
Indiana,Big Ten,Tom Allen,501000,501000,62777,2751661,
Michigan,Big Ten,Greg Mattison,500000,500000,83333,4308750,
Maryland,Big Ten,Walter Bell,500000,500000,65000,2907500,
Oklahoma State,Big 12,Mike Yurcich,500000,500000,108333,3283999,
Cincinnati,AAC,Zac Taylor,500000,500000,70833,2140000,
Arizona State,Pac-12,Keith Patterson,500000,500000,138334,3255000,
Auburn,SEC,Wesley McGriff,500000,500000,102500,4456250,
South Carolina,SEC,Lance Thompson,500000,500000,115000,3952400,
Wisconsin,Big Ten,Justin Wilcox,500000,500000,117000,2862520,
Texas,Big 12,Brick Haley,495000,495025,180000,4546250,
Washington,Pac-12,Bob Gregory,490008,491508,96000,3553578,
Oregon State,Pac-12,Kevin Clune,487500,487500,119443,2736691,
North Carolina State,ACC,Dave Huxtable,481950,481950,125000,2966365,
Colorado,Pac-12,Brian Lindgren,481125,481825,53942,2661601,
Tennessee,SEC,Robert Gillespie,480000,480000,114000,4545700,
Ohio State,Big Ten,Larry Johnson,479500,479500,181688,4583100,
Nebraska,Big Ten,Bruce Read,475088,475088,190035,3758626,
Alabama,SEC,Burton Burns,475000,475000,104500,5320000,
Kansas State,Big 12,Dana Dimel,470000,474200,170400,3203525,
Clemson,ACC,Robbie Caldwell,474167,474167,95000,5390417,
Kansas State,Big 12,Tom Hayes,470000,474000,170400,3203525,
Florida State,ACC,Lawrence Dawsey,472000,472000,86167,4586000,
Florida State,ACC,Odell Haggins,472000,472000,83667,4586000,
LSU,SEC,Bradley Dale Peveto,460000,471500,75000,5781500,
Virginia,ACC,Ruffin McNeill,460000,460000,112500,3030000,
Clemson,ACC,Dan Brooks,457917,457917,95000,5390417,
Oklahoma,Big 12,Kerry Cooks,450000,455000,63000,4390900,
UCLA,Pac-12,Demetrice Martin,455000,455000,100000,3955000,
Iowa State,Big 12,Jon Heacock,454000,454000,37682,2318250,
Michigan State,Big Ten,Dave Warner,449184,450584,154795,3445098,
Ole Miss,SEC,Chris Kiffin,450000,450500,54000,4261700,
Virginia Tech,ACC,Brad Cornelsen,450000,450000,0,3359000,
North Carolina State,ACC,Eliah Drinkwitz,450000,450000,125000,2966365,
Rutgers,Big Ten,Jay Niemann,450000,450000,37500,2340000,
Rutgers,Big Ten,Drew Mehringer,450000,450000,37500,2340000,
South Carolina,SEC,Bryan McClendon,450000,450000,115000,3952400,
Nebraska,Big Ten,Mike Cavanaugh,450000,450000,180000,3758626,
Texas A&M,SEC,David Turner,445000,445000,106800,4811000,
Florida State,ACC,Tim Brewster,442000,442000,78667,4586000,
Clemson,ACC,Danny Pearman,441667,441667,95000,5390417,
Washington,Pac-12,Jonathan Smith,440004,441534,96000,3553578,
Washington,Pac-12,Chris Strausser,440004,441504,96000,3553578,
Michigan State,Big Ten,Harlon Barnett,439434,440034,151420,3445098,
Illinois,Big Ten,Mike Phair,440000,440000,184800,3245000,
Arizona State,Pac-12,Chris Thomsen,440000,440000,127134,3255000,
Michigan State,Big Ten,Jim Bollman,439434,439434,151420,3445098,
Michigan State,Big Ten,Mike Tressel,439434,439434,151421,3445098,
North Carolina,ACC,Chris Kapilovic,436450,436450,72742,2598400,
Oregon State,Pac-12,Dave Baldwin,435000,435000,116943,2736691,
UCLA,Pac-12,Marques Tuiasosopo,435000,435000,100000,3955000,
Oklahoma,Big 12,Bill Bedenbaugh,425000,431400,59500,4390900,
UCLA,Pac-12,Eric Yarber,430000,430000,100000,3955000,
Ohio State,Big Ten,Tony Alford,429500,429500,162563,4583100,
Ohio State,Big Ten,Kerry Coombs,429500,429500,167169,4583100,
Utah,Pac-12,Jim Harding,425000,425000,35417,2900000,
Utah,Pac-12,Aaron Roderick,425000,425000,35417,2900000,
Utah,Pac-12,Morgan Scalley,425000,425000,35417,2900000,
Iowa,Big Ten,Reese Morgan,425000,425000,0,3610000,
Iowa,Big Ten,Brian Ferentz,425000,425000,0,3610000,
Nebraska,Big Ten,Brian Stewart,425000,425000,170000,3758626,
UCF,AAC,Erik Chinander,425000,425000,0,2130000,
Kansas State,Big 12,Del Miller,420000,424200,154400,3203525,
Kansas State,Big 12,Charlie Dickey,420000,424200,154400,3203525,
Florida State,ACC,Brad Lawing,424000,424000,75667,4586000,
Auburn,SEC,Herb Hand,420000,420000,102500,4456250,
Virginia Tech,ACC,James Shibest,420000,420000,0,3359000,
Arizona State,Pac-12,Shawn Slocum,420000,420000,123400,3255000,
Missouri,SEC,Andy Hill,417500,417500,131900,3801800,
Oregon,Pac-12,Don Pellum,413600,413600,236666,3622484,
Florida State,ACC,Jay Graham,412000,412000,76167,4586000,
Purdue,Big Ten,Ross Els,410000,410000,330000,2495000,
Virginia,ACC,Nick Howell,410000,410000,100000,3030000,
Tennessee,SEC,Steve Stripling,410000,410000,97200,4545700,
UCLA,Pac-12,Angus McClure,410000,410000,100000,3955000,
Clemson,ACC,Mike Reed,407500,407500,95000,5390417,
Oklahoma,Big 12,Cale Gundy,390000,404800,75834,4390900,
Oregon,Pac-12,Steve Greatwood,403600,403600,233332,3622484,
Oregon,Pac-12,Brady Hoke,403600,403600,258334,3622484,
Oregon,Pac-12,Ron Aiken,403600,403600,233332,3622484,
Arkansas,SEC,Michael Smith,400000,402000,133333,3893100,
Florida,SEC,Greg Nord,401500,401500,156000,4530709,
Kansas,Big 12,Clint Bowen,400000,400600,50000,2300599,
Texas,Big 12,Brian Jean-Mary,400000,400575,180000,4546250,
Texas,Big 12,Clay Jennings,400000,400000,180000,4546250,
Mississippi State,SEC,John Hevesy,400000,400000,33333,3295000,
Kentucky,SEC,Darin Hinshaw,400000,400000,66667,3403900,
Mississippi State,SEC,Greg Knox,400000,400000,33333,3295000,
Ole Miss,SEC,Jason Jones,400000,400000,48000,4261700,
Mississippi State,SEC,Billy Gonzales,400000,400000,33333,3295000,
Ole Miss,SEC,Derrick Nix,400000,400000,48000,4261700,
Ohio State,Big Ten,Greg Studrawa,400000,400000,153000,4583100,
Nebraska,Big Ten,Keith Williams,400000,400000,160000,3758626,
Purdue,Big Ten,Terry Malone,400000,400000,313500,2495000,
Kansas,Big 12,Kenny Perry,399999,399999,50000,2300599,
Alabama,SEC,Derrick Ansley,395000,395000,86900,5320000,
Tennessee,SEC,Willie Martinez,395000,395000,93600,4545700,
Kansas State,Big 12,Sean Snyder,382500,387300,142400,3203525,
California,Pac-12,Jake Spavital,385000,385000,50000,2675600,
Cincinnati,AAC,J.B. Grimes,385000,385000,64167,2140000,
Missouri,SEC,Jackie Shipp,385000,385000,122800,3801800,
Clemson,ACC,Brandon Streeter,383333,383333,95000,5390417,
Oregon,Pac-12,Tom Osborne,381184,381184,250860,3622484,
Indiana,Big Ten,Kevin Johns,381000,381000,62777,2751661,
Arizona State,Pac-12,Jay Norvell,380000,380000,115934,3255000,
Florida,SEC,Tim Skipper,376500,376500,146000,4530709,
Indiana,Big Ten,Greg Frey,376000,376000,62777,2751661,
Kentucky,SEC,Vince Marrow,375000,375900,62500,3403900,
Ole Miss,SEC,Maurice Harris,375000,375400,45000,4261700,
Houston,AAC,Major Applewhite,375000,375000,63750,2419000,
Texas,Big 12,Charlie Williams,375000,375000,180000,4546250,
Oregon State,Pac-12,T.J. Woods,375000,375000,106943,2736691,
Oregon State,Pac-12,Kevin McGiven,375000,375000,106943,2736691,
Tennessee,SEC,Larry Scott,375000,375000,88800,4545700,
Washington State,Pac-12,Joe Salave'a,375000,375000,46875,2662000,
Georgia,SEC,Kevin Sherrer,375000,375000,195000,4675000,
Arkansas,SEC,Kurt Anderson,370000,370000,123333,3893100,
South Florida,AAC,Raymond Woodie,350000,367500,0,1911500,
Michigan,Big Ten,Tyrone Wheatley,365000,365000,60833,4308750,
Tennessee,SEC,Don Mahoney,365000,365000,86400,4545700,
Oklahoma State,Big 12,Joe Bob Clements,364652,364652,85775,3283999,
Missouri,SEC,Ryan Walters,363800,363800,110200,3801800,
Oklahoma,Big 12,Tim Kish,355000,361900,67084,4390900,
Missouri,SEC,Cornell Ford,360500,360500,115940,3801800,
Texas A&M,SEC,Jeff Banks,360000,360000,103000,4811000,
Mississippi State,SEC,Terrell Buckley,360000,360000,29167,3295000,
Virginia,ACC,Garett Tujague,360000,360000,87500,3030000,
Oklahoma,Big 12,Jay Boulware,355000,359000,65625,4390900,
Tennessee,SEC,Zach Azzanni,355000,355300,84000,4545700,
Memphis,AAC,Chris Ball,355000,355000,29583,2149500,
Oklahoma State,Big 12,Greg Adkins,355000,355000,84167,3283999,
Oregon,Pac-12,David Yost,353600,353600,216666,3622484,
Arizona,Pac-12,Rod Smith,340000,350500,28333,2834900,
Texas,Big 12,Jeff Traylor,350000,350025,180000,4546250,
Auburn,SEC,Kodi Burns,350000,350000,102500,4456250,
Michigan,Big Ten,Chris Partridge,350000,350000,58333,4308750,
South Carolina,SEC,Coleman Hutzler,350000,350000,115000,3952400,
Iowa State,Big 12,Tom Manning,350000,350000,29050,2318250,
Mississippi State,SEC,Brian Johnson,350000,350000,29167,3295000,
Maryland,Big Ten,Pete Lembo,350000,350000,55000,2907500,
UCF,AAC,Troy Walters,350000,350000,0,2130000,
Kansas,Big 12,Rob Likens,350000,350000,50000,2300599,
Alabama,SEC,Billy Napier,350000,350000,77000,5320000,
Arkansas,SEC,Paul Rhoads,350000,350000,116667,3893100,
Utah,Pac-12,Dennis Erickson,350000,350000,54167,2900000,
Nebraska,Big Ten,Reggie Davis,350000,350000,140000,3758626,
Alabama,SEC,Brent Key,350000,350000,77000,5320000,
Florida State,ACC,Bill Miller,347000,347000,62833,4586000,
North Carolina,ACC,Gunter Brewer,345100,345100,57517,2598400,
Memphis,AAC,Chip Long,345000,345000,28750,2149500,
West Virginia,Big 12,Ron Crook,340000,342000,72500,2686025,
West Virginia,Big 12,Ja'Juan Seider,340000,342000,72500,2686025,
Michigan State,Big Ten,Mark Staten,339686,341936,116892,3445098,
Michigan State,Big Ten,Brad Salem,339686,341786,116891,3445098,
Oregon,Pac-12,John Neal,338600,341100,211666,3622484,
Cincinnati,AAC,Robert Prunty,340000,340000,50833,2140000,
Maryland,Big Ten,Dave Borbely,340000,340000,55000,2907500,
Iowa,Big Ten,Bobby Kennedy,340000,340000,0,3610000,
Wisconsin,Big Ten,Tim Tibesar,340000,340000,132600,2862520,
Iowa,Big Ten,Seth Wallace,340000,340000,0,3610000,
Oklahoma State,Big 12,Tim Duffie,339347,339347,81558,3283999,
Florida,SEC,Torrian Gray,336500,336500,130000,4530709,
Virginia,ACC,Kelly Poppinga,335000,335000,75000,3030000,
Texas A&M,SEC,Terry Price,335000,335000,78000,4811000,
UCLA,Pac-12,Rip Scherer,335000,335000,100000,3955000,
Michigan State,Big Ten,Terrence Samuel,329687,331567,113430,3445098,
LSU,SEC,Corey Raymond,320000,331000,75000,5781500,
Michigan State,Big Ten,Ron Burton,329687,330637,113430,3445098,
North Carolina State,ACC,George McDonald,330000,330000,62500,2966365,
Michigan State,Big Ten,Mark Snyder,329686,329686,113427,3445098,
Auburn,SEC,Tim Horton,325000,327700,121250,4456250,
Auburn,SEC,Scott Fountain,325000,326800,121250,4456250,
Missouri,SEC,Glen Elarbee,325000,325000,106000,3801800,
Illinois,Big Ten,Luke Butkus,325000,325000,136500,3245000,
Texas,Big 12,Anthony Johnson,325000,325000,155000,4546250,
Missouri,SEC,Joe Jon Finley,325000,325000,106000,3801800,
Missouri,SEC,Greg Brown,325000,325000,106000,3801800,
Oklahoma State,Big 12,Kasey Dunn,325000,325000,79167,3283999,
LSU,SEC,Steve Ensminger,310000,321000,75000,5781500,
Western Michigan,MAC,Kirk Ciarrocca,315000,320760,7500,1225320,
Maryland,Big Ten,Chris Beatty,320000,320000,55000,2907500,
Indiana,Big Ten,William Inge,319362,319362,62777,2751661,
Oregon,Pac-12,Gary Campbell,318600,318600,205000,3622484,
Oklahoma,Big 12,Dennis Simmons,312000,318400,64167,4390900,
Houston,AAC,Craig Naviar,316000,316000,53720,2419000,
Iowa,Big Ten,LeVar Woods,315000,315000,0,3610000,
Iowa,Big Ten,Chris White,315000,315000,0,3610000,
North Carolina,ACC,Charlton Warren,314650,314650,46521,2598400,
Arizona,Pac-12,Jim Michalczik,310000,313900,25833,2834900,
Louisville,ACC,Tony Grantham,310000,312000,0,3839500,
Colorado,Pac-12,Gary Bernardi,311625,311625,59808,2661601,
Army,Ind.,Jay Bateman,310473,310473,30000,2185759,
Virginia,ACC,Jason Beck,310000,310000,75000,3030000,
Texas A&M,SEC,Terry Joseph,310000,310000,72000,4811000,
