School,Conf,Coach,School Pay,Total Pay,Max Bonus,Bonuses Paid (2016-17),Asst Pay Total,School Buyout AS OF 12/1/17
Alabama,SEC,Nick Saban,11132000,11132000,700000,550000,,26900000
Clemson,ACC,Dabo Swinney,8504600,8526800,1000000,1525000,,40000000
Michigan,Big Ten,Jim Harbaugh,7004000,7004000,1325000,200000,,20555556
Ohio State,Big Ten,Urban Meyer,6431240,6431240,775000,300000,,21345100
Arizona,Pac-12,Rich Rodriguez,5631563,6031563,2025000,25000,,6487500
Florida State,ACC,Jimbo Fisher,5700000,5700000,1475000,200000,,39312500
Stanford,Pac-12,David Shaw,5680441,5680441,,,,
Texas,Big 12,Tom Herman,5486316,5486316,725000,,,20416667
TCU,Big 12,Gary Patterson,5104077,5104077,,,,
Texas A&M,SEC,Kevin Sumlin,5000000,5000000,1050000,100000,,10416667
Auburn,SEC,Gus Malzahn,4725000,4726960,1400000,275000,,6898958
Penn State,Big Ten,James Franklin,4600000,4600000,1000000,900000,,21858333
Iowa,Big Ten,Kirk Ferentz,4550000,4550000,2875000,600000,,22537500
Mississippi State,SEC,Dan Mullen,4500000,4500000,1150000,150000,,
Florida,SEC,Jim McElwain,4457400,4457400,925000,300000,,12916668
Michigan State,Big Ten,Mark Dantonio,4380492,4390492,650000,0,,7000000
Arkansas,SEC,Bret Bielema,4200000,4245000,1000000,125000,,5874227
Oklahoma State,Big 12,Mike Gundy,4200000,4200000,900000,62500,,13800000
Washington,Pac-12,Chris Petersen,4125000,4127500,1050000,675000,,30671875
Tennessee,SEC,Butch Jones,4110000,4110000,1000000,250000,,8125000
Louisville,ACC,Bobby Petrino,3930434,3930434,1468750,989584,,13943750
Kentucky,SEC,Mark Stoops,3750000,3763600,3100000,425000,,14765625
Georgia,SEC,Kirby Smart,3753600,3753600,1800000,75000,,10800000
Utah,Pac-12,Kyle Whittingham,3687917,3687917,935000,330833,,12250000
UCLA,Pac-12,Jim Mora,3550000,3550000,1065000,95000,,12275000
West Virginia,Big 12,Dana Holgorsen,3505000,3505000,750000,185000,,10141667
Texas Tech,Big 12,Kliff Kingsbury,3503975,3503975,1500000,90000,,6993750
LSU,SEC,Ed Orgeron,3500000,3500000,1575000,25000,,8791667
Minnesota,Big Ten,P.J. Fleck,3500000,3500000,900000,,,9583333
Virginia,ACC,Bronco Mendenhall,3400000,3400000,2165000,0,,17425000
Purdue,Big Ten,Jeff Brohm,3333333,3333333,1200000,,,15844445
Northwestern,Big Ten,Pat Fitzgerald,3305818,3305818,,,,
Virginia Tech,ACC,Justin Fuente,3250000,3250000,435000,125000,,15000000
Arizona State,Pac-12,Todd Graham,3200000,3208779,3906000,445000,,12266667
Kansas State,Big 12,Bill Snyder,3200000,3205000,580000,50000,,2000000
Wisconsin,Big Ten,Paul Chryst,3200000,3200000,,260000,,4000000
South Carolina,SEC,Will Muschamp,3100000,3100000,1075000,125000,,7188333
Washington State,Pac-12,Mike Leach,3075000,3075000,725000,75000,,4900000
Illinois,Big Ten,Lovie Smith,3000000,3000000,1000000,75000,,16500000
Georgia Tech,ACC,Paul Johnson,2970891,2970891,1050000,425000,,3247574
Nebraska,Big Ten,Mike Riley,2900000,2900000,950000,150000,,6630000
Oregon,Pac-12,Willie Taggart,2900000,2900000,1825000,,,8150000
Colorado,Pac-12,Mike MacIntyre,2803500,2803500,2150000,772500,,13483333
Vanderbilt,SEC,Derek Mason,2721834,2721834,,,,
Oregon State,Pac-12,Gary Andersen,2650000,2650000,525000,50000,,
Duke,ACC,David Cutcliffe,2613638,2613638,,,,
Maryland,Big Ten,DJ Durkin,2462000,2462000,625000,25000,,6833104
Boston College,ACC,Steve Addazio,2448949,2448949,,,,
Missouri,SEC,Barry Odom,2350000,2350000,1025000,162500,,1462500
North Carolina,ACC,Larry Fedora,2290000,2290000,900000,50000,,14705000
North Carolina State,ACC,Dave Doeren,2212600,2212600,1750000,150000,,1776250
Oklahoma,Big 12,Lincoln Riley,2116666,2116666,700000,,,15041666
Iowa State,Big 12,Matt Campbell,2100000,2100000,1000000,0,,9575000
Rutgers,Big Ten,Chris Ash,2100000,2100000,960000,50000,,7425000
Southern Methodist,AAC,Chad Morris,2095793,2095793,,,,
