School,Conf,Coach,School Pay,Total Pay,Max Bonus,Bonuses Paid (2016-17),Asst Pay Total,School Buyout AS OF 12/1/17,Conference,Division,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Alabama,SEC,Nick Saban,11132000.0,11132000.0,700000.0,550000.0,,26900000.0,Southeastern,West,7.0,1,307,98,11,1,469,138,7,0,3,1,L1,2,1,2,1,2017
Clemson,ACC,Dabo Swinney,8504600.0,8526800.0,1000000.0,1525000.0,,40000000.0,Atlantic Coast,Atlantic,7.0,1,257,141,12,1,460,166,7,0,4,1,W6,3,0,3,0,2017
Michigan,Big Ten,Jim Harbaugh,7004000.0,7004000.0,1325000.0,200000.0,,20555556.0,Big Ten,East,5.0,4,211,175,8,4,309,219,4,2,3,2,L2,0,4,0,4,2017
Ohio State,Big Ten,Urban Meyer,6431240.0,6431240.0,775000.0,300000.0,,21345100.0,Big Ten,East,8.0,1,417,179,11,2,552,259,6,1,4,1,W4,3,1,3,1,2017
Arizona,Pac-12,Rich Rodriguez,5631563.0,6031563.0,2025000.0,25000.0,,6487500.0,Pac-12,South,5.0,4,361,350,7,5,502,409,4,2,3,3,L2,1,1,1,1,2017
Florida State,ACC,Jimbo Fisher,5700000.0,5700000.0,1475000.0,200000.0,,39312500.0,Atlantic Coast,Atlantic,3.0,5,156,201,6,6,320,263,3,3,3,2,W3,0,3,0,3,2017
Stanford,Pac-12,David Shaw,5680441.0,5680441.0,,,,,Pac-12,North,7.0,2,271,201,9,4,416,279,6,0,2,3,L1,2,3,2,4,2017
Texas,Big 12,Tom Herman,5486316.0,5486316.0,725000.0,,,20416667.0,Big 12,,5.0,4,229,182,6,6,350,260,3,3,3,2,L1,0,4,0,4,2017
TCU,Big 12,Gary Patterson,5104077.0,5104077.0,,,,,Big 12,,7.0,2,267,145,10,3,431,229,6,0,4,2,L1,1,2,1,2,2017
Texas A&M,SEC,Kevin Sumlin,5000000.0,5000000.0,1050000.0,100000.0,,10416667.0,Southeastern,West,4.0,4,205,250,7,5,373,344,4,3,2,2,L1,0,4,0,4,2017
Auburn,SEC,Gus Malzahn,4725000.0,4726960.0,1400000.0,275000.0,,6898958.0,Southeastern,West,7.0,1,327,152,10,3,447,225,7,0,3,2,L1,3,3,3,3,2017
Penn State,Big Ten,James Franklin,4600000.0,4600000.0,1000000.0,900000.0,,21858333.0,Big Ten,East,7.0,2,358,172,10,2,499,186,7,0,3,2,W3,1,2,1,2,2017
Iowa,Big Ten,Kirk Ferentz,4550000.0,4550000.0,2875000.0,600000.0,,22537500.0,Big Ten,West,4.0,5,241,181,7,5,340,239,5,2,2,3,W1,1,4,1,4,2017
Mississippi State,SEC,Dan Mullen,4500000.0,4500000.0,1150000.0,150000.0,,,Southeastern,West,4.0,4,210,191,8,4,385,245,5,2,3,2,L1,1,3,1,3,2017
Florida,SEC,Jim McElwain,4457400.0,4457400.0,925000.0,300000.0,,12916668.0,Southeastern,East,3.0,5,168,222,4,7,243,300,3,3,1,2,L1,0,2,0,2,2017
Michigan State,Big Ten,Mark Dantonio,4380492.0,4390492.0,650000.0,0.0,,7000000.0,Big Ten,East,7.0,2,196,181,9,3,277,243,6,1,3,2,W2,1,3,1,3,2017
Arkansas,SEC,Bret Bielema,4200000.0,4245000.0,1000000.0,125000.0,,5874227.0,Southeastern,West,1.0,7,208,337,4,8,345,434,2,4,1,3,L3,0,5,0,5,2017
Oklahoma State,Big 12,Mike Gundy,4200000.0,4200000.0,900000.0,62500.0,,13800000.0,Big 12,,6.0,3,393,309,9,3,555,361,3,3,6,0,W1,0,2,0,2,2017
Washington,Pac-12,Chris Petersen,4125000.0,4127500.0,1050000.0,675000.0,,30671875.0,Pac-12,North,7.0,2,302,137,10,2,443,174,7,0,3,2,W2,1,1,1,1,2017
Tennessee,SEC,Butch Jones,4110000.0,4110000.0,1000000.0,250000.0,,8125000.0,Southeastern,East,0.0,8,113,278,4,8,238,349,3,4,0,4,L3,0,3,0,3,2017
Louisville,ACC,Bobby Petrino,3930434.0,3930434.0,1468750.0,989584.0,,13943750.0,Atlantic Coast,Atlantic,4.0,4,292,267,8,4,468,325,4,2,3,2,W3,0,1,0,1,2017
Kentucky,SEC,Mark Stoops,3750000.0,3763600.0,3100000.0,425000.0,,14765625.0,Southeastern,East,4.0,4,217,246,7,5,309,343,4,3,3,2,L2,0,2,0,2,2017
Georgia,SEC,Kirby Smart,3753600.0,3753600.0,1800000.0,75000.0,,10800000.0,Southeastern,East,7.0,1,295,115,12,1,454,172,6,0,4,1,W3,3,1,3,1,2017
Utah,Pac-12,Kyle Whittingham,3687917.0,3687917.0,935000.0,330833.0,,12250000.0,Pac-12,South,3.0,6,244,242,6,6,354,287,4,3,2,3,W1,0,4,0,4,2017
UCLA,Pac-12,Jim Mora,3550000.0,3550000.0,1065000.0,95000.0,,12275000.0,Pac-12,South,4.0,5,259,326,6,6,405,441,6,0,0,6,W1,0,4,0,4,2017
West Virginia,Big 12,Dana Holgorsen,3505000.0,3505000.0,750000.0,185000.0,,10141667.0,Big 12,,5.0,4,296,312,7,5,435,379,4,2,3,2,L2,0,4,0,4,2017
Texas Tech,Big 12,Kliff Kingsbury,3503975.0,3503975.0,1500000.0,90000.0,,6993750.0,Big 12,,3.0,6,277,302,6,6,412,381,2,4,3,2,W1,0,3,0,3,2017
LSU,SEC,Ed Orgeron,3500000.0,3500000.0,1575000.0,25000.0,,8791667.0,Southeastern,West,6.0,2,209,165,9,3,337,225,5,1,3,2,W3,1,2,1,2,2017
Minnesota,Big Ten,P.J. Fleck,3500000.0,3500000.0,900000.0,,,9583333.0,Big Ten,West,2.0,7,166,250,5,7,265,274,4,3,1,4,L2,0,3,0,3,2017
Virginia,ACC,Bronco Mendenhall,3400000.0,3400000.0,2165000.0,0.0,,17425000.0,Atlantic Coast,Coastal,3.0,5,161,235,6,6,286,320,4,3,2,3,L3,1,2,1,2,2017
Purdue,Big Ten,Jeff Brohm,3333333.0,3333333.0,1200000.0,,,15844445.0,Big Ten,West,4.0,5,183,173,6,6,290,232,4,2,2,3,W2,0,2,0,2,2017
Northwestern,Big Ten,Pat Fitzgerald,3305818.0,3305818.0,,,,,Big Ten,West,7.0,2,259,170,9,3,356,238,6,1,3,2,W7,1,2,1,2,2017
Virginia Tech,ACC,Justin Fuente,3250000.0,3250000.0,435000.0,125000.0,,15000000.0,Atlantic Coast,Coastal,5.0,3,185,121,9,3,345,162,5,1,3,2,W2,0,2,0,2,2017
Arizona State,Pac-12,Todd Graham,3200000.0,3208779.0,3906000.0,445000.0,,12266667.0,Pac-12,South,6.0,3,281,262,7,5,383,375,5,2,2,3,W2,1,2,1,2,2017
Kansas State,Big 12,Bill Snyder,3200000.0,3205000.0,580000.0,50000.0,,2000000.0,Big 12,,5.0,4,268,270,7,5,385,310,4,3,3,2,W2,1,2,1,2,2017
Wisconsin,Big Ten,Paul Chryst,3200000.0,3200000.0,,260000.0,,4000000.0,Big Ten,West,9.0,0,288,114,12,1,439,171,7,0,5,0,L1,1,1,1,1,2017
South Carolina,SEC,Will Muschamp,3100000.0,3100000.0,1075000.0,125000.0,,7188333.0,Southeastern,East,5.0,3,196,162,8,4,289,250,5,2,2,2,L1,0,2,0,2,2017
Washington State,Pac-12,Mike Leach,3075000.0,3075000.0,725000.0,75000.0,,4900000.0,Pac-12,North,6.0,3,254,242,9,3,377,293,7,0,2,3,L1,3,1,3,1,2017
Illinois,Big Ten,Lovie Smith,3000000.0,3000000.0,1000000.0,75000.0,,16500000.0,Big Ten,West,0.0,9,118,303,2,10,185,378,2,5,0,5,L10,0,4,0,4,2017
Georgia Tech,ACC,Paul Johnson,2970891.0,2970891.0,1050000.0,425000.0,,3247574.0,Atlantic Coast,Coastal,4.0,4,224,202,5,6,309,292,5,1,0,4,L2,1,3,1,3,2017
Nebraska,Big Ten,Mike Riley,2900000.0,2900000.0,950000.0,150000.0,,6630000.0,Big Ten,West,3.0,6,214,338,4,8,309,437,2,5,2,3,L4,0,4,0,4,2017
Oregon,Pac-12,Willie Taggart,2900000.0,2900000.0,1825000.0,,,8150000.0,Pac-12,North,4.0,5,272,270,7,5,440,339,6,1,1,4,W2,0,3,0,3,2017
Colorado,Pac-12,Mike MacIntyre,2803500.0,2803500.0,2150000.0,772500.0,,13483333.0,Pac-12,South,2.0,7,222,311,5,7,317,338,3,3,1,4,L3,0,3,0,3,2017
Vanderbilt,SEC,Derek Mason,2721834.0,2721834.0,,,,,Southeastern,East,1.0,7,180,346,5,7,295,376,3,4,2,3,W1,0,2,0,2,2017
Oregon State,Pac-12,Gary Andersen,2650000.0,2650000.0,525000.0,50000.0,,,Pac-12,North,0.0,9,172,378,1,11,248,516,1,5,0,6,L10,0,4,0,4,2017
Duke,ACC,David Cutcliffe,2613638.0,2613638.0,,,,,Atlantic Coast,Coastal,3.0,5,158,184,6,6,309,249,4,3,2,3,W2,1,2,1,2,2017
