coach,last_year_bonus,max_bonus,other_pay,position,school_name,school_pay,total_pay,year
Nick Saban,500000.0,1100000.0,0.0,coach,Alabama,8307000.0,8307000,2018
Nick Saban,550000.0,700000.0,0.0,coach,Alabama,11132000.0,11132000,2017
Nick Saban,625000.0,700000.0,0.0,coach,Alabama,6939395.0,6939395,2016
Nick Saban,425000.0,700000.0,155086.0,coach,Alabama,6932395.0,7087481,2015
Nick Saban,0.0,700000.0,209984.0,coach,Alabama,6950203.0,7160187,2014
Nick Saban,0.0,700000.0,150000.0,coach,Alabama,5395852.0,5545852,2013
Nick Saban,0.0,700000.0,160071.0,coach,Alabama,5316667.0,5476738,2012
Nick Saban,0.0,700000.0,150000.0,coach,Alabama,4683333.0,4833333,2011
Nick Saban,0.0,700000.0,830683.0,coach,Alabama,5166666.0,5997349,2010
Nick Saban,0.0,700000.0,3675000.0,coach,Alabama,225000.0,3900000,2009
Nick Saban,0.0,700000.0,3278200.0,coach,Alabama,225000.0,3503200,2007
Urban Meyer,350000.0,775000.0,0.0,coach,Ohio State,7600000.0,7600000,2018
Urban Meyer,300000.0,775000.0,0.0,coach,Ohio State,6431240.0,6431240,2017
Urban Meyer,250000.0,775000.0,91800.0,coach,Ohio State,6003000.0,6094800,2016
Urban Meyer,400000.0,775000.0,0.0,coach,Ohio State,5860000.0,5860000,2015
Urban Meyer,0.0,550000.0,50000.0,coach,Ohio State,4486640.0,4536640,2014
Urban Meyer,0.0,550000.0,0.0,coach,Ohio State,4608000.0,4608000,2013
Urban Meyer,0.0,450000.0,50000.0,coach,Ohio State,4250000.0,4300000,2012
Urban Meyer,0.0,575000.0,0.0,coach,Florida,4010000.0,4010000,2010
Urban Meyer,0.0,0.0,3750000.0,coach,Florida,250000.0,4000000,2009
Urban Meyer,0.0,0.0,3144798.0,coach,Florida,238702.0,3383500,2007
Urban Meyer,0.0,454000.0,1032800.0,coach,Florida,491750.0,1524550,2006
Jim Harbaugh,150000.0,1325000.0,0.0,coach,Michigan,7504000.0,7504000,2018
Jim Harbaugh,200000.0,1325000.0,0.0,coach,Michigan,7004000.0,7004000,2017
Jim Harbaugh,0.0,1325000.0,0.0,coach,Michigan,9004000.0,9004000,2016
Jim Harbaugh,0.0,1175000.0,0.0,coach,Michigan,7004000.0,7004000,2015
Jim Harbaugh,0.0,0.0,0.0,coach,Stanford,0.0,0,2010
Jim Harbaugh,0.0,0.0,0.0,coach,Stanford,0.0,0,2009
Jim Harbaugh,0.0,0.0,0.0,coach,Stanford,0.0,0,2007
Jimbo Fisher,0.0,1350000.0,0.0,coach,Texas A&M,7500000.0,7500000,2018
Jimbo Fisher,200000.0,1475000.0,0.0,coach,Florida State,5700000.0,5700000,2017
Jimbo Fisher,100000.0,1475000.0,0.0,coach,Florida State,5250000.0,5250000,2016
Jimbo Fisher,500000.0,1475000.0,0.0,coach,Florida State,5150000.0,5150000,2015
Jimbo Fisher,0.0,1275000.0,0.0,coach,Florida State,3591667.0,3591667,2014
Jimbo Fisher,0.0,675000.0,0.0,coach,Florida State,2750000.0,2750000,2013
Jimbo Fisher,0.0,675000.0,0.0,coach,Florida State,2750000.0,2750000,2012
Jimbo Fisher,0.0,725000.0,0.0,coach,Florida State,2750000.0,2750000,2011
Jimbo Fisher,0.0,675000.0,3500.0,coach,Florida State,1800000.0,1803500,2010
Jimbo Fisher,0.0,26875.0,414000.0,assistant,Florida State,215000.0,629000,2009
Gus Malzahn,375000.0,1400000.0,5656.0,coach,Auburn,6700000.0,6705656,2018
Gus Malzahn,275000.0,1400000.0,1960.0,coach,Auburn,4725000.0,4726960,2017
Gus Malzahn,125000.0,1400000.0,4500.0,coach,Auburn,4725000.0,4729500,2016
Gus Malzahn,125000.0,1400000.0,4500.0,coach,Auburn,4100000.0,4104500,2015
Gus Malzahn,0.0,1400000.0,4500.0,coach,Auburn,3850000.0,3854500,2014
Gus Malzahn,0.0,1250000.0,0.0,coach,Auburn,2440000.0,2440000,2013
Gus Malzahn,0.0,160000.0,3400.0,coach,Arkansas State,856210.0,859610,2012
Gus Malzahn,0.0,365000.0,9600.0,assistant,Auburn,1300000.0,1309600,2011
Gus Malzahn,0.0,165000.0,0.0,assistant,Auburn,500000.0,500000,2010
Gus Malzahn,0.0,112500.0,0.0,assistant,Auburn,350000.0,350000,2009
Kirby Smart,1350000.0,1150000.0,0.0,coach,Georgia,6603600.0,6603600,2018
Kirby Smart,75000.0,1800000.0,0.0,coach,Georgia,3753600.0,3753600,2017
Kirby Smart,0.0,1800000.0,0.0,coach,Georgia,3753600.0,3753600,2016
Kirby Smart,0.0,250000.0,1500.0,assistant,Alabama,1500000.0,1501500,2015
Kirby Smart,0.0,250000.0,5850.0,assistant,Alabama,1350000.0,1355850,2014
Kirby Smart,0.0,230000.0,350.0,assistant,Alabama,1150000.0,1150350,2013
Kirby Smart,0.0,190000.0,0.0,assistant,Alabama,950000.0,950000,2012
Kirby Smart,0.0,170000.0,1500.0,assistant,Alabama,850000.0,851500,2011
