coach_name,last_year_bonus,max_bonus,other_pay,school_pay,total_pay,year,school,conference
Nick Saban,500000.0,1100000.0,0.0,8307000.0,8307000,2018,Alabama,SEC
Nick Saban,550000.0,700000.0,0.0,11132000.0,11132000,2017,Alabama,SEC
Nick Saban,625000.0,700000.0,0.0,6939395.0,6939395,2016,Alabama,SEC
Nick Saban,425000.0,700000.0,155086.0,6932395.0,7087481,2015,Alabama,SEC
Nick Saban,0.0,700000.0,209984.0,6950203.0,7160187,2014,Alabama,SEC
Nick Saban,0.0,700000.0,150000.0,5395852.0,5545852,2013,Alabama,SEC
Nick Saban,0.0,700000.0,160071.0,5316667.0,5476738,2012,Alabama,SEC
Nick Saban,0.0,700000.0,150000.0,4683333.0,4833333,2011,Alabama,SEC
Nick Saban,0.0,700000.0,830683.0,5166666.0,5997349,2010,Alabama,SEC
Nick Saban,0.0,700000.0,3675000.0,225000.0,3900000,2009,Alabama,SEC
Nick Saban,0.0,700000.0,3278200.0,225000.0,3503200,2007,Alabama,SEC
Urban Meyer,350000.0,775000.0,0.0,7600000.0,7600000,2018,Ohio State,Big Ten
Urban Meyer,300000.0,775000.0,0.0,6431240.0,6431240,2017,Ohio State,Big Ten
Urban Meyer,250000.0,775000.0,91800.0,6003000.0,6094800,2016,Ohio State,Big Ten
Urban Meyer,400000.0,775000.0,0.0,5860000.0,5860000,2015,Ohio State,Big Ten
Urban Meyer,0.0,550000.0,50000.0,4486640.0,4536640,2014,Ohio State,Big Ten
Urban Meyer,0.0,550000.0,0.0,4608000.0,4608000,2013,Ohio State,Big Ten
Urban Meyer,0.0,450000.0,50000.0,4250000.0,4300000,2012,Ohio State,Big Ten
Jim Harbaugh,150000.0,1325000.0,0.0,7504000.0,7504000,2018,Michigan,Big Ten
Jim Harbaugh,200000.0,1325000.0,0.0,7004000.0,7004000,2017,Michigan,Big Ten
Jim Harbaugh,0.0,1325000.0,0.0,9004000.0,9004000,2016,Michigan,Big Ten
Jim Harbaugh,0.0,1175000.0,0.0,7004000.0,7004000,2015,Michigan,Big Ten
Jimbo Fisher,0.0,1350000.0,0.0,7500000.0,7500000,2018,Texas A&M,SEC
Gus Malzahn,375000.0,1400000.0,5656.0,6700000.0,6705656,2018,Auburn,SEC
Gus Malzahn,275000.0,1400000.0,1960.0,4725000.0,4726960,2017,Auburn,SEC
Gus Malzahn,125000.0,1400000.0,4500.0,4725000.0,4729500,2016,Auburn,SEC
Gus Malzahn,125000.0,1400000.0,4500.0,4100000.0,4104500,2015,Auburn,SEC
Gus Malzahn,0.0,1400000.0,4500.0,3850000.0,3854500,2014,Auburn,SEC
Gus Malzahn,0.0,1250000.0,0.0,2440000.0,2440000,2013,Auburn,SEC
Kirby Smart,1350000.0,1150000.0,0.0,6603600.0,6603600,2018,Georgia,SEC
Kirby Smart,75000.0,1800000.0,0.0,3753600.0,3753600,2017,Georgia,SEC
Kirby Smart,0.0,1800000.0,0.0,3753600.0,3753600,2016,Georgia,SEC
Dabo Swinney,500000.0,1125000.0,338350.0,6205000.0,6543350,2018,Clemson,ACC
Dabo Swinney,1525000.0,1000000.0,22200.0,8504600.0,8526800,2017,Clemson,ACC
Dabo Swinney,1100000.0,1725000.0,5200.0,4417500.0,4422700,2016,Clemson,ACC
Dabo Swinney,50000.0,1125000.0,5200.0,3300000.0,3305200,2015,Clemson,ACC
Dabo Swinney,0.0,1200000.0,25100.0,3150000.0,3175100,2014,Clemson,ACC
Dabo Swinney,0.0,775000.0,10000.0,2540024.0,2550024,2013,Clemson,ACC
Dabo Swinney,0.0,775000.0,10000.0,2040024.0,2050024,2012,Clemson,ACC
Dabo Swinney,0.0,775000.0,13000.0,1833333.0,1846333,2011,Clemson,ACC
Dabo Swinney,0.0,694792.0,18500.0,1750000.0,1768500,2010,Clemson,ACC
Dabo Swinney,0.0,875000.0,566850.0,250000.0,816850,2009,Clemson,ACC
Dan Mullen,0.0,925000.0,0.0,6070000.0,6070000,2018,Florida,SEC
Tom Herman,75000.0,725000.0,0.0,5500000.0,5500000,2018,Texas,Big 12
Tom Herman,0.0,725000.0,0.0,5486316.0,5486316,2017,Texas,Big 12
Scott Frost,0.0,950000.0,0.0,5000000.0,5000000,2018,Nebraska,Big Ten
Mike Gundy,62500.0,900000.0,0.0,5000000.0,5000000,2018,Oklahoma State,Big 12
Mike Gundy,62500.0,900000.0,0.0,4200000.0,4200000,2017,Oklahoma State,Big 12
Mike Gundy,100000.0,550000.0,0.0,3775000.0,3775000,2016,Oklahoma State,Big 12
Mike Gundy,62500.0,550000.0,0.0,3650000.0,3650000,2015,Oklahoma State,Big 12
Mike Gundy,0.0,550000.0,0.0,3500000.0,3500000,2014,Oklahoma State,Big 12
Mike Gundy,0.0,550000.0,0.0,3450000.0,3450000,2013,Oklahoma State,Big 12
Mike Gundy,0.0,550000.0,0.0,3275000.0,3275000,2012,Oklahoma State,Big 12
Mike Gundy,0.0,500000.0,0.0,2100000.0,2100000,2011,Oklahoma State,Big 12
Mike Gundy,0.0,500000.0,0.0,1925000.0,1925000,2010,Oklahoma State,Big 12
Mike Gundy,0.0,500000.0,1425000.0,375000.0,1800000,2009,Oklahoma State,Big 12
Mike Gundy,0.0,684000.0,675000.0,275000.0,950000,2007,Oklahoma State,Big 12
Mike Gundy,0.0,684000.0,550000.0,250000.0,800000,2006,Oklahoma State,Big 12
Willie Taggart,0.0,1475000.0,0.0,5000000.0,5000000,2018,Florida State,ACC
Lovie Smith,50000.0,1000000.0,0.0,5000000.0,5000000,2018,Illinois,Big Ten
Lovie Smith,75000.0,1000000.0,0.0,3000000.0,3000000,2017,Illinois,Big Ten
Lovie Smith,0.0,1000000.0,0.0,1809179.0,1809179,2016,Illinois,Big Ten
Gary Patterson,0.0,0.0,0.0,4840717.0,4840717,2018,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,5104077.0,5104077,2017,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,4014723.0,4014723,2016,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,3940026.0,3940026,2015,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,4008150.0,4008150,2014,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,3120760.0,3120760,2013,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,3467926.0,3467926,2012,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,2018362.0,2018362,2011,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,1642089.0,1642089,2010,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,1800000.0,1800000,2009,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,1219212.0,1219212,2007,TCU,Big 12
Gary Patterson,0.0,0.0,0.0,952162.0,952162,2006,TCU,Big 12
James Franklin,300000.0,1000000.0,0.0,4800000.0,4800000,2018,Penn State,Big Ten
James Franklin,900000.0,1000000.0,0.0,4600000.0,4600000,2017,Penn State,Big Ten
James Franklin,200000.0,1000000.0,0.0,4500000.0,4500000,2016,Penn State,Big Ten
James Franklin,200000.0,1000000.0,0.0,4400000.0,4400000,2015,Penn State,Big Ten
James Franklin,0.0,1000000.0,0.0,4300000.0,4300000,2014,Penn State,Big Ten
Lincoln Riley,180000.0,700000.0,0.0,4800000.0,4800000,2018,Oklahoma,Big 12
Lincoln Riley,0.0,700000.0,0.0,2116666.0,2116666,2017,Oklahoma,Big 12
Kirk Ferentz,600000.0,2875000.0,0.0,4700000.0,4700000,2018,Iowa,Big Ten
Kirk Ferentz,600000.0,2875000.0,0.0,4550000.0,4550000,2017,Iowa,Big Ten
Kirk Ferentz,900000.0,2875000.0,0.0,4500000.0,4500000,2016,Iowa,Big Ten
Kirk Ferentz,25000.0,2375000.0,0.0,4075000.0,4075000,2015,Iowa,Big Ten
Kirk Ferentz,0.0,1750000.0,0.0,4075000.0,4075000,2014,Iowa,Big Ten
Kirk Ferentz,0.0,1750000.0,0.0,3985000.0,3985000,2013,Iowa,Big Ten
Kirk Ferentz,0.0,1750000.0,0.0,3835000.0,3835000,2012,Iowa,Big Ten
Kirk Ferentz,0.0,1750000.0,0.0,3785000.0,3785000,2011,Iowa,Big Ten
Kirk Ferentz,0.0,1750000.0,6000.0,3775000.0,3781000,2010,Iowa,Big Ten
Kirk Ferentz,0.0,1000000.0,4500.0,3020000.0,3024500,2009,Iowa,Big Ten
Kirk Ferentz,0.0,1000000.0,10000.0,3020000.0,3030000,2007,Iowa,Big Ten
Kirk Ferentz,0.0,1000000.0,0.0,2840000.0,2840000,2006,Iowa,Big Ten
Mark Dantonio,125000.0,650000.0,0.0,4390417.0,4390417,2018,Michigan State,Big Ten
Mark Dantonio,0.0,650000.0,10000.0,4380492.0,4390492,2017,Michigan State,Big Ten
