Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2017-11-08, Bowling Green, 100, 30, 294, 43, 28, 6, 54, 3, 0, 21, 16, 8, 1, 1, 1632, 28, Buffalo, 176, 40, 406, 37, 23, 6, 51, 2, 0, 26, 12, 5, 1, 1, 1968, 38
2017-11-08, Akron, 55, 30, 218, 38, 19, 5, 57, 0, 0, 18, 16, 7, 2, 0, 1779, 14, Miami (OH), 176, 34, 244, 32, 19, 4, 40, 0, 2, 26, 10, 4, 0, 0, 1821, 24
2017-11-09, E Michigan, 124, 36, 204, 39, 23, 4, 25, 0, 5, 22, 14, 5, 1, 0, 1935, 30, Cent Michigan, 177, 42, 155, 18, 11, 5, 55, 1, 0, 12, 12, 3, 1, 0, 1665, 42
2017-11-09, Kent State, 162, 37, 119, 24, 13, 6, 56, 2, 2, 12, 14, 3, 1, 0, 1609, 20, W Michigan, 292, 50, 97, 19, 8, 3, 29, 1, 0, 18, 15, 3, 1, 1, 1991, 48
2017-11-09, Toledo, 53, 23, 263, 35, 24, 6, 48, 2, 0, 14, 13, 3, 3, 1, 1603, 10, Ohio, 393, 56, 139, 15, 7, 5, 45, 2, 1, 23, 13, 8, 0, 0, 1997, 38
2017-11-08, Akron, 55, 30, 218, 38, 19, 5, 57, 0, 0, 18, 16, 7, 2, 0, 1779, 14, Miami (OH), 176, 34, 244, 32, 19, 4, 40, 0, 2, 26, 10, 4, 0, 0, 1821, 24
2017-11-08, Bowling Green, 100, 30, 294, 43, 28, 6, 54, 3, 0, 21, 16, 8, 1, 1, 1632, 28, Buffalo, 176, 40, 406, 37, 23, 6, 51, 2, 0, 26, 12, 5, 1, 1, 1968, 38
2017-11-10, Ga Southern, 111, 38, 80, 18, 10, 5, 42, 0, 0, 15, 14, 5, 1, 1, 1715, 6, Appalachian St, 253, 46, 161, 14, 7, 7, 61, 0, 0, 19, 11, 4, 4, 2, 1885, 27
2017-11-09, Toledo, 53, 23, 263, 35, 24, 6, 48, 2, 0, 14, 13, 3, 3, 1, 1603, 10, Ohio, 393, 56, 139, 15, 7, 5, 45, 2, 1, 23, 13, 8, 0, 0, 1997, 38
2017-11-09, Kent State, 162, 37, 119, 24, 13, 6, 56, 2, 2, 12, 14, 3, 1, 0, 1609, 20, W Michigan, 292, 50, 97, 19, 8, 3, 29, 1, 0, 18, 15, 3, 1, 1, 1991, 48
2017-11-09, E Michigan, 124, 36, 204, 39, 23, 4, 25, 0, 5, 22, 14, 5, 1, 0, 1935, 30, Cent Michigan, 177, 42, 155, 18, 11, 5, 55, 1, 0, 12, 12, 3, 1, 0, 1665, 42
2017-11-10, UNC, 96, 32, 270, 32, 21, 7, 65, 0, 0, 21, 12, 5, 1, 1, 1667, 34, Pitt, 265, 45, 142, 17, 11, 1, 15, 1, 0, 25, 9, 4, 0, 0, 1933, 31
2017-11-10, Ball State, 83, 43, 162, 30, 19, 4, 50, 0, 1, 16, 18, 6, 0, 0, 2161, 17, N Illinois, 222, 45, 211, 24, 11, 1, 5, 1, 0, 20, 14, 9, 1, 0, 1439, 63
2017-11-10, UNC, 96, 32, 270, 32, 21, 7, 65, 0, 0, 21, 12, 5, 1, 1, 1667, 34, Pitt, 265, 45, 142, 17, 11, 1, 15, 1, 0, 25, 9, 4, 0, 0, 1933, 31
2017-11-10, Ga Southern, 111, 38, 80, 18, 10, 5, 42, 0, 0, 15, 14, 5, 1, 1, 1715, 6, Appalachian St, 253, 46, 161, 14, 7, 7, 61, 0, 0, 19, 11, 4, 4, 2, 1885, 27
2017-11-10, Ball State, 83, 43, 162, 30, 19, 4, 50, 0, 1, 16, 18, 6, 0, 0, 2161, 17, N Illinois, 222, 45, 211, 24, 11, 1, 5, 1, 0, 20, 14, 9, 1, 0, 1439, 63
2017-11-11, BYU, 265, 42, 160, 22, 14, 2, 20, 0, 0, 24, 10, 2, 2, 1, 1804, 31, UNLV, 122, 34, 325, 33, 20, 6, 75, 0, 2, 21, 14, 6, 3, 2, 1796, 21
2017-11-11, Washington, 135, 33, 190, 23, 17, 7, 73, 1, 0, 20, 8, 2, 2, 0, 1435, 22, Stanford, 195, 44, 211, 27, 16, 5, 50, 0, 0, 21, 18, 10, 1, 1, 2165, 30
2017-11-11, Temple, 205, 43, 224, 30, 19, 4, 50, 1, 1, 25, 14, 8, 0, 0, 1937, 35, Cincinnati, 184, 35, 221, 37, 21, 11, 107, 1, 0, 21, 18, 9, 3, 2, 1663, 24
2017-11-12, Fresno State, 175, 36, 226, 36, 19, 6, 46, 0, 2, 24, 12, 5, 0, 0, 1864, 31, Hawaii, 118, 37, 154, 31, 18, 4, 36, 1, 1, 16, 15, 7, 2, 1, 1736, 21
2017-11-11, Georgia State, 162, 41, 368, 40, 26, 7, 64, 2, 0, 21, 18, 6, 2, 0, 1885, 33, Texas State, 75, 25, 315, 55, 35, 2, 10, 0, 1, 23, 17, 7, 1, 0, 1715, 30
2017-11-11, San Jose State, 173, 55, 129, 22, 11, 6, 67, 2, 3, 23, 14, 3, 1, 1, 1816, 14, Nevada, 176, 44, 265, 28, 20, 8, 70, 0, 0, 20, 16, 8, 0, 0, 1784, 59
2017-11-11, UVA, 63, 28, 214, 36, 19, 8, 73, 1, 1, 16, 15, 6, 0, 0, 1801, 21, Louisville, 298, 43, 195, 26, 15, 6, 65, 2, 0, 27, 11, 4, 2, 2, 1799, 38
2017-11-11, Temple, 205, 43, 224, 30, 19, 4, 50, 1, 1, 25, 14, 8, 0, 0, 1937, 35, Cincinnati, 184, 35, 221, 37, 21, 11, 107, 1, 0, 21, 18, 9, 3, 2, 1663, 24
2017-11-11, Arkansas, 142, 34, 176, 33, 16, 5, 59, 0, 1, 17, 15, 5, 2, 0, 1866, 10, LSU, 198, 39, 217, 16, 11, 5, 40, 0, 0, 21, 9, 5, 0, 0, 1734, 33
2017-11-11, Duke, 89, 33, 164, 30, 19, 4, 43, 1, 1, 22, 12, 7, 2, 1, 1650, 16, Army, 226, 57, 42, 1, 1, 6, 49, 1, 0, 17, 10, 5, 2, 1, 1950, 21
2017-11-11, UTEP, 100, 32, 131, 32, 16, 7, 59, 0, 1, 15, 15, 4, 2, 1, 1898, 10, North Texas, 259, 39, 213, 35, 23, 4, 40, 1, 0, 27, 13, 8, 3, 2, 1702, 45
2017-11-11, Texas Tech, 91, 30, 246, 29, 24, 6, 64, 1, 0, 18, 10, 4, 1, 1, 1413, 38, Baylor, 106, 29, 417, 63, 43, 6, 65, 3, 1, 31, 19, 11, 3, 1, 2187, 24
2017-11-11, North Carolina St, 221, 41, 146, 32, 13, 2, 10, 1, 1, 17, 17, 9, 1, 0, 1828, 17, Boston College, 236, 54, 111, 22, 10, 3, 15, 1, 1, 20, 15, 6, 4, 0, 1772, 14
2017-11-11, LA-Lafayette, 228, 31, 199, 35, 18, 6, 50, 0, 0, 21, 13, 3, 1, 1, 1816, 22, Ole Miss, 223, 43, 418, 36, 28, 2, 20, 0, 1, 30, 13, 10, 0, 0, 1784, 50
2017-11-12, New Mexico, 120, 42, 24, 17, 7, 2, 19, 0, 1, 11, 14, 4, 0, 0, 2079, 14, Texas A&M, 63, 23, 499, 43, 30, 6, 69, 0, 0, 25, 11, 5, 0, 0, 1521, 55
2017-11-11, Nebraska, 69, 33, 311, 36, 25, 4, 54, 0, 0, 20, 14, 5, 6, 2, 1865, 21, Minnesota, 409, 45, 105, 16, 9, 3, 35, 0, 0, 24, 9, 5, 1, 1, 1735, 54
2017-11-12, Wyoming, 100, 43, 129, 15, 11, 5, 50, 1, 0, 16, 11, 4, 0, 0, 1699, 28, Air Force, 203, 61, 175, 22, 10, 5, 55, 2, 1, 22, 18, 6, 6, 2, 1901, 14
2017-11-12, Tulane, 325, 52, 121, 20, 12, 8, 70, 1, 2, 22, 15, 6, 3, 3, 2051, 31, ECU, 161, 32, 228, 53, 25, 2, 20, 0, 1, 24, 18, 8, 5, 2, 1549, 24
2017-11-12, Purdue, 40, 22, 398, 61, 38, 5, 50, 0, 1, 22, 19, 7, 4, 1, 1633, 13, Northwestern, 94, 38, 296, 46, 26, 4, 40, 0, 0, 22, 22, 9, 4, 2, 1967, 23
2017-11-12, Old Dominion, 199, 36, 240, 24, 17, 2, 15, 0, 0, 21, 10, 3, 1, 0, 1595, 37, FIU, 164, 35, 323, 50, 35, 9, 84, 2, 0, 27, 18, 7, 3, 2, 2005, 30
2017-11-11, Maine, 148, 29, 232, 41, 16, 12, 124, 0, 2, 17, 14, 1, 3, 1, 1711, 31, UMass, 100, 36, 355, 39, 21, 13, 96, 0, 0, 23, 14, 3, 3, 1, 1889, 44
2017-11-12, UAB, 216, 53, 49, 13, 8, 6, 61, 1, 1, 16, 14, 6, 1, 1, 1894, 24, UTSA, 137, 36, 162, 37, 17, 5, 35, 2, 1, 18, 19, 8, 2, 2, 1706, 19
2017-11-11, SMU, 165, 31, 261, 30, 16, 7, 65, 0, 2, 21, 11, 5, 1, 1, 1297, 40, Navy, 559, 72, 0, 1, 0, 5, 68, 1, 1, 24, 13, 5, 5, 3, 2303, 43
2017-11-11, Troy, 122, 36, 259, 33, 21, 4, 29, 0, 1, 24, 13, 7, 2, 2, 1731, 42, Coastal Carolina, 94, 37, 164, 28, 14, 5, 59, 0, 2, 16, 14, 3, 4, 3, 1869, 17
2017-11-11, Mid Tennessee, 202, 41, 255, 31, 18, 9, 85, 0, 0, 21, 13, 6, 1, 0, 1932, 35, Charlotte, 98, 32, 258, 30, 18, 7, 78, 0, 1, 16, 13, 3, 2, 0, 1668, 21
2017-11-11, FSU, 21, 24, 208, 32, 13, 4, 55, 1, 1, 12, 13, 3, 2, 0, 1430, 14, Clemson, 227, 52, 151, 30, 20, 7, 80, 2, 0, 24, 15, 8, 0, 0, 2170, 31
2017-11-11, Georgia, 46, 32, 184, 29, 13, 7, 75, 1, 0, 13, 14, 3, 2, 2, 1614, 17, Auburn, 237, 46, 251, 25, 17, 5, 29, 0, 0, 25, 13, 4, 0, 0, 1986, 40
2017-11-11, BYU, 265, 42, 160, 22, 14, 2, 20, 0, 0, 24, 10, 2, 2, 1, 1804, 31, UNLV, 122, 34, 325, 33, 20, 6, 75, 0, 2, 21, 14, 6, 3, 2, 1796, 21
2017-11-11, Kansas, 96, 35, 268, 43, 27, 5, 45, 1, 3, 19, 19, 7, 1, 0, 1823, 27, Texas, 113, 40, 258, 34, 24, 8, 68, 1, 1, 18, 17, 5, 6, 4, 1777, 42
2017-11-12, Notre Dame, 109, 36, 152, 27, 13, 6, 49, 1, 3, 13, 16, 6, 2, 1, 1561, 8, Miami (FL), 237, 42, 137, 24, 15, 1, 5, 0, 0, 18, 13, 2, 3, 3, 2039, 41
2017-11-11, Iowa, 25, 26, 41, 24, 8, 5, 32, 2, 1, 5, 13, 0, 1, 1, 1293, 14, Wisconsin, 247, 49, 135, 18, 11, 6, 54, 1, 3, 18, 13, 5, 0, 0, 2307, 38
2017-11-12, Oregon State, 151, 40, 209, 28, 16, 5, 39, 0, 1, 22, 14, 6, 2, 2, 2029, 28, Arizona, 534, 55, 68, 7, 5, 5, 70, 0, 1, 26, 9, 7, 0, 0, 1571, 49
2017-11-11, UConn, 212, 45, 201, 31, 18, 8, 79, 1, 1, 23, 15, 6, 3, 0, 1935, 24, UCF, 173, 35, 346, 38, 25, 10, 84, 1, 0, 22, 16, 8, 2, 0, 1665, 49
