School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code,year,Power5,ConferenceAbbrev
Wisconsin,Big Ten,2.0,8,2,0.0,17.11,8.39,25.5,48.02,-3.29,,,,,,,40.0,1962,True,B1G
USC,AAWU,1.0,11,0,0.0,11.54,11.76,23.29,38.45,-6.62,,,,,,,103.0,1962,True,Pac-12
Alabama,SEC,5.0,10,1,0.0,8.03,14.44,22.47,39.59,-10.3,,,,,,,107.0,1962,True,SEC
Minnesota,Big Ten,10.0,6,2,1.0,5.93,15.32,21.25,31.28,-11.39,,,,,,,33.0,1962,True,B1G
Northwestern,Big Ten,,7,2,0.0,14.16,6.04,20.19,43.72,-0.08,,,,,,,35.0,1962,True,B1G
LSU,SEC,7.0,9,1,1.0,3.89,15.87,19.76,31.7,-10.56,,,,,,,113.0,1962,True,SEC
Ole Miss,SEC,3.0,10,0,0.0,7.79,10.9,18.68,37.9,-6.09,,,,,,,116.0,1962,True,SEC
Ohio St.,Big Ten,,6,3,0.0,8.04,9.55,17.6,36.74,-5.35,,,,,,,36.0,1962,True,B1G
Georgia Tech,SEC,,7,3,1.0,8.75,8.79,17.54,36.05,-6.06,,,,,,,17.0,1962,True,ACC
Washington,AAWU,,7,1,2.0,5.99,11.0,16.98,33.71,-5.22,,,,,,,105.0,1962,True,Pac-12
Oklahoma,Big 8,8.0,8,3,0.0,4.21,12.61,16.82,37.46,-7.94,,,,,,,45.0,1962,True,Big 12
Michigan St.,Big Ten,,5,4,0.0,9.07,7.71,16.78,37.0,-3.19,,,,,,,32.0,1962,True,B1G
Penn State,Ind,9.0,9,2,0.0,8.16,7.83,15.99,34.78,-2.44,,,,,,,37.0,1962,True,B1G
Purdue,Big Ten,,4,4,1.0,3.98,11.54,15.51,31.95,-7.5,,,,,,,38.0,1962,True,B1G
Texas,SWC,4.0,9,1,1.0,3.72,11.51,15.23,30.58,-6.61,,,,,,,48.0,1962,True,Big 12
Arkansas,SWC,6.0,9,2,0.0,10.14,4.88,15.01,39.56,0.26,,,,,,,108.0,1962,True,SEC
Missouri,Big 8,,8,1,2.0,0.65,13.1,13.75,29.82,-7.48,,,,,,,115.0,1962,True,SEC
Florida,SEC,,7,4,0.0,8.26,4.96,13.22,37.08,-0.33,,,,,,,110.0,1962,True,SEC
Oregon,Ind,,6,3,1.0,10.05,2.16,12.2,36.37,3.16,,,,,,,99.0,1962,True,Pac-12
Duke,ACC,,8,2,0.0,4.01,7.64,11.65,32.54,-2.12,,,,,,,15.0,1962,True,ACC
Oregon St.,Ind,,9,2,0.0,7.96,3.46,11.42,34.93,2.06,,,,,,,100.0,1962,True,Pac-12
Iowa,Big Ten,,4,5,0.0,6.5,4.82,11.32,33.41,0.51,,,,,,,29.0,1962,True,B1G
Notre Dame,Ind,,5,5,0.0,6.79,4.44,11.23,33.25,0.18,,,,,,,70.0,1962,True,IND (FBS)
Nebraska,Big 8,,9,2,0.0,9.49,1.63,11.12,36.51,4.27,,,,,,,34.0,1962,True,B1G
Miami (FL),Ind,,7,4,0.0,9.23,1.09,10.32,34.12,3.94,,,,,,,19.0,1962,True,ACC
Boston College,Ind,,8,2,0.0,7.2,2.26,9.46,34.52,4.24,,,,,,,13.0,1962,True,ACC
Kansas,Big 8,,6,3,1.0,3.97,5.18,9.15,30.72,-0.4,,,,,,,43.0,1962,True,Big 12
Houston,Ind,,7,4,0.0,5.82,3.17,8.99,31.93,2.33,,,,,,,5.0,1962,False,AAC
TCU,SWC,,6,4,0.0,6.57,2.21,8.77,32.05,2.95,,,,,,,47.0,1962,True,Big 12
Florida St.,Ind,,4,3,3.0,-2.04,10.79,8.75,27.89,-5.49,,,,,,,16.0,1962,True,ACC
Arizona St.,WAC,,7,2,1.0,8.92,-0.18,8.74,36.9,5.48,,,,,,,96.0,1962,True,Pac-12
Navy,Ind,,5,5,0.0,5.13,3.46,8.59,32.81,4.63,,,,,,,7.0,1962,False,AAC
Syracuse,Ind,,5,5,0.0,1.59,6.83,8.42,28.49,-2.34,,,,,,,23.0,1962,True,ACC
Memphis,Ind,,8,1,0.0,2.23,5.55,7.78,34.75,1.29,,,,,,,6.0,1962,False,AAC
