"Player","unique_id","position","Date","G","School","Team Code","Loc","Opponent","Team Code opp","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","Rush Att","Rush Yard","Rush Avg","Rush TD","Rec","Rec Yards","Rec Avg","Rec TD","Tackle Solo","Tackle Assist","Tackle Tot","Tackle for Loss","Sack","Int Ret","Int Ret Yds","Int TD","Pass Broken Up","FR","FR Yds","FR TD","Fumble Forced","XP Made","XP Att","XP %","FG Made","FG Att","FG %","Pts","Kick Ret","Kick Ret Yds","Kick Ret Avg","Kick Ret TD","Punt Ret","Punt Ret Yds","Punt Ret Avg","Punt Ret TD"
"Gerald Jones","gerald-jones-1","[]","2003-08-23",1,"San Jose St.",91,,"Grambling",251,"W",,,,,,,,,,,,,,,,,,,,,1,46,1,,,,,,,,,,,,,,,,,,,,
"James McGill","james-mcgill-1","[]","2003-08-23",1,"Kansas St.",44,,"California",97,"W",,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,,,,,,,,,,,,,,
"Jesse Avant","jesse-avant-1","[]","2003-08-28",1,"Ball St.",72,,"Indiana State",183,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Jon Burbidge","jon-burbidge-1","[]","2003-08-28",1,"BYU",66,,"Georgia Tech",17,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"James Butler","james-butler-1","[]","2003-08-28",1,"Georgia Tech",17,"@","BYU",66,"L",,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,
"Dion Byrum","dion-byrum-1","['DB']","2003-08-28",1,"Ohio",80,,"Southeast Missouri",206,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,1,23,23,0,,,,
"Randee Drew","randee-drew-1","[]","2003-08-28",1,"Northern Illinois",79,,"Maryland",30,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,1,19,19,0,,,,
"Mark Estelle","mark-estelle-1","[]","2003-08-28",1,"Utah St.",93,"@","Utah",104,"L",,,,,,,,,,,,,,,,,,,,,1,38,0,,,,,,,,,,,,,,,,,,,,
"Domonique Foxworth","domonique-foxworth-1","[]","2003-08-28",1,"Maryland",30,"@","Northern Illinois",79,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Reuben Houston","reuben-houston-1","[]","2003-08-28",1,"Georgia Tech",17,"@","BYU",66,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
