Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Reggie Bush,2004-08-28,1,Southern California,N,Virginia Tech,W,5,127,25.4,3,reggie-bush-1
Ryan Busing,2004-08-28,1,Miami (OH),,Indiana State,W,1,6,6.0,0,ryan-busing-1
Luke Clemens,2004-08-28,1,Miami (OH),,Indiana State,W,1,16,16.0,1,luke-clemens-1
David Clowney,2004-08-28,1,Virginia Tech,N,Southern California,L,1,7,7.0,0,david-clowney-1
R.J. Corbin,2004-08-28,1,Miami (OH),,Indiana State,W,3,29,9.7,0,rj-corbin-1
Justin Hamilton,2004-08-28,1,Virginia Tech,N,Southern California,L,1,3,3.0,0,justin-hamilton-1
Alex Holmes,2004-08-28,1,Southern California,N,Virginia Tech,W,2,12,6.0,0,alex-holmes-1
Cedric Humes,2004-08-28,1,Virginia Tech,N,Southern California,L,2,9,4.5,0,cedric-humes-1
Josh Hyman,2004-08-28,1,Virginia Tech,N,Southern California,L,1,12,12.0,1,josh-hyman-1
Dwayne Jarrett,2004-08-28,1,Southern California,N,Virginia Tech,W,2,8,4.0,0,dwayne-jarrett-1
Richard Johnson,2004-08-28,1,Virginia Tech,N,Southern California,L,3,27,9.0,0,richard-johnson-1
Jeff King,2004-08-28,1,Virginia Tech,N,Southern California,L,4,65,16.3,0,jeff-king-1
John Kinzer,2004-08-28,1,Virginia Tech,N,Southern California,L,1,8,8.0,0,john-kinzer-1
Korey Kirkpatrick,2004-08-28,1,Miami (OH),,Indiana State,W,1,11,11.0,0,korey-kirkpatrick-1
David Kirtman,2004-08-28,1,Southern California,N,Virginia Tech,W,3,32,10.7,0,david-kirtman-1
Michael Larkin,2004-08-28,1,Miami (OH),,Indiana State,W,4,47,11.8,2,michael-larkin-1
Jared Mazzetta,2004-08-28,1,Virginia Tech,N,Southern California,L,1,22,22.0,0,jared-mazzetta-1
Chris McFoy,2004-08-28,1,Southern California,N,Virginia Tech,W,2,11,5.5,0,chris-mcfoy-1
Martin Nance,2004-08-28,1,Miami (OH),,Indiana State,W,6,75,12.5,0,martin-nance-1
Patrick O'Bryan,2004-08-28,1,Miami (OH),,Indiana State,W,1,21,21.0,0,patrick-obryan-1
Ryne Robinson,2004-08-28,1,Miami (OH),,Indiana State,W,3,43,14.3,0,ryne-robinson-1
Mike Smith,2004-08-28,1,Miami (OH),,Indiana State,W,2,17,8.5,0,mike-smith-1
Steve Smith,2004-08-28,1,Southern California,N,Virginia Tech,W,4,68,17.0,0,steve-smith-2
Dan Tyler,2004-08-28,1,Miami (OH),,Indiana State,W,1,11,11.0,0,dan-tyler-1
Lee Webb,2004-08-28,1,Southern California,N,Virginia Tech,W,1,14,14.0,0,lee-webb-1
Josh Williams,2004-08-28,1,Miami (OH),,Indiana State,W,1,16,16.0,0,josh-williams-3
Grant Adams,2004-09-02,1,Boston College,@,Ball State,W,2,25,12.5,0,grant-adams-1
Ashton Aikens,2004-09-02,1,Northwestern,@,Texas Christian,L,8,87,10.9,0,ashton-aikens-1
Chris Alexander,2004-09-02,1,Texas A&M,@,Utah,L,2,32,16.0,0,chris-alexander-1
Chad Andrus,2004-09-02,1,Texas Christian,,Northwestern,W,1,3,3.0,0,chad-andrus-1
Matt Austin,2004-09-02,1,Texas-El Paso,@,Arizona State,L,1,7,7.0,0,matt-austin-1
