Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Josh Betts,2004-08-28,1,Miami (OH),,Indiana State,W,2,9,4.5,1,josh-betts-1
Reggie Bush,2004-08-28,1,Southern California,N,Virginia Tech,W,9,27,3.0,0,reggie-bush-1
Adam Ciborowski,2004-08-28,1,Miami (OH),,Indiana State,W,2,11,5.5,0,adam-ciborowski-1
Luke Clemens,2004-08-28,1,Miami (OH),,Indiana State,W,9,69,7.7,1,luke-clemens-1
Justin Hamilton,2004-08-28,1,Virginia Tech,N,Southern California,L,8,33,4.1,0,justin-hamilton-1
Cedric Humes,2004-08-28,1,Virginia Tech,N,Southern California,L,9,26,2.9,0,cedric-humes-1
Mike Kokal,2004-08-28,1,Miami (OH),,Indiana State,W,2,-1,-0.5,0,mike-kokal-1
Akim Lannaman,2004-08-28,1,Miami (OH),,Indiana State,W,4,8,2.0,0,akim-lannaman-1
Matt Leinart,2004-08-28,1,Southern California,N,Virginia Tech,W,4,-3,-0.8,0,matt-leinart-1
Brandon Murphy,2004-08-28,1,Miami (OH),,Indiana State,W,7,18,2.6,0,brandon-murphy-1
Bryan Randall,2004-08-28,1,Virginia Tech,N,Southern California,L,17,82,4.8,0,bryan-randall-1
Mike Smith,2004-08-28,1,Miami (OH),,Indiana State,W,13,48,3.7,1,mike-smith-1
Steve Smith,2004-08-28,1,Southern California,N,Virginia Tech,W,1,-1,-1.0,0,steve-smith-2
Lendale White,2004-08-28,1,Southern California,N,Virginia Tech,W,15,78,5.2,0,lendale-white-1
Matt Austin,2004-09-02,1,Texas-El Paso,@,Arizona State,L,2,4,2.0,0,matt-austin-1
Johnny Ayers,2004-09-02,1,Boston College,@,Ball State,W,1,-10,-10.0,0,johnny-ayers-1
Blayne Baggett,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,5,-24,-4.8,0,blayne-baggett-1
Brett Basanez,2004-09-02,1,Northwestern,@,Texas Christian,L,7,35,5.0,0,brett-basanez-1
Scott Blair,2004-09-02,1,Ball State,,Boston College,L,4,7,1.8,0,scott-blair-2
Matt Bohnet,2004-09-02,1,Eastern Michigan,,Buffalo,W,23,92,4.0,0,matt-bohnet-1
Larry Bostic,2004-09-02,1,Ball State,,Boston College,L,11,38,3.5,0,larry-bostic-1
Ty Branyon,2004-09-02,1,Texas A&M,@,Utah,L,2,15,7.5,0,ty-branyon-1
Lawrence Cannon,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,10,48,4.8,0,lawrence-cannon-1
Jason Carter,2004-09-02,1,Texas A&M,@,Utah,L,2,12,6.0,1,jason-carter-2
Chad Christensen,2004-09-02,1,Arizona State,,Texas-El Paso,W,1,-1,-1.0,0,chad-christensen-1
Dave Dawson,2004-09-02,1,Buffalo,@,Eastern Michigan,L,10,102,10.2,0,dave-dawson-1
Nelson Drew,2004-09-02,1,Eastern Michigan,,Buffalo,W,3,12,4.0,0,nelson-drew-1
Quinton Ganther,2004-09-02,1,Utah,,Texas A&M,W,6,31,5.2,0,quinton-ganther-1
