Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Jon Abbate,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,2,3,0.0,0.0,jon-abbate-1
Marck Abraham,2005-09-01,1,Buffalo,@,Connecticut,L,0,4,4,0.5,0.0,marck-abraham-1
Kwame Agyeman,2005-09-01,1,Oregon,@,Houston,W,1,0,1,0.0,0.0,kwame-agyeman-1
Fevaea'I Ahmu,2005-09-01,1,Washington State,,Idaho,W,1,2,3,0.0,0.0,fevaeai-ahmu-1
Aaron Albritton,2005-09-01,1,Toledo,,Western Illinois,W,1,1,2,0.0,0.0,aaron-albritton-1
Ben Alexander,2005-09-01,1,Idaho,@,Washington State,L,2,2,4,0.0,0.0,ben-alexander-1
Brandon Alexander,2005-09-01,1,Toledo,,Western Illinois,W,3,2,5,0.5,0.0,brandon-alexander-2
Josh Alexander,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,0,1,1,0.0,0.0,josh-alexander-1
Josh Allen,2005-09-01,1,Vanderbilt,@,Wake Forest,W,6,2,8,0.0,0.0,josh-allen-3
Neel Allen,2005-09-01,1,Minnesota,@,Tulsa,W,2,1,3,0.0,0.0,neel-allen-1
Trent Allen,2005-09-01,1,Houston,,Oregon,L,2,5,7,0.0,0.0,trent-allen-1
Mike Alston,2005-09-01,1,Toledo,,Western Illinois,W,2,2,4,2.0,1.0,mike-alston-1
Mike Anderson,2005-09-01,1,Idaho,@,Washington State,L,4,1,5,0.0,0.0,mike-anderson-1
Trevor Anderson,2005-09-01,1,Cincinnati,,Eastern Michigan,W,1,0,1,0.0,0.0,trevor-anderson-1
Bryan Andrews,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,0,1,0.0,0.0,bryan-andrews-1
Justin Andrews,2005-09-01,1,Oregon,@,Houston,W,0,2,2,0.0,0.0,justin-andrews-1
Anthony Andriano,2005-09-01,1,Buffalo,@,Connecticut,L,4,5,9,0.5,0.0,anthony-andriano-1
Stanley Arnoux,2005-09-01,1,Wake Forest,,Vanderbilt,L,0,2,2,0.0,0.0,stanley-arnoux-1
Augustus Ashley,2005-09-01,1,Central Florida,@,South Carolina,L,1,0,1,0.0,0.0,augustus-ashley-1
