Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Beau Bell,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,0,0,0,2,beau-bell-1
Kareem Byrom,2007-08-30,1,Buffalo,@,Rutgers,L,0,0,0,1,kareem-byrom-1
Jeron Johnson,2007-08-30,1,Boise State,,Weber State,W,0,0,0,1,jeron-johnson-1
Ryan Manalac,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,0,0,0,2,ryan-manalac-1
Lamar Myles,2007-08-30,1,Louisville,,Murray State,W,0,0,0,1,lamar-myles-1
Haruki Nakamura,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,0,0,0,1,haruki-nakamura-1
Quinton Pointer,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,0,0,0,1,quinton-pointer-1
Andre Revels,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,0,0,0,1,andre-revels-1
Deangelo Smith,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,0,0,0,1,deangelo-smith-1
James Smith,2007-08-30,1,Iowa State,,Kent State,L,0,0,0,1,james-smith-3
Jesse Smith,2007-08-30,1,Iowa State,,Kent State,L,0,0,0,1,jesse-smith-1
Craig Steltz,2007-08-30,1,Louisiana State,@,Mississippi State,W,0,0,0,1,craig-steltz-1
Latarrius Thomas,2007-08-30,1,Louisville,,Murray State,W,0,0,0,1,latarrius-thomas-1
Terrance Banks,2007-08-31,1,Temple,,Navy,L,0,0,0,1,terrance-banks-1
Anthony Ferla,2007-08-31,1,Temple,,Navy,L,0,0,0,1,anthony-ferla-1
Husain Abdullah,2007-09-01,1,Washington State,@,Wisconsin,L,0,0,0,1,husain-abdullah-1
Audric Adger,2007-09-01,1,Florida International,@,Penn State,L,0,0,0,1,audric-adger-1
Winston Bowens,2007-09-01,1,Memphis,,Mississippi,L,0,0,0,1,winston-bowens-1
Navorro Bowman,2007-09-01,1,Penn State,,Florida International,W,0,0,0,1,navorro-bowman-1
Jerome Boyd,2007-09-01,1,Oregon,,Houston,W,0,0,0,1,jerome-boyd-1
Chris Bradwell,2007-09-01,1,Troy,@,Arkansas,L,0,0,0,1,chris-bradwell-1
Tyvon Branch,2007-09-01,1,Connecticut,@,Duke,W,0,0,0,1,tyvon-branch-1
Trey Brown,2007-09-01,1,UCLA,@,Stanford,W,0,0,0,1,trey-brown-1
Antoine Cason,2007-09-01,1,Arizona,@,Brigham Young,L,0,0,0,1,antoine-cason-1
Matthew Castelo,2007-09-01,1,San Jose State,@,Arizona State,L,0,0,0,1,matthew-castelo-1
Quentin Cotton,2007-09-01,1,East Carolina,@,Virginia Tech,L,0,0,0,1,quentin-cotton-1
Shawn Crable,2007-09-01,1,Michigan,,Appalachian State,L,0,0,0,1,shawn-crable-1
Dominique Criss,2007-09-01,1,Baylor,@,Texas Christian,L,0,0,0,1,dominique-criss-1
Jordon Dizon,2007-09-01,1,Colorado,N,Colorado State,W,0,0,0,1,jordon-dizon-1
Carlos Dunlap,2007-09-01,1,Florida,,Western Kentucky,W,0,0,0,1,carlos-dunlap-1
David Faaeteete,2007-09-01,1,Oregon,,Houston,W,0,0,0,1,david-faaeteete-1
Matt Featherston,2007-09-01,1,Texas A&M,,Montana State,W,0,0,0,1,matt-featherston-1
Larry Federoff,2007-09-01,1,Penn State,,Florida International,W,0,0,0,1,larry-federoff-1
Zack Follett,2007-09-01,1,California,,Tennessee,W,0,0,0,1,zack-follett-1
Trevor Ford,2007-09-01,1,Troy,@,Arkansas,L,0,0,0,1,trevor-ford-1
Keith Forestal,2007-09-01,1,Toledo,,Purdue,L,0,0,0,1,keith-forestal-1
Stanley Franks,2007-09-01,1,Idaho,@,Southern California,L,0,0,0,1,stanley-franks-1
Andrew Gachkar,2007-09-01,1,Missouri,N,Illinois,W,0,0,0,1,andrew-gachkar-1
Sidney Glover,2007-09-01,1,West Virginia,,Western Michigan,W,0,0,0,1,sidney-glover-1
Tyler Griffin,2007-09-01,1,Memphis,,Mississippi,L,0,0,0,1,tyler-griffin-2
Quentin Groves,2007-09-01,1,Auburn,,Kansas State,W,0,0,0,1,quentin-groves-1
Matthew Harper,2007-09-01,1,Oregon,,Houston,W,0,0,0,1,matthew-harper-1
Chris Harrington,2007-09-01,1,Texas A&M,,Montana State,W,0,0,0,1,chris-harrington-1
Nic Harris,2007-09-01,1,Oklahoma,,North Texas,W,0,0,0,1,nic-harris-1
Andre Hatchett,2007-09-01,1,Eastern Michigan,@,Pittsburgh,L,0,0,0,1,andre-hatchett-1
Maurice Holman,2007-09-01,1,North Texas,@,Oklahoma,L,0,0,0,1,maurice-holman-1
Evander Hood,2007-09-01,1,Missouri,N,Illinois,W,0,0,0,2,evander-hood-1
