Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Sean Baker,2009-09-03,1,Ball State,,North Texas,L,1,0,0,1,sean-baker-1
James Brindley,2009-09-03,1,Utah State,@,Utah,L,1,20,0,1,james-brindley-1
Royce Hill,2009-09-03,1,North Texas,@,Ball State,W,1,57,0,1,royce-hill-1
Justin Jones,2009-09-03,1,Utah,,Utah State,W,1,0,0,1,justin-jones-2
Brian Lainhart,2009-09-03,1,Kent State,,Coastal Carolina,W,1,16,0,1,brian-lainhart-1
Michael Lemon,2009-09-03,1,North Carolina State,,South Carolina,L,1,0,0,1,michael-lemon-1
David Sims,2009-09-03,1,Iowa State,,North Dakota State,W,1,0,0,1,david-sims-1
Adrien Spencer,2009-09-03,1,Bowling Green State,,Troy,W,1,64,1,2,adrien-spencer-1
Aaron Tevis,2009-09-03,1,Boise State,,Oregon,W,1,11,0,1,aaron-tevis-1
Roger Williams,2009-09-03,1,Bowling Green State,,Troy,W,1,13,0,1,roger-williams-3
Bryan Willis,2009-09-03,1,Troy,@,Bowling Green State,L,1,0,0,2,bryan-willis-1
Mike Bryan,2009-09-04,1,Tulsa,@,Tulane,W,1,18,0,1,mike-bryan-1
John Destin,2009-09-04,1,Tulsa,@,Tulane,W,1,32,0,1,john-destin-1
Prince Amukamara,2009-09-05,1,Nebraska,,Florida Atlantic,W,1,0,0,1,prince-amukamara-1
Mikail Baker,2009-09-05,1,Baylor,@,Wake Forest,W,1,1,0,1,mikail-baker-1
Daren Bates,2009-09-05,1,Auburn,,Louisiana Tech,W,1,0,0,1,daren-bates-1
Dwight Bentley,2009-09-05,1,Louisiana,,Southern,W,1,-6,0,0,dwight-bentley-1
Robert Blanton,2009-09-05,1,Notre Dame,,Nevada,W,1,0,0,1,robert-blanton-1
Nolan Brewster,2009-09-05,1,Texas,,Louisiana-Monroe,W,1,0,0,,nolan-brewster-1
Corey Broomfield,2009-09-05,1,Mississippi State,,Jackson State,W,1,43,1,1,corey-broomfield-1
Charles Brown,2009-09-05,1,North Carolina,,Citadel,W,1,0,0,1,charles-brown-1
Morgan Burnett,2009-09-05,1,Georgia Tech,,Jacksonville State,W,1,0,0,2,morgan-burnett-1
Vincent Camarda,2009-09-05,1,San Diego State,@,UCLA,L,1,17,0,2,vincent-camarda-1
Chris Chancellor,2009-09-05,1,Clemson,,Middle Tennessee State,W,1,37,0,2,chris-chancellor-1
Boubacar Cissoko,2009-09-05,1,Michigan,,Western Michigan,W,1,14,0,2,boubacar-cissoko-1
Keenan Clayton,2009-09-05,1,Oklahoma,N,Brigham Young,L,1,-3,0,1,keenan-clayton-1
Kurt Coleman,2009-09-05,1,Ohio State,,Navy,W,1,0,0,1,kurt-coleman-1
