Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Dion Bailey,2013-08-29,1,Southern California,@,Hawaii,W,dion-bailey-1,1.0,0.0,0.0,1.0
Bene Benwikere,2013-08-29,1,San Jose State,,Sacramento State,W,bene-benwikere-1,1.0,33.0,0.0,3.0
Briean Boddy-Calhoun,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,briean-boddy-calhoun-1,1.0,89.0,1.0,0.0
Brandon Chubb,2013-08-29,1,Wake Forest,,Presbyterian,W,brandon-chubb-1,1.0,29.0,1.0,0.0
Tony Conner,2013-08-29,1,Mississippi,@,Vanderbilt,W,tony-conner-1,1.0,0.0,0.0,1.0
Su'A Cravens,2013-08-29,1,Southern California,@,Hawaii,W,sua-cravens-1,1.0,0.0,0.0,0.0
Kyle Davis,2013-08-29,1,Tulane,,Jackson State,W,kyle-davis-1,1.0,0.0,0.0,0.0
Dwight Dobbins,2013-08-29,1,Tulsa,@,Bowling Green State,L,dwight-dobbins-1,1.0,11.0,0.0,0.0
Lorenzo Doss,2013-08-29,1,Tulane,,Jackson State,W,lorenzo-doss-1,1.0,24.0,0.0,0.0
Jarrod Franklin,2013-08-29,1,Tulane,,Jackson State,W,jarrod-franklin-1,1.0,0.0,0.0,0.0
Troy Gray,2013-08-29,1,Central Florida,,Akron,W,troy-gray-1,1.0,6.0,0.0,0.0
Tajh Hasson,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,tajh-hasson-1,1.0,0.0,0.0,0.0
Michael Hunter,2013-08-29,1,Indiana,,Indiana State,W,michael-hunter-1,1.0,28.0,0.0,0.0
Ben Ingle,2013-08-29,1,Ball State,,Illinois State,W,ben-ingle-1,1.0,26.0,0.0,0.0
Marrell Jackson,2013-08-29,1,Hawaii,,Southern California,L,marrell-jackson-1,1.0,0.0,0.0,1.0
Antonio Johnson,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,antonio-johnson-4,1.0,0.0,0.0,0.0
Kevin Johnson,2013-08-29,1,Wake Forest,,Presbyterian,W,kevin-johnson-7,1.0,0.0,0.0,2.0
Sean Linton,2013-08-29,1,San Jose State,,Sacramento State,W,sean-linton-1,1.0,0.0,0.0,0.0
Obi Melifonwu,2013-08-29,1,Connecticut,,Towson,L,obi-melifonwu-1,1.0,0.0,0.0,1.0
Mike Olson,2013-08-29,1,Wake Forest,,Presbyterian,W,mike-olson-1,1.0,0.0,0.0,0.0
Cody Prewitt,2013-08-29,1,Mississippi,@,Vanderbilt,W,cody-prewitt-1,1.0,2.0,0.0,1.0
Hayes Pullard,2013-08-29,1,Southern California,@,Hawaii,W,hayes-pullard-1,1.0,0.0,0.0,0.0
Stephen Roberts,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,stephen-roberts-1,1.0,1.0,0.0,0.0
Chris Sharpe,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,chris-sharpe-1,1.0,0.0,0.0,0.0
