Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Wil Lutz,2014-08-27,1,Georgia State,,Abilene Christian,W,5,5,100.0,1,1,100.0,8,wil-lutz-1
Elliot Fry,2014-08-28,1,South Carolina,,Texas A&M,L,4,4,100.0,0,1,0.0,4,elliot-fry-1
Maxwell Johnson,2014-08-28,1,New Mexico State,,Cal Poly,W,4,4,100.0,0,0,,4,maxwell-johnson-1
Mike Weaver,2014-08-28,1,Wake Forest,@,Louisiana-Monroe,L,1,1,100.0,1,1,100.0,4,mike-weaver-1
Andrew Fletcher,2014-08-28,1,Mississippi,N,Boise State,W,5,5,100.0,0,0,,5,andrew-fletcher-1
Austin Lopez,2014-08-28,1,San Jose State,,North Dakota,W,5,5,100.0,0,1,0.0,5,austin-lopez-1
Andrew Dirocco,2014-08-28,1,Tulane,@,Tulsa,L,4,4,100.0,1,2,50.0,7,andrew-dirocco-1
Dan Goodale,2014-08-28,1,Boise State,N,Mississippi,L,1,1,100.0,2,2,100.0,7,dan-goodale-1
Andy Phillips,2014-08-28,1,Utah,,Idaho State,W,8,8,100.0,0,0,,8,andy-phillips-2
Zane Gonzalez,2014-08-28,1,Arizona State,,Weber State,W,6,6,100.0,1,1,100.0,9,zane-gonzalez-1
Josh Lambo,2014-08-28,1,Texas A&M,@,South Carolina,W,7,7,100.0,1,1,100.0,10,josh-lambo-1
Carl Salazar,2014-08-28,1,Tulsa,,Tulane,W,3,3,100.0,3,5,60.0,12,carl-salazar-1
Kyle Bullard,2014-08-29,1,Houston,,Texas-San Antonio,L,1,1,100.0,0,0,,1,kyle-bullard-1
Jonathan Leiva,2014-08-29,1,Nevada-Las Vegas,@,Arizona,L,1,1,100.0,1,2,50.0,4,jonathan-leiva-1
Will Oliver,2014-08-29,1,Colorado,N,Colorado State,L,2,2,100.0,1,2,50.0,5,will-oliver-1
Trevor Samson,2014-08-29,1,Brigham Young,@,Connecticut,W,5,5,100.0,0,1,0.0,5,trevor-samson-1
Tyler Tate,2014-08-29,1,Bowling Green State,@,Western Kentucky,L,4,4,100.0,1,2,50.0,7,tyler-tate-1
Michael Geiger,2014-08-29,1,Michigan State,,Jacksonville State,W,6,6,100.0,1,2,50.0,9,michael-geiger-1
Sean Ianno,2014-08-29,1,Texas-San Antonio,@,Houston,W,3,3,100.0,2,3,66.7,9,sean-ianno-1
Garrett Schwettman,2014-08-29,1,Western Kentucky,,Bowling Green State,W,8,8,100.0,1,2,50.0,11,garrett-schwettman-1
Casey Skowron,2014-08-29,1,Arizona,,Nevada-Las Vegas,W,7,7,100.0,3,4,75.0,16,casey-skowron-1
Luke Ferguson,2014-08-30,1,Arkansas State,,Montana State,W,0,3,0.0,0,0,,0,luke-ferguson-1
Greg Joseph,2014-08-30,1,Florida Atlantic,@,Nebraska,L,1,1,100.0,0,1,0.0,1,greg-joseph-2
Matthew McCrane,2014-08-30,1,Kansas State,,Stephen F. Austin,W,1,1,100.0,0,0,,1,matthew-mccrane-1
Colin McGuire,2014-08-30,1,Fresno State,@,Southern California,L,1,2,50.0,0,0,,1,colin-mcguire-1
Trevor Moore,2014-08-30,1,North Texas,@,Texas,L,1,1,100.0,0,0,,1,trevor-moore-1
Davis Plowman,2014-08-30,1,East Carolina,,North Carolina Central,W,1,1,100.0,0,0,,1,davis-plowman-1
Conrad Ukropina,2014-08-30,1,Stanford,,California-Davis,W,1,1,100.0,0,0,,1,conrad-ukropina-1
Zach Matics,2014-08-30,1,Appalachian State,@,Michigan,L,2,2,100.0,0,0,,2,zach-matics-1
Anthony Melchiori,2014-08-30,1,Kent State,,Ohio,L,2,2,100.0,0,1,0.0,2,anthony-melchiori-1
Thomas Moore,2014-08-30,1,North Carolina,,Liberty,W,2,2,100.0,0,1,0.0,2,thomas-moore-1
Cole Netten,2014-08-30,1,Iowa State,,North Dakota State,L,2,2,100.0,0,0,,2,cole-netten-1
Westin Graves,2014-08-30,1,Mississippi State,,Southern Mississippi,W,3,3,100.0,0,1,0.0,3,westin-graves-1
John Henson,2014-08-30,1,Arkansas,@,Auburn,L,3,3,100.0,0,0,,3,john-henson-1
Jonathan Barnes,2014-08-30,1,Louisiana Tech,@,Oklahoma,L,1,2,50.0,1,2,50.0,4,jonathan-barnes-1
