"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Zach Abercrumbia","2017-08-26",1,"Rice","N","Stanford","L",1,2,3,1,1,"zach-abercrumbia-1"
"Devin Abraham","2017-08-26",1,"South Florida","@","San Jose State","W",2,1,3,0,0,"devin-abraham-1"
"Myles Adams","2017-08-26",1,"Rice","N","Stanford","L",0,2,2,0,0,"myles-adams-1"
"Jarrell Addo","2017-08-26",1,"Massachusetts",,"Hawaii","L",3,0,3,0,0,"jarrell-addo-1"
"Ethan Aguayo","2017-08-26",1,"San Jose State",,"South Florida","L",8,6,14,0,0,"ethan-aguayo-1"
"Chaz Ah You","2017-08-26",1,"Brigham Young",,"Portland State","W",1,1,2,1,0,"chaz-ah-you-1"
"Kesi Ah-Hoy","2017-08-26",1,"Oregon State","@","Colorado State","L",1,1,2,0,0,"kesi-ah-hoy-1"
"Samiuela Akoteu","2017-08-26",1,"Hawaii","@","Massachusetts","W",0,1,1,0,0,"samiuela-akoteu-1"
"Terrence Alexander","2017-08-26",1,"Stanford","N","Rice","W",2,0,2,1,0,"terrence-alexander-1"
"Joey Alfieri","2017-08-26",1,"Stanford","N","Rice","W",1,0,1,0,0,"joey-alfieri-1"
"Ali Ali-Musa","2017-08-26",1,"Massachusetts",,"Hawaii","L",1,2,3,0.5,0.5,"ali-ali-musa-1"
"Dejon Allen","2017-08-26",1,"Hawaii","@","Massachusetts","W",0,1,1,0,0,"dejon-allen-1"
"Zayne Anderson","2017-08-26",1,"Brigham Young",,"Portland State","W",3,1,4,0,0,"zayne-anderson-1"
"Malik Antoine","2017-08-26",1,"Stanford","N","Rice","W",2,2,4,0,0,"malik-antoine-1"
"Brandon Arnold","2017-08-26",1,"Oregon State","@","Colorado State","L",3,4,7,0,0,"brandon-arnold-1"
"Joe Ballard","2017-08-26",1,"Rice","N","Stanford","L",0,2,2,0,0,"joe-ballard-3"
"V.J. Banks","2017-08-26",1,"Rice","N","Stanford","L",3,3,6,0,0,"vj-banks-1"
"Ammon Barker","2017-08-26",1,"Hawaii","@","Massachusetts","W",1,0,1,0,0,"ammon-barker-1"
"Bryton Barr","2017-08-26",1,"Massachusetts",,"Hawaii","L",7,6,13,1.5,1,"bryton-barr-1"
"Sean Barton","2017-08-26",1,"Stanford","N","Rice","W",3,2,5,0,0,"sean-barton-1"
"Jimmy Bayes","2017-08-26",1,"South Florida","@","San Jose State","W",1,2,3,0,0,"jimmy-bayes-1"
"Ryan Beecher","2017-08-26",1,"Stanford","N","Rice","W",1,0,1,0,0,"ryan-beecher-1"
"Justin Bickham","2017-08-26",1,"Rice","N","Stanford","L",5,0,5,0,0,"justin-bickham-1"
"Trevon Bierria","2017-08-26",1,"San Jose State",,"South Florida","L",4,1,5,1,0,"trevon-bierria-1"
"Josh Black","2017-08-26",1,"South Florida","@","San Jose State","W",1,0,1,1,0,"josh-black-1"
"Mustafa Branch","2017-08-26",1,"Stanford","N","Rice","W",0,3,3,0,0,"mustafa-branch-1"
"Bryson Bridges","2017-08-26",1,"San Jose State",,"South Florida","L",1,4,5,0,0,"bryson-bridges-1"
"Juwuan Brown","2017-08-26",1,"South Florida","@","San Jose State","W",1,0,1,1,0,"juwuan-brown-1"
"Frank Buncom","2017-08-26",1,"Stanford","N","Rice","W",0,2,2,0,0,"frank-buncom-2"
"Cycoby Burch","2017-08-26",1,"Massachusetts",,"Hawaii","L",1,0,1,0,0,"cycoby-burch-1"
"Lewis Burik","2017-08-26",1,"Stanford","N","Rice","W",0,1,1,0,0,"lewis-burik-1"
"Jakob Buys","2017-08-26",1,"Colorado State",,"Oregon State","W",0,2,2,0.5,0,"jakob-buys-1"
"Jake Byczko","2017-08-26",1,"Massachusetts",,"Hawaii","L",0,1,1,0,0,"jake-byczko-1"
"Colbert Calhoun","2017-08-26",1,"Massachusetts",,"Hawaii","L",0,2,2,0.5,0.5,"colbert-calhoun-1"
"Darius Campbell","2017-08-26",1,"Colorado State",,"Oregon State","W",0,1,1,0,0,"darius-campbell-1"
"Steve Casali","2017-08-26",1,"Massachusetts",,"Hawaii","L",2,4,6,0,0,"steve-casali-1"
"Andre Chachere","2017-08-26",1,"San Jose State",,"South Florida","L",3,2,5,0,0,"andre-chachere-1"
"Zeno Choi","2017-08-26",1,"Hawaii","@","Massachusetts","W",1,1,2,0,0,"zeno-choi-1"
"Detrich Clark","2017-08-26",1,"Colorado State",,"Oregon State","W",0,1,1,0,0,"detrich-clark-1"
"Jorian Clark","2017-08-26",1,"Rice","N","Stanford","L",1,3,4,0,0,"jorian-clark-1"
"Thomas Cole","2017-08-26",1,"Rice","N","Stanford","L",2,0,2,0,0,"thomas-cole-3"
"Evan Colorito","2017-08-26",1,"Colorado State",,"Oregon State","W",1,4,5,1.5,0,"evan-colorito-1"
"Eric Cotton","2017-08-26",1,"Stanford","N","Rice","W",1,0,1,1,0,"eric-cotton-1"
"Xavier Crawford","2017-08-26",1,"Oregon State","@","Colorado State","L",5,2,7,0,0,"xavier-crawford-2"
"Elkanah Dillon","2017-08-26",1,"South Florida","@","San Jose State","W",1,0,1,0,0,"elkanah-dillon-1"
"Brandon Douglas","2017-08-26",1,"Rice","N","Stanford","L",1,0,1,0,0,"brandon-douglas-3"
"Da'Sean Downey","2017-08-26",1,"Massachusetts",,"Hawaii","L",3,4,7,1.5,0.5,"dasean-downey-1"
"Zeke Edmonds","2017-08-26",1,"Massachusetts",,"Hawaii","L",0,1,1,0,0,"zeke-edmonds-1"
"Ben Edwards","2017-08-26",1,"Stanford","N","Rice","W",0,1,1,0,0,"ben-edwards-1"
"Tevarua Eldridge","2017-08-26",1,"Hawaii","@","Massachusetts","W",0,1,1,0,0,"tevarua-eldridge-1"
"Nashon Ellerbe","2017-08-26",1,"Rice","N","Stanford","L",1,0,1,0,0,"nashon-ellerbe-1"
"Emmanuel Ellerbee","2017-08-26",1,"Rice","N","Stanford","L",4,6,10,0.5,0,"emmanuel-ellerbee-1"
"Penitito Faalologo","2017-08-26",1,"Hawaii","@","Massachusetts","W",0,3,3,0,0,"penitito-faalologo-1"
"Titus Failauga","2017-08-26",1,"Oregon State","@","Colorado State","L",4,0,4,1,0,"titus-failauga-1"
"Rojesterman Farris II","2017-08-26",1,"Hawaii","@","Massachusetts","W",2,2,4,0,0,"rojesterman-farris-ii-1"
"Nate Ferguson","2017-08-26",1,"South Florida","@","San Jose State","W",5,0,5,0,0,"nate-ferguson-1"
"Leon Flanagan Jr.","2017-08-26",1,"Massachusetts",,"Hawaii","L",0,1,1,0,0,"leon-flanagan-jr-1"
"Jordan Fogal","2017-08-26",1,"Colorado State",,"Oregon State","W",2,2,4,0,0,"jordan-fogal-1"
"Colton Foster","2017-08-26",1,"Colorado State",,"Oregon State","W",1,2,3,0,0,"colton-foster-1"
"Jordan Fox","2017-08-26",1,"Stanford","N","Rice","W",3,0,3,1,0,"jordan-fox-1"
"Denzel Franklin","2017-08-26",1,"Stanford","N","Rice","W",1,0,1,0,0,"denzel-franklin-1"
"Jake Froehlich","2017-08-26",1,"Massachusetts",,"Hawaii","L",0,1,1,0,0,"jake-froehlich-1"
"Tajee Fullwood","2017-08-26",1,"South Florida","@","San Jose State","W",4,0,4,0,0,"tajee-fullwood-1"
"Elijah Garcia","2017-08-26",1,"Rice","N","Stanford","L",0,1,1,0,0,"elijah-garcia-1"
"Dayan Ghanwoloku","2017-08-26",1,"Brigham Young",,"Portland State","W",1,0,1,0,0,"dayan-ghanwoloku-1"
"Frank Ginda","2017-08-26",1,"San Jose State",,"South Florida","L",9,4,13,2,0,"frank-ginda-1"
"Bakhari Goodson","2017-08-26",1,"Massachusetts",,"Hawaii","L",1,1,2,0,0,"bakhari-goodson-1"
"Preston Gordon","2017-08-26",1,"Rice","N","Stanford","L",1,0,1,0,0,"preston-gordon-1"
"D.J. Green","2017-08-26",1,"Rice","N","Stanford","L",2,2,4,0.5,0,"dj-green-2"
"Matt Hadley","2017-08-26",1,"Brigham Young",,"Portland State","W",4,2,6,1,0,"matt-hadley-1"
"Mike Hampton","2017-08-26",1,"South Florida","@","San Jose State","W",2,1,3,0,0,"mike-hampton-2"
"Micah Hannemann","2017-08-26",1,"Brigham Young",,"Portland State","W",1,0,1,0,0,"micah-hannemann-1"
"Parker Hanusa","2017-08-26",1,"Rice","N","Stanford","L",2,0,2,0,0,"parker-hanusa-1"
"D'Shan Harley","2017-08-26",1,"Massachusetts",,"Hawaii","L",0,1,1,0,0,"dshan-harley-1"
"Anthony Hawkins","2017-08-26",1,"Colorado State",,"Oregon State","W",2,0,2,0,0,"anthony-hawkins-1"
"Chandler Hawkins","2017-08-26",1,"San Jose State",,"South Florida","L",2,2,4,0,0,"chandler-hawkins-1"
"Malik Hayes","2017-08-26",1,"San Jose State",,"South Florida","L",1,1,2,0,0,"malik-hayes-1"
"Tyler Hayes","2017-08-26",1,"Massachusetts",,"Hawaii","L",4,3,7,0,0,"tyler-hayes-2"
"Bruce Hector","2017-08-26",1,"South Florida","@","San Jose State","W",4,1,5,1,0,"bruce-hector-1"
"Trayvon Henderson","2017-08-26",1,"Hawaii","@","Massachusetts","W",4,1,5,0,0,"trayvon-henderson-1"
"Timmy Hernandez","2017-08-26",1,"Oregon State","@","Colorado State","L",1,0,1,0,0,"timmy-hernandez-1"
