"Player","Date","G","School","Loc","Opponent","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","unique_id"
"Montel Aaron","2017-08-26",1,"San Jose State",,"South Florida","L",7,13,53.8,86,1,0,134.8,"montel-aaron-1"
"Dru Brown","2017-08-26",1,"Hawaii","@","Massachusetts","W",25,38,65.8,391,3,1,173,"dru-brown-1"
"Ryan Burns","2017-08-26",1,"Stanford","N","Rice","W",2,4,50,36,1,0,208.1,"ryan-burns-1"
"Keller Chryst","2017-08-26",1,"Stanford","N","Rice","W",14,24,58.3,253,2,0,174.4,"keller-chryst-1"
"Ross Comis","2017-08-26",1,"Massachusetts",,"Hawaii","L",1,4,25,23,0,0,73.3,"ross-comis-1"
"K.J. Costello","2017-08-26",1,"Stanford","N","Rice","W",5,9,55.6,80,0,0,130.2,"kj-costello-1"
"Quinton Flowers","2017-08-26",1,"South Florida","@","San Jose State","W",11,22,50,212,2,0,160.9,"quinton-flowers-1"
"Andrew Ford","2017-08-26",1,"Massachusetts",,"Hawaii","L",21,30,70,275,2,1,162.3,"andrew-ford-1"
"Sam Glaesmann","2017-08-26",1,"Rice","N","Stanford","L",7,18,38.9,69,0,1,60,"sam-glaesmann-1"
"Brett Kean","2017-08-26",1,"South Florida","@","San Jose State","W",2,4,50,21,0,0,94.1,"brett-kean-1"
"Josh Love","2017-08-26",1,"San Jose State",,"South Florida","L",18,36,50,192,2,3,96.5,"josh-love-1"
"Jake Luton","2017-08-26",1,"Oregon State","@","Colorado State","L",27,47,57.4,304,2,3,113.1,"jake-luton-1"
"Tanner Mangum","2017-08-26",1,"Brigham Young",,"Portland State","W",16,27,59.3,194,1,0,131.8,"tanner-mangum-1"
"Malik Roberson","2017-08-26",1,"San Jose State",,"South Florida","L",0,1,0,0,0,0,0,"malik-roberson-1"
"Nick Stevens","2017-08-26",1,"Colorado State",,"Oregon State","W",26,39,66.7,334,3,1,158.9,"nick-stevens-1"
"Jackson Tyner","2017-08-26",1,"Rice","N","Stanford","L",3,6,50,26,0,0,86.4,"jackson-tyner-1"
"Maurice Alexander","2017-08-31",1,"Florida International","@","Central Florida","L",0,2,0,0,0,0,0,"maurice-alexander-2"
"Austin Allen","2017-08-31",1,"Arkansas","N","Florida A&M","W",14,19,73.7,135,1,1,140.2,"austin-allen-1"
"Blake Barnett","2017-08-31",1,"Arizona State",,"New Mexico State","W",2,3,66.7,21,0,0,125.5,"blake-barnett-2"
"J.T. Barrett","2017-08-31",1,"Ohio State","@","Indiana","W",20,35,57.1,304,3,0,158.4,"jt-barrett-1"
"Taylor Cornelius","2017-08-31",1,"Oklahoma State",,"Tulsa","W",1,2,50,5,0,0,71,"taylor-cornelius-1"
"Demry Croft","2017-08-31",1,"Minnesota",,"Buffalo","W",7,12,58.3,63,0,0,102.4,"demry-croft-1"
"Caleb Evans","2017-08-31",1,"Louisiana-Monroe","@","Memphis","L",11,20,55,108,1,0,116.9,"caleb-evans-2"
"Riley Ferguson","2017-08-31",1,"Memphis",,"Louisiana-Monroe","W",10,25,40,97,0,1,64.6,"riley-ferguson-1"
"Mitchell Guadagni","2017-08-31",1,"Toledo",,"Elon","W",0,3,0,0,0,1,-66.7,"mitchell-guadagni-1"
"Kendall Hinton","2017-08-31",1,"Wake Forest",,"Presbyterian","W",7,8,87.5,124,2,0,300.2,"kendall-hinton-1"
"Tyler Huntley","2017-08-31",1,"Utah",,"North Dakota","W",23,32,71.9,227,1,1,135.5,"tyler-huntley-1"
"Tyree Jackson","2017-08-31",1,"Buffalo","@","Minnesota","L",22,42,52.4,211,1,1,97.7,"tyree-jackson-1"
"Cole Kelley","2017-08-31",1,"Arkansas","N","Florida A&M","W",2,3,66.7,44,1,0,299.9,"cole-kelley-1"
"Richard Lagow","2017-08-31",1,"Indiana",,"Ohio State","L",40,65,61.5,410,3,2,123.6,"richard-lagow-1"
"Matt Linehan","2017-08-31",1,"Idaho",,"Sacramento State","W",14,19,73.7,163,2,2,159.4,"matt-linehan-1"
"Conner Manning","2017-08-31",1,"Georgia State",,"Tennessee State","L",14,17,82.4,159,0,0,160.9,"conner-manning-1"
"Alex McGough","2017-08-31",1,"Florida International","@","Central Florida","L",18,29,62.1,201,1,1,124.8,"alex-mcgough-1"
"McKenzie Milton","2017-08-31",1,"Central Florida",,"Florida International","W",16,21,76.2,360,4,1,273.5,"mckenzie-milton-1"
