Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Detrich Clark,2017-08-26,1,Colorado State,,Oregon State,W,3,86,28.7,0,detrich-clark-1
Brandon Douglas,2017-08-26,1,Rice,N,Stanford,L,1,13,13.0,0,brandon-douglas-3
Nashon Ellerbe,2017-08-26,1,Rice,N,Stanford,L,3,57,19.0,0,nashon-ellerbe-1
Keelan Ewaliko,2017-08-26,1,Hawaii,@,Massachusetts,W,5,137,27.4,0,keelan-ewaliko-1
Matt Hadley,2017-08-26,1,Brigham Young,,Portland State,W,1,15,15.0,0,matt-hadley-1
Aleva Hifo,2017-08-26,1,Brigham Young,,Portland State,W,1,23,23.0,0,aleva-hifo-1
Andy Isabella,2017-08-26,1,Massachusetts,,Hawaii,L,3,62,20.7,0,andy-isabella-1
D'Ernest Johnson,2017-08-26,1,South Florida,@,San Jose State,W,1,16,16.0,0,dernest-johnson-1
Malik Lee,2017-08-26,1,Massachusetts,,Hawaii,L,1,9,9.0,0,malik-lee-1
Isaiah Rodgers,2017-08-26,1,Massachusetts,,Hawaii,L,3,49,16.3,0,isaiah-rodgers-1
Terrence Sayles,2017-08-26,1,Hawaii,@,Massachusetts,W,1,22,22.0,0,terrence-sayles-1
Calvin Tyler Jr.,2017-08-26,1,Oregon State,@,Colorado State,L,5,109,21.8,0,calvin-tyler-jr-1
Zamore Zigler,2017-08-26,1,San Jose State,,South Florida,L,1,18,18.0,0,zamore-zigler-1
Kalen Ballage,2017-08-31,1,Arizona State,,New Mexico State,W,1,51,51.0,0,kalen-ballage-1
Taz Bateman,2017-08-31,1,Georgia State,,Tennessee State,L,1,9,9.0,0,taz-bateman-1
Shannon Brooks,2017-08-31,1,Minnesota,,Buffalo,W,2,46,23.0,0,shannon-brooks-1
Arkeem Byrd,2017-08-31,1,Wake Forest,,Presbyterian,W,1,14,14.0,0,arkeem-byrd-1
Parris Campbell,2017-08-31,1,Ohio State,@,Indiana,W,2,50,25.0,0,parris-campbell-1
Duke Carter IV,2017-08-31,1,Louisiana-Monroe,@,Memphis,L,1,4,4.0,0,duke-carter-iv-1
Mark Chapman,2017-08-31,1,Central Michigan,,Rhode Island,W,1,15,15.0,0,mark-chapman-2
Greg Dortch,2017-08-31,1,Wake Forest,,Presbyterian,W,1,25,25.0,0,greg-dortch-1
Berkley Edwards,2017-08-31,1,Central Michigan,,Rhode Island,W,3,57,19.0,0,berkley-edwards-1
Kyle Fulks,2017-08-31,1,Utah,,North Dakota,W,1,19,19.0,0,kyle-fulks-1
Thomas Geddis,2017-08-31,1,Cincinnati,,Austin Peay,W,1,24,24.0,0,thomas-geddis-1
Derrick Gore,2017-08-31,1,Louisiana-Monroe,@,Memphis,L,1,2,2.0,0,derrick-gore-1
Richie Grant,2017-08-31,1,Central Florida,,Florida International,W,1,20,20.0,0,richie-grant-1
Darrell Henderson,2017-08-31,1,Memphis,,Louisiana-Monroe,W,1,22,22.0,0,darrell-henderson-1
Mike Hughes,2017-08-31,1,Central Florida,,Florida International,W,1,17,17.0,0,mike-hughes-4
Jason Huntley,2017-08-31,1,New Mexico State,@,Arizona State,L,1,27,27.0,0,jason-huntley-1
Diontae Johnson,2017-08-31,1,Toledo,,Elon,W,2,116,58.0,1,diontae-johnson-1
Tyron Johnson,2017-08-31,1,Oklahoma State,,Tulsa,W,1,29,29.0,0,tyron-johnson-1
Chris Lacy,2017-08-31,1,Oklahoma State,,Tulsa,W,1,15,15.0,0,chris-lacy-2
Bishop Louie,2017-08-31,1,Tulsa,@,Oklahoma State,L,3,45,15.0,0,bishop-louie-1
Jacob Martinez,2017-08-31,1,Buffalo,@,Minnesota,L,1,18,18.0,0,jacob-martinez-1
Napoleon Maxwell,2017-08-31,1,Florida International,@,Central Florida,L,1,18,18.0,0,napoleon-maxwell-1
Greg McCrae,2017-08-31,1,Central Florida,,Florida International,W,1,21,21.0,0,greg-mccrae-1
Markis McCray,2017-08-31,1,Louisiana-Monroe,@,Memphis,L,4,103,25.8,0,markis-mccray-1
Desmond Phillips,2017-08-31,1,Toledo,,Elon,W,1,14,14.0,0,desmond-phillips-1
Tony Pollard,2017-08-31,1,Memphis,,Louisiana-Monroe,W,2,144,72.0,1,tony-pollard-1
Anthony Roberson,2017-08-31,1,Central Florida,,Florida International,W,1,13,13.0,0,anthony-roberson-2
Bryce Singleton,2017-08-31,1,Florida International,@,Central Florida,L,1,44,44.0,0,bryce-singleton-1
Glenn Smith,2017-08-31,1,Georgia State,,Tennessee State,L,1,33,33.0,0,glenn-smith-2
Deon Stewart,2017-08-31,1,Arkansas,N,Florida A&M,W,1,16,16.0,0,deon-stewart-1
Dillon Stoner,2017-08-31,1,Oklahoma State,,Tulsa,W,1,23,23.0,0,dillon-stoner-1
Jordan Swann,2017-08-31,1,Connecticut,,Holy Cross,W,2,42,21.0,0,jordan-swann-1
Jason Thompson,2017-08-31,1,Connecticut,,Holy Cross,W,1,19,19.0,0,jason-thompson-2
James Traylor,2017-08-31,1,Georgia State,,Tennessee State,L,1,0,0.0,0,james-traylor-1
Michael Warren II,2017-08-31,1,Cincinnati,,Austin Peay,W,1,17,17.0,0,michael-warren-ii-1
De'Vion Warren,2017-08-31,1,Arkansas,N,Florida A&M,W,1,21,21.0,0,devion-warren-1
Shaquille Warren,2017-08-31,1,Louisiana-Monroe,@,Memphis,L,1,8,8.0,0,shaquille-warren-1
Devonte Williams,2017-08-31,1,Indiana,,Ohio State,L,8,128,16.0,0,devonte-williams-1
Julian Williams,2017-08-31,1,Florida International,@,Central Florida,L,2,48,24.0,0,julian-williams-2
Christian Blake,2017-09-01,1,Northern Illinois,,Boston College,L,3,48,16.0,0,christian-blake-1
Dustin Bowens,2017-09-01,1,Florida Atlantic,,Navy,L,1,0,0.0,0,dustin-bowens-1
Gerold Bright,2017-09-01,1,Utah State,@,Wisconsin,L,1,21,21.0,0,gerold-bright-1
Ben Glines,2017-09-01,1,Boston College,@,Northern Illinois,W,3,53,17.7,0,ben-glines-1
Janarion Grant,2017-09-01,1,Rutgers,,Washington,L,4,69,17.3,0,janarion-grant-1
Josh Hicks,2017-09-01,1,Rutgers,,Washington,L,1,13,13.0,0,josh-hicks-1
Nykeim Johnson,2017-09-01,1,Syracuse,,Central Connecticut State,W,1,34,34.0,0,nykeim-johnson-1
Tonny Lindsey,2017-09-01,1,Utah State,@,Wisconsin,L,4,75,18.8,0,tonny-lindsey-1
Chico McClatcher,2017-09-01,1,Washington,@,Rutgers,W,2,33,16.5,0,chico-mcclatcher-1
Chris Montgomery,2017-09-01,1,UNC Charlotte,@,Eastern Michigan,L,4,85,21.3,0,chris-montgomery-3
Sean Riley,2017-09-01,1,Syracuse,,Central Connecticut State,W,1,22,22.0,0,sean-riley-2
Mathew Sexton,2017-09-01,1,Eastern Michigan,,UNC Charlotte,W,2,36,18.0,0,mathew-sexton-1
Jalen Sharp,2017-09-01,1,Army,,Fordham,W,2,46,23.0,0,jalen-sharp-1
A.J. Taylor,2017-09-01,1,Wisconsin,,Utah State,W,2,46,23.0,0,aj-taylor-1
Kobay White,2017-09-01,1,Boston College,@,Northern Illinois,W,1,28,28.0,0,kobay-white-1
Kerrith Whyte,2017-09-01,1,Florida Atlantic,,Navy,L,3,24,8.0,0,kerrith-whyte-1
Jeff Badet,2017-09-02,1,Oklahoma,,Texas-El Paso,W,1,23,23.0,0,jeff-badet-1
Sherman Badie,2017-09-02,1,Tulane,,Grambling State,W,3,100,33.3,0,sherman-badie-1
Bull Barge,2017-09-02,1,South Alabama,@,Mississippi,L,1,16,16.0,0,bull-barge-1
