Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
V.J. Banks,2018-08-25,1,Colorado State,,Hawaii,L,0,0,0,1,vj-banks-1
Bryton Barr,2018-08-25,1,Massachusetts,,Duquesne,W,0,0,0,1,bryton-barr-1
C.J. Coldon,2018-08-25,1,Wyoming,@,New Mexico State,W,0,0,0,1,cj-coldon-1
Rojesterman Farris II,2018-08-25,1,Hawaii,@,Colorado State,W,0,0,0,2,rojesterman-farris-ii-1
Jordan Fogal,2018-08-25,1,Colorado State,,Hawaii,L,0,0,0,1,jordan-fogal-1
Eugene Ford,2018-08-25,1,Hawaii,@,Colorado State,W,1,0,0,1,eugene-ford-1
Elijah Garcia,2018-08-25,1,Rice,,Prairie View A&M,W,0,0,0,1,elijah-garcia-1
Carl Granderson,2018-08-25,1,Wyoming,@,New Mexico State,W,0,0,0,1,carl-granderson-1
Tyler Hall,2018-08-25,1,Wyoming,@,New Mexico State,W,0,0,0,1,tyler-hall-2
Anthony Hawkins,2018-08-25,1,Colorado State,,Hawaii,L,0,0,0,2,anthony-hawkins-1
Kendall Hune,2018-08-25,1,Hawaii,@,Colorado State,W,0,0,0,1,kendall-hune-1
Tyshaun Ingram,2018-08-25,1,Massachusetts,,Duquesne,W,0,0,0,1,tyshaun-ingram-1
Justin Lewis,2018-08-25,1,Massachusetts,,Duquesne,W,0,0,0,1,justin-lewis-1
Shamad Lomax,2018-08-25,1,New Mexico State,,Wyoming,L,0,0,0,1,shamad-lomax-1
Cassh Maluia,2018-08-25,1,Wyoming,@,New Mexico State,W,0,0,0,1,cassh-maluia-1
Brandon Mangram,2018-08-25,1,Massachusetts,,Duquesne,W,0,0,0,1,brandon-mangram-1
Lee Moses,2018-08-25,1,Massachusetts,,Duquesne,W,0,0,0,1,lee-moses-1
Martin Nwakamma,2018-08-25,1,Rice,,Prairie View A&M,W,0,0,0,1,martin-nwakamma-1
George Nyakwol,2018-08-25,1,Rice,,Prairie View A&M,W,0,0,0,1,george-nyakwol-1
Chavez Pownell Jr.,2018-08-25,1,Wyoming,@,New Mexico State,W,0,0,0,2,chavez-pownell-jr-1
Houston Robert,2018-08-25,1,Rice,,Prairie View A&M,W,0,0,0,1,houston-robert-1
Josh Watson,2018-08-25,1,Colorado State,,Hawaii,L,0,0,0,1,josh-watson-2
Bradlee Anae,2018-08-30,1,Utah,,Weber State,W,0,0,0,2,bradlee-anae-1
Essang Bassey,2018-08-30,1,Wake Forest,@,Tulane,W,0,0,0,3,essang-bassey-1
Antonio Blackmon,2018-08-30,1,Purdue,,Northwestern,L,0,0,0,1,antonio-blackmon-1
Julian Blackmon,2018-08-30,1,Utah,,Weber State,W,0,0,0,2,julian-blackmon-1
Marquise Blair,2018-08-30,1,Utah,,Weber State,W,0,0,0,2,marquise-blair-1
Will Boler,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,0,0,0,1,will-boler-1
Keldrick Carper,2018-08-30,1,Texas A&M,,Northwestern State,W,0,0,0,2,keldrick-carper-1
Blake Cashman,2018-08-30,1,Minnesota,,New Mexico State,W,0,0,0,1,blake-cashman-1
Tim Cason,2018-08-30,1,Purdue,,Northwestern,L,0,0,0,3,tim-cason-1
Randy Charlton,2018-08-30,1,Central Florida,@,Connecticut,W,0,0,0,1,randy-charlton-1
Nevelle Clarke,2018-08-30,1,Central Florida,@,Connecticut,W,0,0,0,2,nevelle-clarke-1
Antwan Collier,2018-08-30,1,Central Florida,@,Connecticut,W,0,0,0,1,antwan-collier-1
Roney Elam,2018-08-30,1,Texas A&M,,Northwestern State,W,0,0,0,1,roney-elam-1
Kyle Gibson,2018-08-30,1,Central Florida,@,Connecticut,W,0,0,0,2,kyle-gibson-1
A.J. Green,2018-08-30,1,Oklahoma State,,Missouri State,W,0,0,0,2,aj-green-4
Javelin Guidry,2018-08-30,1,Utah,,Weber State,W,0,0,0,1,javelin-guidry-2
P.J. Hall,2018-08-30,1,Tulane,,Wake Forest,L,0,0,0,1,pj-hall-1
Brontae Harris,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,1,-2,0,1,brontae-harris-1
Montre Hartage,2018-08-30,1,Northwestern,@,Purdue,W,1,17,0,1,montre-hartage-1
Amari Henderson,2018-08-30,1,Wake Forest,@,Tulane,W,0,0,0,1,amari-henderson-1
Tahj Herring-Wilson,2018-08-30,1,Connecticut,,Central Florida,L,0,0,0,1,tahj-herring-wilson-1
Marcus Hubbard,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,0,0,0,2,marcus-hubbard-1
Mason Husmann,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,0,0,0,1,mason-husmann-1
Shane Jackson,2018-08-30,2,New Mexico State,@,Minnesota,L,0,0,0,1,shane-jackson-2
Pat Jasinski,2018-08-30,1,Central Florida,@,Connecticut,W,0,0,0,1,pat-jasinski-1
Trevor Kent,2018-08-30,1,Northwestern,@,Purdue,W,0,0,0,1,trevor-kent-1
Thakarius Keyes,2018-08-30,1,Tulane,,Wake Forest,L,0,0,0,3,thakarius-keyes-1
Donnie Lewis,2018-08-30,1,Tulane,,Wake Forest,L,1,0,0,2,donnie-lewis-1
DeShawnte Lloyd,2018-08-30,2,New Mexico State,@,Minnesota,L,0,0,0,1,deshawnte-lloyd-1
Shamad Lomax,2018-08-30,2,New Mexico State,@,Minnesota,L,0,0,0,1,shamad-lomax-1
Roy Lopez,2018-08-30,2,New Mexico State,@,Minnesota,L,0,0,0,1,roy-lopez-1
Boye Mafe,2018-08-30,1,Minnesota,,New Mexico State,W,0,0,0,1,boye-mafe-1
Kenderick Marbles,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,0,0,0,1,kenderick-marbles-1
Jared McGee,2018-08-30,1,Northwestern,@,Purdue,W,0,0,0,1,jared-mcgee-1
Alex Miller,2018-08-30,1,Northwestern,@,Purdue,W,0,0,0,1,alex-miller-1
Sam Miller,2018-08-30,1,Northwestern,@,Purdue,W,0,0,0,1,sam-miller-6
Eric Mitchell,2018-08-30,1,Central Florida,@,Connecticut,W,0,0,0,1,eric-mitchell-2
Dakari Monroe,2018-08-30,1,San Jose State,,California-Davis,L,1,38,0,3,dakari-monroe-1
Brandon Moore,2018-08-30,1,Central Florida,@,Connecticut,W,0,0,0,1,brandon-moore-6
Greg Newsome II,2018-08-30,1,Northwestern,@,Purdue,W,0,0,0,1,greg-newsome-ii-1
Charles Oliver,2018-08-30,1,Texas A&M,,Northwestern State,W,0,0,0,1,charles-oliver-1
DeMarcus Owens,2018-08-30,2,New Mexico State,@,Minnesota,L,0,0,0,1,demarcus-owens-1
Kolby Peel,2018-08-30,1,Oklahoma State,,Missouri State,W,0,0,0,1,kolby-peel-1
Jayden Peevy,2018-08-30,1,Texas A&M,,Northwestern State,W,0,0,0,1,jayden-peevy-1
Justin Phillips,2018-08-30,1,Oklahoma State,,Missouri State,W,0,0,0,1,justin-phillips-2
Debione Renfro,2018-08-30,1,Texas A&M,,Northwestern State,W,0,0,0,1,debione-renfro-1
Jamal Scott,2018-08-30,1,San Jose State,,California-Davis,L,0,0,0,1,jamal-scott-1
Taris Shenall,2018-08-30,1,Tulane,,Wake Forest,L,0,0,0,1,taris-shenall-1
Antonio Shenault,2018-08-30,1,Minnesota,,New Mexico State,W,0,0,0,1,antonio-shenault-1
Jerome Smith,2018-08-30,1,Georgia State,,,W,0,0,0,1,jerome-smith-2
Terell Smith,2018-08-30,1,Minnesota,,New Mexico State,W,0,0,0,3,terell-smith-1
Cedric Stone,2018-08-30,1,Georgia State,,,W,0,0,0,1,cedric-stone-1
Corey Straughter,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,1,50,0,2,corey-straughter-1
DJ Taylor,2018-08-30,1,Wake Forest,@,Tulane,W,0,0,0,1,dj-taylor-2
Ja'Sir Taylor,2018-08-30,1,Wake Forest,@,Tulane,W,0,0,0,3,jasir-taylor-1
Roderic Teamer,2018-08-30,1,Tulane,,Wake Forest,L,0,0,0,1,roderic-teamer-1
Jaylin Thomas,2018-08-30,1,Ball State,,Central Connecticut State,W,0,0,0,1,jaylin-thomas-1
Kiondre Thomas,2018-08-30,1,Minnesota,,New Mexico State,W,0,0,0,2,kiondre-thomas-1
John Toussaint,2018-08-30,1,San Jose State,,California-Davis,L,0,0,0,2,john-toussaint-1
Derrick Tucker,2018-08-30,1,Texas A&M,,Northwestern State,W,0,0,0,1,derrick-tucker-1
Jacob White,2018-08-30,1,Ball State,,Central Connecticut State,W,0,0,0,1,jacob-white-1
Rodarius Williams,2018-08-30,1,Oklahoma State,,Missouri State,W,0,0,0,2,rodarius-williams-1
Delrick Abrams Jr.,2018-08-31,1,Colorado,N,Colorado State,W,0,0,0,1,delrick-abrams-jr-1
Paulson Adebo,2018-08-31,1,Stanford,,San Diego State,W,0,0,0,2,paulson-adebo-1
Ronnie Blackmon,2018-08-31,1,Colorado,N,Colorado State,W,0,0,0,1,ronnie-blackmon-1
Shaq Bond,2018-08-31,1,Utah State,@,Michigan State,L,0,0,0,1,shaq-bond-1
Scoop Bradshaw,2018-08-31,1,Syracuse,@,Western Michigan,W,0,0,0,1,scoop-bradshaw-1
Ikie Calderon,2018-08-31,1,Eastern Michigan,,Monmouth,W,0,0,0,1,ikie-calderon-1
Vince Calhoun,2018-08-31,1,Eastern Michigan,,Monmouth,W,0,0,0,1,vince-calhoun-1
Michael Carter II,2018-08-31,1,Duke,,Army,W,0,0,0,1,michael-carter-ii-1
Andre Cisco,2018-08-31,1,Syracuse,@,Western Michigan,W,1,2,0,1,andre-cisco-1
Stefan Claiborne,2018-08-31,1,Western Michigan,,Syracuse,L,0,0,0,1,stefan-claiborne-1
Najee Clayton,2018-08-31,1,Western Michigan,,Syracuse,L,0,0,0,1,najee-clayton-1
Tacorian Darden,2018-08-31,1,Western Kentucky,@,Wisconsin,L,0,0,0,1,tacorian-darden-1
DeAndre Farris,2018-08-31,1,Western Kentucky,@,Wisconsin,L,0,0,0,1,deandre-farris-1
Ben Holt,2018-08-31,1,Western Kentucky,@,Wisconsin,L,0,0,0,1,ben-holt-1
Jeff Hubbard,2018-08-31,1,Eastern Michigan,,Monmouth,W,0,0,0,1,jeff-hubbard-1
Antwon Kincade,2018-08-31,1,Western Kentucky,@,Wisconsin,L,0,0,0,1,antwon-kincade-1
Ronley Lakalaka,2018-08-31,1,San Diego State,@,Stanford,L,0,0,0,1,ronley-lakalaka-1
