Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Wyatt Bryan,2018-08-25,1,Colorado State,,Hawaii,L,4,4,100.0,0,2,0.0,4,wyatt-bryan-1
Jack Fox,2018-08-25,1,Rice,,Prairie View A&M,W,2,2,100.0,2,3,66.7,8,jack-fox-1
Ryan Meskell,2018-08-25,1,Hawaii,@,Colorado State,W,4,4,100.0,3,3,100.0,13,ryan-meskell-1
Cooper Rothe,2018-08-25,1,Wyoming,@,New Mexico State,W,3,3,100.0,2,2,100.0,9,cooper-rothe-1
Hayden Tobola,2018-08-25,1,Rice,,Prairie View A&M,W,0,0,,1,1,100.0,3,hayden-tobola-1
Matt Ammendola,2018-08-30,1,Oklahoma State,,Missouri State,W,7,8,87.5,1,1,100.0,10,matt-ammendola-1
Dylan Brown,2018-08-30,2,New Mexico State,@,Minnesota,L,1,1,100.0,1,1,100.0,4,dylan-brown-1
Emmit Carpenter,2018-08-30,1,Minnesota,,New Mexico State,W,6,6,100.0,2,3,66.7,12,emmit-carpenter-1
Bryce Crawford,2018-08-30,1,San Jose State,,California-Davis,L,5,5,100.0,1,2,50.0,8,bryce-crawford-1
Spencer Evans,2018-08-30,1,Purdue,,Northwestern,L,3,3,100.0,2,3,66.7,9,spencer-evans-1
Craig Ford,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,2,3,66.7,2,4,50.0,8,craig-ford-1
Matt Gay,2018-08-30,1,Utah,,Weber State,W,5,5,100.0,2,3,66.7,11,matt-gay-2
Merek Glover,2018-08-30,1,Tulane,,Wake Forest,L,2,2,100.0,1,1,100.0,5,merek-glover-1
Morgan Hagee,2018-08-30,1,Ball State,,Central Connecticut State,W,6,6,100.0,0,1,0.0,6,morgan-hagee-1
Charlie Kuhbander,2018-08-30,1,Northwestern,@,Purdue,W,4,4,100.0,1,1,100.0,7,charlie-kuhbander-1
Daniel LaCamera,2018-08-30,1,Texas A&M,,Northwestern State,W,8,8,100.0,1,1,100.0,11,daniel-lacamera-1
Nick Sciba,2018-08-30,1,Wake Forest,@,Tulane,W,2,2,100.0,1,2,50.0,5,nick-sciba-1
Michael Tarbutt,2018-08-30,1,Connecticut,,Central Florida,L,2,2,100.0,1,1,100.0,5,michael-tarbutt-1
Nick Vogel,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,7,7,100.0,1,1,100.0,10,nick-vogel-1
Brandon Wright,2018-08-30,1,Georgia State,,,W,3,3,100.0,1,1,100.0,6,brandon-wright-3
Ramiz Ahmed,2018-08-31,1,Nevada,,Portland State,W,9,10,90.0,1,1,100.0,12,ramiz-ahmed-1
John Baron,2018-08-31,1,San Diego State,@,Stanford,L,1,1,100.0,1,1,100.0,4,john-baron-1
Wyatt Bryan,2018-08-31,2,Colorado State,N,Colorado,L,1,1,100.0,2,2,100.0,7,wyatt-bryan-1
Matt Coghlin,2018-08-31,1,Michigan State,,Utah State,W,3,3,100.0,3,3,100.0,12,matt-coghlin-1
Dominik Eberle,2018-08-31,1,Utah State,@,Michigan State,L,4,4,100.0,1,1,100.0,7,dominik-eberle-1
Rafael Gaglianone,2018-08-31,1,Wisconsin,,Western Kentucky,W,4,4,100.0,2,2,100.0,10,rafael-gaglianone-1
Josh Grant,2018-08-31,1,Western Michigan,,Syracuse,L,6,6,100.0,0,1,0.0,6,josh-grant-1
Ryan Nuss,2018-08-31,1,Western Kentucky,@,Wisconsin,L,0,0,,1,1,100.0,3,ryan-nuss-1
Chad Ryland,2018-08-31,1,Eastern Michigan,,Monmouth,W,6,6,100.0,1,1,100.0,9,chad-ryland-1
Landon Salyers,2018-08-31,1,Army,@,Duke,L,2,2,100.0,0,2,0.0,2,landon-salyers-1
James Stefanou,2018-08-31,1,Colorado,N,Colorado State,W,6,6,100.0,1,1,100.0,9,james-stefanou-1
Andre Szmyt,2018-08-31,1,Syracuse,@,Western Michigan,W,7,7,100.0,2,2,100.0,13,andre-szmyt-1
Jet Toner,2018-08-31,1,Stanford,,San Diego State,W,3,3,100.0,0,1,0.0,3,jet-toner-1
Collin Wareham,2018-08-31,1,Duke,,Army,W,4,4,100.0,2,2,100.0,10,collin-wareham-1
Michael Armstrong,2018-09-01,1,Central Michigan,@,Kentucky,L,2,2,100.0,2,2,100.0,8,michael-armstrong-1
Tyler Bass,2018-09-01,1,Georgia Southern,,South Carolina State,W,4,4,100.0,1,1,100.0,7,tyler-bass-3
Massimo Biscardi,2018-09-01,1,Coastal Carolina,@,South Carolina,L,0,0,,3,3,100.0,9,massimo-biscardi-1
Rodrigo Blankenship,2018-09-01,1,Georgia,,Austin Peay,W,6,6,100.0,1,1,100.0,9,rodrigo-blankenship-1
Aaron Boumerhi,2018-09-01,1,Temple,,Villanova,L,2,2,100.0,1,2,50.0,5,aaron-boumerhi-1
Cole Bunce,2018-09-01,1,Texas Christian,,Southern,W,5,5,100.0,2,2,100.0,11,cole-bunce-1
Anders Carlson,2018-09-01,1,Auburn,N,Washington,W,0,0,,3,5,60.0,9,anders-carlson-1
Jordan Choukair,2018-09-01,1,Oregon State,@,Ohio State,L,4,4,100.0,1,2,50.0,7,jordan-choukair-1
Jace Christman,2018-09-01,1,Mississippi State,,Stephen F. Austin,W,6,6,100.0,0,1,0.0,6,jace-christman-1
Jonathan Cruz,2018-09-01,1,UNC Charlotte,,Fordham,W,4,4,100.0,2,3,66.7,10,jonathan-cruz-1
Christopher Dunn,2018-09-01,1,North Carolina State,,James Madison,W,3,3,100.0,1,2,50.0,6,christopher-dunn-1
