"Player","Date","G","School","Loc","Opponent","WL","Rush Att","Rush Yard","Rush Avg","Rush TD","unique_id"
"Bilal Ally","2018-08-25",1,"Massachusetts",,"Duquesne","W",9,109,12.1,1,"bilal-ally-1"
"Jevon Bigelow","2018-08-25",1,"Wyoming","@","New Mexico State","W",13,55,4.2,1,"jevon-bigelow-1"
"K.J. Carta-Samuels","2018-08-25",1,"Colorado State",,"Hawaii","L",6,25,4.2,0,"kj-carta-samuels-1"
"Ross Comis","2018-08-25",1,"Massachusetts",,"Duquesne","W",2,49,24.5,1,"ross-comis-1"
"Avante' Cox","2018-08-25",1,"Wyoming","@","New Mexico State","W",1,7,7,0,"avante-cox-1"
"Michael Curtis","2018-08-25",1,"Massachusetts",,"Duquesne","W",1,6,6,0,"michael-curtis-2"
"Brennon Dingle","2018-08-25",1,"Massachusetts",,"Duquesne","W",1,2,2,0,"brennon-dingle-1"
"Emmanuel Esukpa","2018-08-25",1,"Rice",,"Prairie View A&M","W",32,173,5.4,1,"emmanuel-esukpa-1"
"Nico Evans","2018-08-25",1,"Wyoming","@","New Mexico State","W",24,190,7.9,2,"nico-evans-1"
"Andrew Ford","2018-08-25",1,"Massachusetts",,"Duquesne","W",3,5,1.7,0,"andrew-ford-1"
"Dayton Furuta","2018-08-25",1,"Hawaii","@","Colorado State","W",7,35,5,0,"dayton-furuta-1"
"Freddie Holly","2018-08-25",1,"Hawaii","@","Colorado State","W",16,68,4.3,0,"freddie-holly-1"
"Jason Huntley","2018-08-25",1,"New Mexico State",,"Wyoming","L",9,22,2.4,0,"jason-huntley-1"
"Andy Isabella","2018-08-25",1,"Massachusetts",,"Duquesne","W",1,14,14,1,"andy-isabella-1"
"Izzy Matthews","2018-08-25",1,"Colorado State",,"Hawaii","L",15,63,4.2,0,"izzy-matthews-1"
"Cole McDonald","2018-08-25",1,"Hawaii","@","Colorado State","W",13,96,7.4,2,"cole-mcdonald-1"
"Marcus McElroy","2018-08-25",1,"Colorado State",,"Hawaii","L",4,28,7,0,"marcus-mcelroy-1"
"Nick Orekoya","2018-08-25",1,"Massachusetts",,"Duquesne","W",4,9,2.3,0,"nick-orekoya-1"
"Will Phillips","2018-08-25",1,"Rice",,"Prairie View A&M","W",1,2,2,0,"will-phillips-1"
"Matt Romero","2018-08-25",1,"New Mexico State",,"Wyoming","L",7,-31,-4.4,0,"matt-romero-1"
"Victor Santiago","2018-08-25",1,"Massachusetts",,"Duquesne","W",2,0,0,0,"victor-santiago-1"
"Shawn Stankavage","2018-08-25",1,"Rice",,"Prairie View A&M","W",5,26,5.2,0,"shawn-stankavage-1"
"Xazavian Valladay","2018-08-25",1,"Wyoming","@","New Mexico State","W",17,61,3.6,0,"xazavian-valladay-1"
"Tyler Vander Waal","2018-08-25",1,"Wyoming","@","New Mexico State","W",1,0,0,0,"tyler-vander-waal-1"
"Aston Walter","2018-08-25",1,"Rice",,"Prairie View A&M","W",1,26,26,0,"aston-walter-1"
"Austin Walter","2018-08-25",1,"Rice",,"Prairie View A&M","W",11,83,7.5,2,"austin-walter-1"
"Marquis Young","2018-08-25",1,"Massachusetts",,"Duquesne","W",15,90,6,1,"marquis-young-1"
"Montel Aaron","2018-08-30",1,"San Jose State",,"California-Davis","L",3,6,2,0,"montel-aaron-1"
"Otis Anderson","2018-08-30",1,"Central Florida","@","Connecticut","W",4,23,5.8,1,"otis-anderson-1"
"Zack Annexstad","2018-08-30",1,"Minnesota",,"New Mexico State","W",2,0,0,0,"zack-annexstad-1"
"Jonathan Banks","2018-08-30",1,"Tulane",,"Wake Forest","L",15,38,2.5,0,"jonathan-banks-1"
"Tra Barnett","2018-08-30",1,"Georgia State",,,"W",10,18,1.8,0,"tra-barnett-1"
