Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,Sack,unique_id
Luke Ancrum,2019-08-24,1,Florida,N,Miami (FL),W,1,0,1,0.0,0.0,luke-ancrum-1
Justice Augafa,2019-08-24,1,Hawaii,,Arizona,W,1,0,1,0.0,0.0,justice-augafa-1
Trajan Bandy,2019-08-24,1,Miami (FL),N,Florida,L,3,0,3,0.0,0.0,trajan-bandy-1
Justin Belknap,2019-08-24,1,Arizona,@,Hawaii,L,0,2,2,0.0,0.0,justin-belknap-1
Pat Bethel,2019-08-24,1,Miami (FL),N,Florida,L,1,0,1,1.0,0.0,pat-bethel-1
Khoury Bethley,2019-08-24,1,Hawaii,,Arizona,W,2,1,3,0.0,0.0,khoury-bethley-1
AL Blades,2019-08-24,1,Miami (FL),N,Florida,L,3,1,4,0.0,0.0,al-blades-2
Josh Brown,2019-08-24,1,Arizona,@,Hawaii,L,1,2,3,0.0,0.0,josh-brown-9
Amari Burney,2019-08-24,1,Florida,N,Miami (FL),W,1,1,2,0.0,0.0,amari-burney-1
Lorenzo Burns,2019-08-24,1,Arizona,@,Hawaii,L,4,0,4,0.0,0.0,lorenzo-burns-1
Cedric Byrd,2019-08-24,1,Hawaii,,Arizona,W,3,0,3,0.0,0.0,cedric-byrd-1
Kyree Campbell,2019-08-24,1,Florida,N,Miami (FL),W,4,2,6,2.0,1.0,kyree-campbell-1
Amari Carter,2019-08-24,1,Miami (FL),N,Florida,L,3,4,7,0.0,0.0,amari-carter-1
Jakai Clark,2019-08-24,1,Miami (FL),N,Florida,L,1,0,1,0.0,0.0,jakai-clark-1
Tyrie Cleveland,2019-08-24,1,Florida,N,Miami (FL),W,1,0,1,0.0,0.0,tyrie-cleveland-1
Dayven Coleman,2019-08-24,1,Arizona,@,Hawaii,L,2,0,2,0.0,0.0,dayven-coleman-1
Tristan Cooper,2019-08-24,1,Arizona,@,Hawaii,L,4,0,4,0.0,0.0,tristan-cooper-2
Cortez Davis,2019-08-24,1,Hawaii,,Arizona,W,5,0,5,1.0,0.0,cortez-davis-2
Shawn Davis,2019-08-24,1,Florida,N,Miami (FL),W,1,1,2,0.0,0.0,shawn-davis-3
Trey Dean III,2019-08-24,1,Florida,N,Miami (FL),W,3,1,4,1.5,1.5,trey-dean-iii-1
Marlon Dunlap,2019-08-24,1,Florida,N,Miami (FL),W,0,1,1,0.5,0.5,marlon-dunlap-1
Rojesterman Farris II,2019-08-24,1,Hawaii,,Arizona,W,2,0,2,0.0,0.0,rojesterman-farris-ii-1
Tony Fields II,2019-08-24,1,Arizona,@,Hawaii,L,3,2,5,1.0,0.0,tony-fields-ii-1
Romeo Finley,2019-08-24,1,Miami (FL),N,Florida,L,1,0,1,1.0,0.0,romeo-finley-1
Steven Fiso,2019-08-24,1,Hawaii,,Arizona,W,1,0,1,0.0,0.0,steven-fiso-1
Eugene Ford,2019-08-24,1,Hawaii,,Arizona,W,4,0,4,2.0,1.0,eugene-ford-1
Gilbert Frierson,2019-08-24,1,Miami (FL),N,Florida,L,1,1,2,1.0,0.0,gilbert-frierson-1
Jonathan Garvin,2019-08-24,1,Miami (FL),N,Florida,L,2,2,4,0.0,0.0,jonathan-garvin-1
Realus George Jr.,2019-08-24,1,Miami (FL),N,Florida,L,1,0,1,0.0,0.0,realus-george-jr-1
Jonathan Greenard,2019-08-24,1,Florida,N,Miami (FL),W,3,3,6,2.0,1.5,jonathan-greenard-1
Trevon Grimes,2019-08-24,1,Florida,N,Miami (FL),W,1,0,1,0.0,0.0,trevon-grimes-1
Gurvan Hall Jr.,2019-08-24,1,Miami (FL),N,Florida,L,3,5,8,1.0,0.0,gurvan-hall-jr-1
Jalen Harris,2019-08-24,1,Arizona,@,Hawaii,L,4,1,5,1.5,0.5,jalen-harris-3
Malik Hausman,2019-08-24,1,Arizona,@,Hawaii,L,1,0,1,0.0,0.0,malik-hausman-1
C.J. Henderson,2019-08-24,1,Florida,N,Miami (FL),W,1,1,2,0.0,0.0,cj-henderson-1
Kalen Hicks,2019-08-24,1,Hawaii,,Arizona,W,6,3,9,0.0,0.0,kalen-hicks-1
Trevon Hill,2019-08-24,1,Miami (FL),N,Florida,L,0,2,2,0.0,0.0,trevon-hill-1
James Houston IV,2019-08-24,1,Florida,N,Miami (FL),W,2,1,3,1.0,1.0,james-houston-iv-1
Kendall Hune,2019-08-24,1,Hawaii,,Arizona,W,2,1,3,0.0,0.0,kendall-hune-1
Kai Kaneshiro,2019-08-24,1,Hawaii,,Arizona,W,1,0,1,0.0,0.0,kai-kaneshiro-1
Robert Knowles,2019-08-24,1,Miami (FL),N,Florida,L,1,2,3,0.0,0.0,robert-knowles-1
Trevon Mason,2019-08-24,1,Arizona,@,Hawaii,L,1,4,5,0.0,0.0,trevon-mason-1
Solomon Matautia,2019-08-24,1,Hawaii,,Arizona,W,3,2,5,0.0,0.0,solomon-matautia-1
Zach McCloud,2019-08-24,1,Miami (FL),N,Florida,L,1,0,1,0.0,0.0,zach-mccloud-1
Ventrell Miller,2019-08-24,1,Florida,N,Miami (FL),W,4,2,6,2.0,2.0,ventrell-miller-1
Jeremiah Moon,2019-08-24,1,Florida,N,Miami (FL),W,2,2,4,2.0,0.5,jeremiah-moon-1
Jimmy Murphy,2019-08-24,1,Miami (FL),N,Florida,L,1,1,2,0.0,0.0,jimmy-murphy-1
Ikem Okeke,2019-08-24,1,Hawaii,,Arizona,W,4,1,5,0.0,0.0,ikem-okeke-1
Kaimana Padello,2019-08-24,1,Hawaii,,Arizona,W,3,0,3,0.0,0.0,kaimana-padello-1
Anthony Pandy,2019-08-24,1,Arizona,@,Hawaii,L,4,2,6,0.0,0.0,anthony-pandy-1
Scott Patchan,2019-08-24,1,Miami (FL),N,Florida,L,3,2,5,0.0,0.0,scott-patchan-1
Cedric Peterson,2019-08-24,1,Arizona,@,Hawaii,L,1,0,1,0.0,0.0,cedric-peterson-1
Kana'i Picanco,2019-08-24,1,Hawaii,,Arizona,W,2,1,3,1.0,1.0,kanai-picanco-1
Michael Pinckney,2019-08-24,1,Miami (FL),N,Florida,L,0,3,3,0.0,0.0,michael-pinckney-1
Jeremiah Pritchard,2019-08-24,1,Hawaii,,Arizona,W,2,0,2,0.0,0.0,jeremiah-pritchard-1
Shaquille Quarterman,2019-08-24,1,Miami (FL),N,Florida,L,3,1,4,0.0,0.0,shaquille-quarterman-1
David Reese,2019-08-24,1,Florida,N,Miami (FL),W,1,4,5,0.5,0.0,david-reese-3
Christian Roland-Wallace,2019-08-24,1,Arizona,@,Hawaii,L,1,0,1,0.0,0.0,christian-roland-wallace-1
Gregory Rousseau,2019-08-24,1,Miami (FL),N,Florida,L,2,0,2,2.0,1.0,gregory-rousseau-1
Colin Schooler,2019-08-24,1,Arizona,@,Hawaii,L,6,3,9,0.5,0.5,colin-schooler-1
Paul Scott,2019-08-24,1,Hawaii,,Arizona,W,1,2,3,0.5,0.0,paul-scott-1
Adam Shuler II,2019-08-24,1,Florida,N,Miami (FL),W,1,3,4,0.5,0.5,adam-shuler-ii-1
Donovan Stiner,2019-08-24,1,Florida,N,Miami (FL),W,2,1,3,0.0,0.0,donovan-stiner-1
Freddie Swain,2019-08-24,1,Florida,N,Miami (FL),W,1,0,1,0.0,0.0,freddie-swain-1
Blessman Ta'ala,2019-08-24,1,Hawaii,,Arizona,W,1,0,1,0.0,0.0,blessman-taala-1
Myles Tapusoa,2019-08-24,1,Arizona,@,Hawaii,L,0,2,2,0.0,0.0,myles-tapusoa-1
Jeawon Taylor,2019-08-24,1,Florida,N,Miami (FL),W,5,1,6,1.0,0.0,jeawon-taylor-1
Derek Thomas,2019-08-24,1,Hawaii,,Arizona,W,1,0,1,0.0,0.0,derek-thomas-1
Solo Vaipulu,2019-08-24,1,Hawaii,,Arizona,W,1,0,1,0.0,0.0,solo-vaipulu-1
Mason Vega,2019-08-24,1,Hawaii,,Arizona,W,0,2,2,0.5,0.0,mason-vega-1
Jarrius Wallace,2019-08-24,1,Arizona,@,Hawaii,L,1,0,1,0.0,0.0,jarrius-wallace-1
Jace Whittaker,2019-08-24,1,Arizona,@,Hawaii,L,5,0,5,0.0,0.0,jace-whittaker-1
Kylan Wilborn,2019-08-24,1,Arizona,@,Hawaii,L,0,2,2,0.0,0.0,kylan-wilborn-1
