School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Nebraska,Big 8,1.0,13,0,0,14.96,16.53,31.49,50.28,-5.37,,,,,,,34.0
Oklahoma,Big 8,2.0,11,1,0,22.6,6.64,29.24,56.73,4.18,,,,,,,45.0
Alabama,SEC,4.0,11,1,0,12.22,15.44,27.66,45.23,-3.98,,,,,,,107.0
Georgia,SEC,7.0,11,1,0,9.5,12.72,22.22,40.24,-0.61,,,,,,,111.0
Colorado,Big 8,3.0,10,2,0,13.51,7.75,21.25,43.99,3.4,,,,,,,98.0
LSU,SEC,11.0,9,3,0,10.85,10.03,20.87,41.6,0.51,,,,,,,113.0
Michigan,Big Ten,6.0,11,1,0,6.57,12.97,19.54,44.83,-1.26,,,,,,,31.0
Penn State,Ind,5.0,11,1,0,10.67,8.83,19.51,47.08,3.81,,,,,,,37.0
Arizona St.,WAC,8.0,11,1,0,14.38,4.73,19.11,45.77,7.77,,,,,,,96.0
Auburn,SEC,12.0,9,2,0,11.87,6.82,18.69,42.5,4.23,,,,,,,109.0
Houston,Ind,17.0,9,3,0,10.31,6.46,16.77,38.75,4.13,,,,,,,5.0
USC,Pac-8,20.0,6,4,1,6.55,10.08,16.63,34.54,0.21,,,,,,,103.0
Notre Dame,Ind,13.0,8,2,0,1.95,14.65,16.6,33.58,-2.73,,,,,,,70.0
Ole Miss,SEC,15.0,10,2,0,11.42,5.15,16.57,41.33,7.25,,,,,,,116.0
Tennessee,SEC,9.0,10,2,0,4.57,11.75,16.33,32.58,-1.25,,,,,,,118.0
Stanford,Pac-8,10.0,9,3,0,5.04,10.05,15.09,32.71,0.11,,,,,,,101.0
Iowa St.,Big 8,,8,4,0,9.14,5.81,14.95,38.36,6.6,,,,,,,42.0
Washington,Pac-8,19.0,8,3,0,10.34,4.35,14.69,41.5,6.94,,,,,,,105.0
Ohio St.,Big Ten,,6,4,0,4.85,9.35,14.2,33.27,0.44,,,,,,,36.0
Texas,SWC,18.0,8,3,0,6.83,6.59,13.42,35.82,4.29,,,,,,,48.0
Florida St.,Ind,,8,4,0,5.99,7.26,13.25,33.41,4.23,,,,,,,16.0
Arkansas,SWC,16.0,8,3,1,8.81,2.88,11.68,38.06,8.62,,,,,,,108.0
Toledo,MAC,14.0,12,0,0,4.66,6.3,10.95,35.9,6.59,,,,,,,81.0
North Carolina,ACC,,9,3,0,5.62,5.29,10.91,33.85,6.55,,,,,,,21.0
Michigan St.,Big Ten,,6,5,0,2.73,7.14,9.88,32.19,3.32,,,,,,,32.0
Northwestern,Big Ten,,7,4,0,3.79,5.51,9.3,31.34,6.14,,,,,,,35.0
Georgia Tech,Ind,,6,6,0,3.35,4.45,7.8,30.43,6.46,,,,,,,17.0
Boston College,Ind,,9,2,0,0.02,7.27,7.29,29.55,6.06,,,,,,,13.0
Utah St.,Ind,,8,3,0,2.67,4.2,6.87,28.62,8.51,,,,,,,93.0
Oregon,Pac-8,,5,6,0,6.46,-0.65,5.81,33.67,11.98,,,,,,,99.0
Air Force,Ind,,6,4,0,1.13,4.37,5.5,26.94,7.74,,,,,,,83.0
New Mexico,WAC,,6,3,2,10.68,-5.79,4.9,38.87,18.61,,,,,,,89.0
Kansas St.,Big 8,,5,6,0,4.99,-0.15,4.84,31.71,12.99,,,,,,,44.0
Kansas,Big 8,,4,7,0,0.42,4.24,4.66,28.81,11.39,,,,,,,43.0
Memphis,MVC,,5,6,0,2.83,1.57,4.41,31.29,10.46,,,,,,,6.0
South Carolina,Ind,,6,5,0,0.8,3.55,4.35,28.44,9.78,,,,,,,117.0
Oregon St.,Pac-8,,5,6,0,9.05,-4.81,4.24,35.73,16.23,,,,,,,100.0
California,Pac-8,,6,5,0,1.06,3.12,4.18,28.31,10.23,,,,,,,97.0
Florida,SEC,,4,7,0,2.48,1.65,4.13,29.78,14.12,,,,,,,110.0
West Virginia,Ind,,7,4,0,6.2,-2.07,4.12,33.15,13.63,,,,,,,50.0
Duke,ACC,,6,5,0,-3.14,7.01,3.87,24.24,6.23,,,,,,,15.0
Cornell,Ivy,,8,1,0,2.91,0.71,3.62,29.77,12.71,,,,,,,167.0
Purdue,Big Ten,,3,7,0,5.16,-1.68,3.49,32.81,10.96,,,,,,,38.0
Dartmouth,Ivy,,8,1,0,0.5,2.94,3.44,26.1,9.77,,,,,,,168.0
Oklahoma St.,Big 8,,4,6,1,0.88,2.46,3.34,27.77,13.81,,,,,,,46.0
Illinois,Big Ten,,5,6,0,-0.67,3.96,3.28,27.42,8.89,,,,,,,27.0
Washington St.,Pac-8,,4,7,0,5.49,-2.23,3.25,32.6,14.65,,,,,,,106.0
Temple,Ind,,6,2,1,1.67,0.94,2.61,31.32,11.43,,,,,,,10.0
Ohio,MAC,,5,5,0,3.11,-0.85,2.26,29.81,11.87,,,,,,,80.0
Long Beach State,PCAA,,8,4,0,5.95,-3.75,2.2,32.01,15.94,,,,,,,
Minnesota,Big Ten,,4,7,0,4.04,-1.92,2.12,31.24,12.36,,,,,,,33.0
UCLA,Pac-8,,2,7,1,0.51,1.58,2.09,28.24,10.45,,,,,,,102.0
Tampa,Ind,,6,5,0,1.19,0.61,1.8,34.35,10.93,,,,,,,
Wisconsin,Big Ten,,4,6,1,5.12,-3.33,1.79,32.81,14.41,,,,,,,40.0
Syracuse,Ind,,5,5,1,-3.92,5.61,1.69,24.15,6.21,,,,,,,23.0
Western Michigan,MAC,,7,3,0,-1.52,3.07,1.54,26.68,8.95,,,,,,,82.0
