School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida St.,ACC (Atlantic),1.0,14,0,8.57,14.79,23.36,66.14,-1.04,11.06,3.89,6.35,2.55,8.6,3.11,16
Oregon,Pac-12 (North),9.0,11,2,12.56,8.7,21.27,62.18,3.32,10.95,4.31,7.19,3.09,8.82,3.48,99
Alabama,SEC (West),7.0,11,2,5.72,14.35,20.06,54.17,-1.3,10.06,5.27,6.69,2.15,8.23,3.56,107
Missouri,SEC (East),5.0,12,2,11.89,8.08,19.97,55.06,4.8,8.99,5.01,6.48,2.98,7.62,4.07,115
Stanford,Pac-12 (North),11.0,11,3,5.99,12.97,18.96,50.74,-1.97,10.5,4.66,6.0,1.91,7.71,3.35,101
Auburn,SEC (West),2.0,12,2,13.6,5.21,18.8,57.88,5.89,10.13,5.75,7.37,3.33,8.26,4.45,109
Arizona St.,Pac-12 (South),21.0,10,4,13.67,3.83,17.5,59.77,7.46,9.48,5.63,5.57,2.89,7.34,4.05,96
UCLA,Pac-12 (South),16.0,10,3,10.15,6.95,17.1,54.7,4.91,9.93,4.84,5.37,3.01,7.33,3.78,102
Baylor,Big 12,13.0,11,2,12.51,4.35,16.87,66.98,9.97,11.84,5.39,5.99,3.02,8.52,3.94,41
Oklahoma St.,Big 12,17.0,10,3,10.19,6.64,16.83,55.07,5.91,8.98,4.55,5.24,2.9,7.1,3.69,46
South Carolina,SEC (East),4.0,11,2,7.99,8.07,16.06,52.47,3.92,10.19,5.54,5.86,3.18,7.69,4.2,117
Ohio St.,Big Ten (Leaders),12.0,12,2,10.77,4.87,15.65,59.32,8.52,8.77,5.97,7.87,2.7,8.21,4.38,36
Washington,Pac-12 (North),25.0,9,4,6.41,8.71,15.12,54.15,3.14,9.54,4.21,6.05,3.28,7.54,3.59,105
Clemson,ACC (Atlantic),8.0,11,2,9.21,5.77,14.98,55.77,6.57,10.03,5.64,5.25,2.64,7.52,3.87,14
Michigan St.,Big Ten (Legends),3.0,13,1,1.23,13.51,14.74,43.26,0.0,7.99,4.12,5.13,2.04,6.39,3.11,32
LSU,SEC (West),14.0,10,3,8.87,5.72,14.59,52.58,6.89,11.25,5.11,5.99,2.72,8.07,3.79,113
Wisconsin,Big Ten (Leaders),22.0,9,4,2.69,11.51,14.2,49.17,1.42,8.16,5.07,7.45,2.33,7.76,3.73,40
USC,Pac-12 (South),19.0,10,4,4.08,9.65,13.72,46.42,2.12,9.39,4.36,5.71,3.26,7.31,3.69,103
Texas A&M,SEC (West),18.0,9,4,16.81,-3.43,13.38,60.55,16.3,10.55,6.2,6.14,4.22,8.44,5.12,119
Oklahoma,Big 12,6.0,11,2,6.42,6.77,13.19,49.25,5.8,8.44,5.49,6.02,3.43,7.12,4.31,45
Georgia,SEC (East),,8,5,13.03,-0.21,12.82,55.52,11.35,10.19,6.33,5.62,2.69,7.81,4.29,111
Arizona,Pac-12 (South),,8,5,5.72,6.89,12.6,49.17,6.16,7.96,5.1,6.27,3.24,6.99,3.97,95
Ole Miss,SEC (West),,8,5,4.24,6.19,10.42,45.72,5.6,8.66,5.22,5.63,2.66,7.09,3.82,116
BYU,Ind,,8,5,5.85,4.38,10.23,47.9,6.67,7.94,5.37,5.96,2.8,6.84,3.97,66
Kansas St.,Big 12,,8,5,6.13,3.88,10.01,46.82,8.26,10.53,5.09,5.14,3.5,7.31,4.24,44
Louisville,American,15.0,12,1,-0.18,10.18,9.99,45.83,3.69,9.81,5.24,4.86,2.37,7.37,3.62,18
Notre Dame,Ind,20.0,9,4,3.0,6.51,9.5,44.57,6.92,8.97,5.02,5.69,3.38,7.34,4.12,70
Central Florida,American,10.0,12,1,6.19,2.24,8.42,47.93,10.66,9.88,5.68,5.51,3.81,7.59,4.73,1
Oregon St.,Pac-12 (North),,7,6,9.08,-0.97,8.11,50.68,13.31,9.16,5.74,4.59,4.42,7.51,4.91,100
Vanderbilt,SEC (East),24.0,9,4,4.66,3.34,8.01,44.88,10.57,8.88,4.88,4.3,3.34,6.32,4.04,120
Duke,ACC (Coastal),23.0,10,4,6.8,1.06,7.86,48.45,11.21,8.59,6.1,5.59,3.57,7.02,4.63,15
Mississippi St.,SEC (West),,7,6,-0.28,8.0,7.72,44.45,4.62,8.52,5.01,5.63,2.99,6.97,3.95,114
Texas,Big 12,,8,5,3.09,4.36,7.45,45.65,7.66,8.07,5.38,5.21,3.52,6.52,4.22,48
Iowa,Big Ten (Legends),,8,5,-0.9,8.22,7.31,40.82,4.87,8.09,4.77,5.14,2.6,6.35,3.61,29
Georgia Tech,ACC (Coastal),,7,6,2.01,5.19,7.21,51.24,7.6,9.67,6.15,6.61,2.82,7.37,4.44,17
Utah,Pac-12 (South),,5,7,4.51,2.45,6.96,48.89,8.14,9.05,5.62,5.28,2.59,7.03,4.0,104
Utah St.,MWC (Mountain),,9,5,-4.34,11.04,6.7,41.04,2.52,7.16,5.73,4.82,1.85,6.0,3.56,93
Miami (FL),ACC (Coastal),,9,4,8.33,-1.74,6.59,52.59,13.9,10.71,6.28,6.02,3.93,8.27,4.95,19
Virginia Tech,ACC (Coastal),,8,5,-3.85,10.26,6.41,38.38,1.56,8.25,4.52,4.22,2.25,6.16,3.21,25
North Carolina,ACC (Coastal),,7,6,3.53,2.69,6.22,47.91,9.65,9.08,5.42,4.88,3.37,6.95,4.19,21
Michigan,Big Ten (Legends),,7,6,5.97,-0.43,5.53,48.55,13.12,9.44,5.87,4.34,3.03,6.61,4.39,31
Texas Tech,Big 12,,8,5,7.13,-1.81,5.32,50.62,15.03,8.62,5.24,4.44,3.96,7.02,4.42,49
Minnesota,Big Ten (Legends),,8,5,-0.07,5.34,5.27,39.0,8.56,8.35,6.04,5.13,3.72,6.18,4.76,33
Nebraska,Big Ten (Legends),,9,4,3.38,1.84,5.22,45.25,12.23,7.81,6.11,5.79,3.36,6.64,4.42,34
