School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Colorado St.,85,2002-08-22,1,@,Virginia,24,W,35,29,6,17,27,63.0,229,1,0,41,187,4.6,2,2,2,3,18,27,66.7,193,1,49,221,4.5,3,4,1,5,4
Virginia,24,2002-08-22,1,,Colorado St.,85,L,29,35,-6,18,27,66.7,193,1,1,49,221,4.5,3,4,5,4,17,27,63.0,229,1,41,187,4.6,2,2,0,2,3
Fresno St.,86,2002-08-23,1,@,Wisconsin,40,L,21,23,-2,22,43,51.2,275,3,2,19,34,1.8,0,2,4,3,11,25,44.0,160,0,57,198,3.5,2,2,0,2,2
Wisconsin,40,2002-08-23,1,,Fresno St.,86,W,23,21,2,11,25,44.0,160,0,0,57,198,3.5,2,2,2,2,22,43,51.2,275,3,19,34,1.8,0,2,2,4,3
Arizona St.,96,2002-08-24,1,@,Nebraska,34,L,10,48,-38,17,41,41.5,175,0,1,30,83,2.8,1,0,1,1,5,13,38.5,33,1,59,283,4.8,3,0,0,0,6
Florida St.,16,2002-08-24,1,N,Iowa St.,42,W,38,31,7,17,25,68.0,210,2,1,43,239,5.6,2,0,1,5,22,33,66.7,313,2,38,130,3.4,2,1,1,2,4
Iowa St.,42,2002-08-24,1,N,Florida St.,16,L,31,38,-7,22,33,66.7,313,2,1,38,130,3.4,2,1,2,4,17,25,68.0,210,2,43,239,5.6,2,0,1,1,5
Nebraska,34,2002-08-24,1,,Arizona St.,96,W,48,10,38,5,13,38.5,33,1,0,59,283,4.8,3,0,0,6,17,41,41.5,175,0,30,83,2.8,1,0,1,1,1
New Mexico,89,2002-08-24,1,@,NC State,20,L,14,34,-20,19,35,54.3,157,1,2,24,85,3.5,1,1,3,2,15,27,55.6,276,3,46,134,2.9,2,1,1,2,5
NC State,20,2002-08-24,1,,New Mexico,89,W,34,14,20,15,27,55.6,276,3,1,46,134,2.9,2,1,2,5,19,35,54.3,157,1,24,85,3.5,1,1,2,3,2
Ohio St.,36,2002-08-24,1,,Texas Tech,49,W,45,21,24,13,17,76.5,160,0,0,57,317,5.6,6,0,0,6,26,44,59.1,341,3,20,31,1.6,0,0,1,1,3
Texas Tech,49,2002-08-24,1,@,Ohio St.,36,L,21,45,-24,26,44,59.1,341,3,1,20,31,1.6,0,0,1,3,13,17,76.5,160,0,57,317,5.6,6,0,0,0,6
Arkansas St.,122,2002-08-25,1,@,Virginia Tech,25,L,7,63,-56,14,27,51.9,203,1,1,33,24,0.7,0,4,5,1,11,18,61.1,99,2,41,288,7.0,4,1,0,1,9
Virginia Tech,25,2002-08-25,1,,Arkansas St.,122,W,63,7,56,11,18,61.1,99,2,0,41,288,7.0,4,1,1,9,14,27,51.9,203,1,33,24,0.7,0,4,1,5,1
Bowling Green,73,2002-08-29,1,,Tennessee Tech,208,W,41,7,34,20,32,62.5,184,3,0,34,144,4.2,2,0,0,5,24,35,68.6,294,1,25,38,1.5,0,2,1,3,1
