School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
Arizona St.,96,2005-09-01,1,,Temple,10,W,19,31,61.3,259,5,44,300,6.8,4,75,559,7.5,9,63,47
Buffalo,74,2005-09-01,1,@,Connecticut,3,L,10,21,47.6,60,0,28,65,2.3,0,49,125,2.6,0,0,-38
Cincinnati,2,2005-09-01,1,,Eastern Michigan,76,W,17,26,65.4,176,2,55,293,5.3,2,81,469,5.8,4,28,2
Connecticut,3,2005-09-01,1,,Buffalo,74,W,14,21,66.7,132,3,55,290,5.3,2,76,422,5.6,5,38,38
Eastern Michigan,76,2005-09-01,1,@,Cincinnati,2,L,22,33,66.7,167,1,31,149,4.8,2,64,316,4.9,3,26,-2
Houston,5,2005-09-01,1,,Oregon,99,L,24,43,55.8,312,2,26,100,3.8,1,69,412,6.0,3,24,-14
Idaho,133,2005-09-01,1,@,Washington St.,106,L,19,32,59.4,180,2,41,86,2.1,1,73,266,3.6,3,26,-12
UL Monroe,130,2005-09-01,1,,Northwestern State,243,L,25,41,61.0,283,1,36,128,3.6,1,77,411,5.3,3,23,-4
Marshall,55,2005-09-01,1,,William & Mary,163,W,26,40,65.0,313,3,31,67,2.2,1,71,380,5.4,5,36,12
Minnesota,33,2005-09-01,1,@,Tulsa,12,W,14,25,56.0,235,1,44,301,6.8,4,69,536,7.8,5,41,31
Oregon,99,2005-09-01,1,@,Houston,5,W,30,49,61.2,348,2,36,206,5.7,1,85,554,6.5,3,38,14
South Carolina,117,2005-09-01,1,,Central Florida,1,W,18,23,78.3,330,3,28,32,1.1,0,51,362,7.1,3,24,9
Temple,10,2005-09-01,1,@,Arizona St.,96,L,18,37,48.6,203,1,35,62,1.8,1,72,265,3.7,2,16,-47
Toledo,81,2005-09-01,1,,Western Illinois,190,W,16,26,61.5,191,2,37,210,5.7,3,63,401,6.4,8,62,48
Tulsa,12,2005-09-01,1,,Minnesota,33,L,27,41,65.9,218,1,35,135,3.9,0,76,353,4.6,1,10,-31
Central Florida,1,2005-09-01,1,@,South Carolina,117,L,27,39,69.2,258,1,41,83,2.0,0,80,341,4.3,1,15,-9
Vanderbilt,120,2005-09-01,1,@,Wake Forest,26,W,25,36,69.4,276,1,30,146,4.9,2,66,422,6.4,3,24,4
Wake Forest,26,2005-09-01,1,,Vanderbilt,120,L,15,26,57.7,198,0,51,274,5.4,2,77,472,6.1,2,20,-4
Washington St.,106,2005-09-01,1,,Idaho,133,W,17,29,58.6,230,3,35,206,5.9,2,64,436,6.8,5,38,12
Arizona,95,2005-09-02,1,@,Utah,104,L,24,42,57.1,287,2,33,104,3.2,1,75,391,5.2,3,24,-3
Central Michigan,75,2005-09-02,1,,Indiana,28,L,18,36,50.0,216,0,32,167,5.2,1,68,383,5.6,1,13,-7
Indiana,28,2005-09-02,1,@,Central Michigan,75,W,17,35,48.6,276,3,45,109,2.4,0,80,385,4.8,3,20,7
Utah,104,2005-09-02,1,,Arizona,95,W,19,31,61.3,220,1,38,226,5.9,1,69,446,6.5,3,27,3
Air Force,83,2005-09-03,1,@,Washington,105,W,13,22,59.1,207,1,52,218,4.2,1,74,425,5.7,2,20,3
Alabama,107,2005-09-03,1,,Middle Tennessee,56,W,17,25,68.0,212,1,37,133,3.6,2,62,345,5.6,3,26,19
Arkansas,108,2005-09-03,1,,Missouri State,184,W,13,25,52.0,108,1,51,483,9.5,5,76,591,7.8,7,49,32
Arkansas St.,122,2005-09-03,1,@,Missouri,115,L,19,38,50.0,206,1,29,117,4.0,1,67,323,4.8,2,17,-27
Auburn,109,2005-09-03,1,,Georgia Tech,17,L,22,44,50.0,342,2,23,50,2.2,0,67,392,5.9,2,14,-9
Ball St.,72,2005-09-03,1,@,Iowa,29,L,11,23,47.8,93,0,34,51,1.5,0,57,144,2.5,0,0,-56
Baylor,41,2005-09-03,1,@,SMU,8,W,23,40,57.5,198,0,45,215,4.8,3,85,413,4.9,3,28,5
Boise St.,84,2005-09-03,1,@,Georgia,111,L,13,25,52.0,123,0,35,169,4.8,2,60,292,4.9,2,13,-35
Boston College,13,2005-09-03,1,@,BYU,66,W,27,35,77.1,232,2,31,133,4.3,0,66,365,5.5,2,20,17
Bowling Green,73,2005-09-03,1,@,Wisconsin,40,L,30,52,57.7,458,5,29,73,2.5,1,81,531,6.6,6,42,-14
BYU,66,2005-09-03,1,,Boston College,13,L,41,60,68.3,330,0,16,8,0.5,0,76,338,4.4,0,3,-17
California,97,2005-09-03,1,,Sacramento State,140,W,10,28,35.7,183,2,41,212,5.2,2,69,395,5.7,5,41,38
Clemson,14,2005-09-03,1,,Texas A&M,119,W,16,24,66.7,213,0,51,183,3.6,0,75,396,5.3,1,25,1
Colorado,98,2005-09-03,1,,Colorado St.,85,W,22,33,66.7,283,0,29,113,3.9,3,62,396,6.4,3,31,3
Colorado St.,85,2005-09-03,1,@,Colorado,98,L,28,43,65.1,291,3,34,95,2.8,1,77,386,5.0,4,28,-3
Duke,15,2005-09-03,1,@,East Carolina,4,L,15,30,50.0,139,0,43,162,3.8,2,73,301,4.1,3,21,-3
East Carolina,4,2005-09-03,1,,Duke,15,W,17,21,81.0,235,1,36,103,2.9,2,57,338,5.9,3,24,3
Florida,110,2005-09-03,1,,Wyoming,94,W,26,34,76.5,320,3,36,91,2.5,1,70,411,5.9,4,32,18
Florida Atlantic,52,2005-09-03,1,@,Kansas,43,L,20,28,71.4,299,3,37,70,1.9,0,65,369,5.7,3,19,-11
Florida Intl,53,2005-09-03,1,@,Kansas St.,44,L,17,34,50.0,154,1,26,82,3.2,1,60,236,3.9,3,21,-14
Georgia,111,2005-09-03,1,,Boise St.,84,W,22,33,66.7,394,5,33,180,5.5,1,66,574,8.7,6,48,35
Georgia Tech,17,2005-09-03,1,@,Auburn,109,W,17,36,47.2,174,1,39,139,3.6,1,75,313,4.2,2,23,9
Hawaii,87,2005-09-03,1,,USC,103,L,33,49,67.3,377,2,21,60,2.9,0,70,437,6.2,2,17,-46
Illinois,27,2005-09-03,1,,Rutgers,39,W,24,34,70.6,233,3,48,204,4.3,1,82,437,5.3,4,33,3
Iowa,29,2005-09-03,1,,Ball St.,72,W,19,20,95.0,200,2,47,241,5.1,5,67,441,6.6,8,56,56
Iowa St.,42,2005-09-03,1,,Illinois State,182,W,30,41,73.2,314,1,41,92,2.2,3,82,406,5.0,4,32,11
Kansas,43,2005-09-03,1,,Florida Atlantic,52,W,16,35,45.7,177,1,37,201,5.4,2,72,378,5.3,3,30,11
Kansas St.,44,2005-09-03,1,,Florida Intl,53,W,19,31,61.3,161,2,42,246,5.9,2,73,407,5.6,4,35,14
Kent State,77,2005-09-03,1,@,Michigan St.,32,L,32,55,58.2,301,2,15,14,0.9,0,70,315,4.5,2,14,-35
Louisiana,126,2005-09-03,1,@,Texas,48,L,16,33,48.5,166,0,34,72,2.1,0,67,238,3.6,0,3,-57
Maryland,30,2005-09-03,1,N,Navy,7,W,19,30,63.3,217,1,40,210,5.3,1,70,427,6.1,2,23,3
Miami (OH),78,2005-09-03,1,@,Ohio St.,36,L,24,44,54.5,250,1,30,48,1.6,1,74,298,4.0,2,14,-20
Michigan,31,2005-09-03,1,,Northern Illinois,79,W,21,33,63.6,239,2,48,208,4.3,2,81,447,5.5,4,33,16
Michigan St.,32,2005-09-03,1,,Kent State,77,W,27,35,77.1,331,2,55,354,6.4,5,90,685,7.6,7,49,35
Middle Tennessee,56,2005-09-03,1,@,Alabama,107,L,13,20,65.0,123,1,25,34,1.4,0,45,157,3.5,1,7,-19
Mississippi St.,114,2005-09-03,1,,Murray State,205,W,17,27,63.0,233,4,44,249,5.7,1,71,482,6.8,5,38,32
Missouri,115,2005-09-03,1,,Arkansas St.,122,W,33,48,68.8,340,4,41,317,7.7,2,89,657,7.4,6,44,27
Navy,7,2005-09-03,1,N,Maryland,30,L,5,12,41.7,97,0,49,246,5.0,3,61,343,5.6,3,20,-3
Nebraska,34,2005-09-03,1,,Maine,156,W,15,36,41.7,192,0,42,121,2.9,1,78,313,4.0,2,25,18
New Mexico State,69,2005-09-03,1,,UTEP,62,L,38,62,61.3,347,2,24,-17,-0.7,0,86,330,3.8,2,17,-17
