School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Arizona,95,2019-08-24,1,@,Hawaii,87,L,38,45,-7,22,39,56.4,361,3,2,32,178,5.6,2,3,1.0,0,2,5,34,48,70.8,436,5,30,159,5.3,1,2,4,6,6
Florida,110,2019-08-24,1,N,Miami (FL),19,W,24,20,4,17,27,63.0,254,2,2,27,52,1.9,1,16,10.0,2,4,3,19,30,63.3,214,1,36,94,2.6,1,1,0,1,2
Hawaii,87,2019-08-24,1,,Arizona,95,W,45,38,7,34,48,70.8,436,5,4,30,159,5.3,1,6,2.0,2,6,6,22,39,56.4,361,3,32,178,5.6,2,0,2,2,5
Miami (FL),19,2019-08-24,1,N,Florida,110,L,20,24,-4,19,30,63.3,214,1,0,36,94,2.6,1,6,1.0,1,1,2,17,27,63.0,254,2,27,52,1.9,1,2,2,4,3
Arizona St.,96,2019-08-29,1,,Kent State,77,W,30,7,23,15,24,62.5,284,2,0,46,171,3.7,1,7,3.0,1,1,3,12,24,50.0,80,1,40,120,3.0,0,2,0,2,1
Bowling Green,73,2019-08-29,1,,Morgan State,177,W,46,3,43,25,38,65.8,294,4,1,60,333,5.6,2,5,4.0,0,1,6,3,9,33.3,24,0,31,46,1.5,0,1,0,1,0
BYU,66,2019-08-29,1,,Utah,104,L,12,30,-18,21,33,63.6,208,0,2,22,92,4.2,1,3,,1,3,1,13,16,81.3,106,0,48,262,5.5,2,0,0,0,4
Buffalo,74,2019-08-29,1,,Robert Morris (PA),197,W,38,10,28,5,10,50.0,69,2,0,47,285,6.1,3,7,2.0,1,1,5,7,9,77.8,92,0,45,148,3.3,1,1,0,1,1
Central Michigan,75,2019-08-29,1,,Albany,152,W,38,21,17,27,37,73.0,285,3,0,47,244,5.2,2,6,,3,3,5,15,29,51.7,199,2,22,45,2.0,0,1,0,1,3
Charlotte,51,2019-08-29,1,,Gardner-Webb,146,W,49,28,21,18,28,64.3,186,2,3,46,322,7.0,4,5,5.0,0,3,7,6,17,35.3,60,0,35,159,4.5,3,1,0,1,4
Cincinnati,2,2019-08-29,1,,UCLA,102,W,24,14,10,18,26,69.2,242,2,1,49,175,3.6,1,6,1.0,1,2,3,8,26,30.8,156,2,36,62,1.7,0,2,2,4,2
Clemson,14,2019-08-29,1,,Georgia Tech,17,W,52,14,38,18,30,60.0,221,2,2,49,411,8.4,5,8,3.0,1,3,7,7,18,38.9,137,1,45,157,3.5,1,2,2,4,2
Connecticut,3,2019-08-29,1,,Wagner,200,W,24,21,3,14,21,66.7,158,0,1,60,234,3.9,3,6,3.0,1,2,3,12,23,52.2,82,0,21,103,4.9,2,0,0,0,3
Florida Intl,53,2019-08-29,1,@,Tulane,11,L,14,42,-28,19,34,55.9,208,1,1,26,59,2.3,1,4,1.0,1,2,2,15,19,78.9,195,2,49,350,7.1,4,1,0,1,6
Georgia Tech,17,2019-08-29,1,@,Clemson,14,L,14,52,-38,7,18,38.9,137,1,2,45,157,3.5,1,6,,2,4,2,18,30,60.0,221,2,49,411,8.4,5,1,2,3,7
Kent State,77,2019-08-29,1,@,Arizona St.,96,L,7,30,-23,12,24,50.0,80,1,0,40,120,3.0,0,7,5.0,2,2,1,15,24,62.5,284,2,46,171,3.7,1,1,0,1,3
Minnesota,33,2019-08-29,1,,South Dakota State,188,W,28,21,7,13,18,72.2,176,1,1,42,132,3.1,2,2,1.0,0,1,4,13,26,50.0,193,1,34,174,5.1,2,1,1,2,3
