School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Louisville,2001-08-23,1,,New Mexico State,W,18,32,56.3,272,3,30,101,3.4,1,1,1,2
New Mexico State,2001-08-23,1,@,Louisville,L,8,16,50.0,137,1,68,407,6.0,2,4,0,4
Brigham Young,2001-08-25,1,,Tulane,W,27,33,81.8,297,3,49,437,8.9,7,1,0,1
Nebraska,2001-08-25,1,,Texas Christian,W,10,18,55.6,151,0,50,159,3.2,3,1,1,2
North Carolina,2001-08-25,1,@,Oklahoma,L,17,41,41.5,226,2,35,64,1.8,0,4,1,5
Oklahoma,2001-08-25,1,,North Carolina,W,21,31,67.7,178,0,33,108,3.3,2,0,1,1
Texas Christian,2001-08-25,1,@,Nebraska,L,11,22,50.0,130,1,28,56,2.0,0,1,0,1
Tulane,2001-08-25,1,@,Brigham Young,L,23,49,46.9,289,3,43,219,5.1,2,0,1,1
Virginia,2001-08-25,1,@,Wisconsin,L,13,32,40.6,178,2,33,128,3.9,0,1,2,3
Wisconsin,2001-08-25,1,,Virginia,W,10,24,41.7,191,2,51,228,4.5,1,0,1,1
Colorado,2001-08-26,1,,Fresno State,L,31,51,60.8,346,2,31,66,2.1,0,3,2,5
Fresno State,2001-08-26,1,@,Colorado,W,21,36,58.3,198,1,35,89,2.5,2,0,0,0
Georgia Tech,2001-08-26,1,N,Syracuse,W,15,26,57.7,224,0,46,125,2.7,1,0,0,0
Syracuse,2001-08-26,1,N,Georgia Tech,L,19,32,59.4,183,0,26,59,2.3,1,0,1,1
Akron,2001-08-30,1,,Ohio,W,19,24,79.2,217,0,46,290,6.3,4,2,0,2
Arizona,2001-08-30,1,@,San Diego State,W,21,32,65.6,176,1,37,55,1.5,1,0,1,1
Arkansas,2001-08-30,1,,Nevada-Las Vegas,W,12,32,37.5,89,0,26,25,1.0,1,3,1,4
Buffalo,2001-08-30,1,,Rutgers,L,21,40,52.5,180,1,25,55,2.2,0,0,2,2
Central Michigan,2001-08-30,1,,Eastern Kentucky,W,16,29,55.2,195,1,45,124,2.8,4,1,0,1
Idaho,2001-08-30,1,@,Washington State,L,14,30,46.7,72,1,24,74,3.1,0,0,0,0
Middle Tennessee State,2001-08-30,1,@,Vanderbilt,W,27,36,75.0,308,0,52,300,5.8,5,1,0,1
Minnesota,2001-08-30,1,@,Toledo,L,22,35,62.9,187,0,30,103,3.4,1,1,0,1
Navy,2001-08-30,1,@,Temple,L,15,30,50.0,210,2,31,49,1.6,1,0,1,1
Northern Illinois,2001-08-30,1,,South Florida,W,20,36,55.6,144,1,47,200,4.3,1,1,0,1
Ohio,2001-08-30,1,@,Akron,L,9,11,81.8,104,0,60,339,5.7,3,0,0,0
Rutgers,2001-08-30,1,@,Buffalo,W,11,23,47.8,157,2,45,196,4.4,1,1,2,3
San Diego State,2001-08-30,1,,Arizona,L,18,38,47.4,160,0,29,41,1.4,1,3,0,3
South Florida,2001-08-30,1,@,Northern Illinois,L,17,32,53.1,223,2,30,51,1.7,0,1,0,1
Temple,2001-08-30,1,,Navy,W,15,22,68.2,175,3,54,285,5.3,2,1,1,2
Toledo,2001-08-30,1,,Minnesota,W,17,25,68.0,149,1,50,363,7.3,4,1,0,1
Tulsa,2001-08-30,1,,Indiana State,W,33,40,82.5,379,3,48,191,4.0,4,0,0,0
UAB,2001-08-30,1,,Montana State,W,10,24,41.7,161,2,51,267,5.2,3,0,2,2
UNLV,2001-08-30,1,@,Arkansas,L,4,16,25.0,40,1,54,258,4.8,0,1,3,4
Vanderbilt,2001-08-30,1,,Middle Tennessee State,L,13,32,40.6,300,2,28,177,6.3,2,0,0,0
Washington State,2001-08-30,1,,Idaho,W,19,32,59.4,303,3,49,241,4.9,1,1,0,1
Western Michigan,2001-08-30,1,,Illinois State,W,31,43,72.1,462,6,29,151,5.2,1,2,0,2
Air Force,2001-09-01,1,,Oklahoma,L,11,28,39.3,112,0,53,137,2.6,0,2,2,4
Alabama,2001-09-01,1,,UCLA,L,15,25,60.0,299,2,46,159,3.5,0,1,1,2
Arkansas State,2001-09-01,1,@,Georgia,L,17,32,53.1,180,1,41,143,3.5,1,0,1,1
Auburn,2001-09-01,1,,Ball State,W,19,33,57.6,243,1,37,142,3.8,2,0,0,0
Ball State,2001-09-01,1,@,Auburn,L,5,17,29.4,32,0,34,60,1.8,0,1,0,1
Boise State,2001-09-01,1,@,South Carolina,L,18,32,56.3,162,1,26,91,3.5,1,0,1,1
Boston College,2001-09-01,1,,West Virginia,W,11,26,42.3,146,1,50,325,6.5,3,1,1,2
Bowling Green State,2001-09-01,1,@,Missouri,W,15,24,62.5,148,1,45,194,4.3,2,0,1,1
Brigham Young,2001-09-01,2,,Nevada,W,25,40,62.5,389,2,38,209,5.5,5,0,0,0
California,2001-09-01,1,,Illinois,L,21,34,61.8,217,0,41,164,4.0,2,3,2,5
Clemson,2001-09-01,1,,Central Florida,W,15,25,60.0,154,1,42,138,3.3,2,2,0,2
Colorado,2001-09-01,2,N,Colorado State,W,15,19,78.9,95,0,54,315,5.8,3,1,0,1
Colorado State,2001-09-01,1,N,Colorado,L,18,40,45.0,186,2,29,108,3.7,0,0,4,4
Connecticut,2001-09-01,1,@,Virginia Tech,L,10,29,34.5,110,0,27,74,2.7,1,0,1,1
Duke,2001-09-01,1,,Florida State,L,13,30,43.3,194,1,36,32,0.9,0,1,0,1
East Carolina,2001-09-01,1,,Wake Forest,L,18,35,51.4,231,1,25,63,2.5,2,1,2,3
Eastern Michigan,2001-09-01,1,,Southeast Missouri State,W,16,38,42.1,191,0,37,159,4.3,1,1,1,2
Florida,2001-09-01,1,,Marshall,W,25,38,65.8,430,4,28,111,4.0,3,0,1,1
Florida State,2001-09-01,1,@,Duke,W,16,30,53.3,189,2,38,200,5.3,3,0,0,0
Georgia,2001-09-01,1,,Arkansas State,W,26,38,68.4,386,3,39,212,5.4,3,1,0,1
Georgia Tech,2001-09-01,2,,Citadel,W,22,34,64.7,351,2,36,122,3.4,3,0,2,2
Houston,2001-09-01,1,,Rice,L,22,47,46.8,192,2,21,7,0.3,0,0,1,1
