School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
California,2016-08-26,1,N,Hawaii,W,38,54,70.4,441,4,35,189,5.4,2,3,1,0,0,0
Hawaii,2016-08-26,1,N,California,L,17,34,50.0,234,1,38,248,6.5,3,4,2,2,1,3
Appalachian State,2016-09-01,1,@,Tennessee,L,15,23,65.2,108,1,43,184,4.3,1,5,2,0,1,1
Central Michigan,2016-09-01,1,,Presbyterian,W,16,27,59.3,237,1,38,255,6.7,5,10,2,0,2,2
Charlotte,2016-09-01,1,@,Louisville,L,18,32,56.3,160,1,31,48,1.5,0,1,,1,0,1
Cincinnati,2016-09-01,1,,Tennessee-Martin,W,21,34,61.8,260,2,34,140,4.1,1,8,3,2,1,3
Connecticut,2016-09-01,1,,Maine,W,16,23,69.6,162,0,50,200,4.0,3,4,,1,0,1
Florida International,2016-09-01,1,,Indiana,L,24,47,51.1,268,0,21,63,3.0,1,4,2,0,3,3
Idaho,2016-09-01,1,,Montana State,W,8,22,36.4,128,0,35,225,6.4,2,5,1,1,1,2
Indiana,2016-09-01,1,@,Florida International,W,18,28,64.3,240,1,52,246,4.7,1,2,1,1,0,1
Louisville,2016-09-01,1,,Charlotte,W,26,35,74.3,391,8,35,272,7.8,2,7,4,2,1,3
Minnesota,2016-09-01,1,,Oregon State,W,13,27,48.1,130,0,47,150,3.2,4,9,4,1,0,1
New Mexico,2016-09-01,1,,South Dakota,W,13,19,68.4,187,2,49,428,8.7,3,5,3,1,0,1
North Carolina State,2016-09-01,1,,William & Mary,W,23,30,76.7,262,2,57,259,4.5,5,6,1,0,1,1
Oregon State,2016-09-01,1,@,Minnesota,L,25,40,62.5,228,3,34,89,2.6,0,2,,2,0,2
Rice,2016-09-01,1,@,Western Kentucky,L,23,38,60.5,186,0,33,105,3.2,2,3,,0,2,2
South Carolina,2016-09-01,1,@,Vanderbilt,W,16,30,53.3,187,0,32,121,3.8,1,3,1,2,0,2
Tennessee,2016-09-01,1,,Appalachian State,W,16,29,55.2,192,1,43,127,3.0,1,6,,1,1,2
Tulane,2016-09-01,1,@,Wake Forest,L,12,23,52.2,134,0,47,146,3.1,0,5,1,1,0,1
UNLV,2016-09-01,1,,Jackson State,W,11,13,84.6,223,3,44,280,6.4,4,5,1,1,0,1
Utah,2016-09-01,1,,Southern Utah,W,23,39,59.0,298,2,37,138,3.7,1,9,3,1,0,1
Utah State,2016-09-01,1,,Weber State,W,11,17,64.7,100,0,44,428,9.7,6,8,2,0,0,0
Vanderbilt,2016-09-01,1,,South Carolina,L,8,23,34.8,73,0,42,169,4.0,1,6,,0,0,0
