School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Ball State,2007-08-30,1,,Miami (OH),L,2,14
Boise State,2007-08-30,1,,Weber State,W,1,7
Buffalo,2007-08-30,1,@,Rutgers,L,5,38
Cincinnati,2007-08-30,1,,Southeast Missouri State,W,0,3
Iowa State,2007-08-30,1,,Kent State,L,3,23
Kent State,2007-08-30,1,@,Iowa State,W,2,14
Louisiana-Monroe,2007-08-30,1,,Tulsa,L,5,35
Louisville,2007-08-30,1,,Murray State,W,1,10
LSU,2007-08-30,1,@,Mississippi State,W,0,0
Miami (OH),2007-08-30,1,@,Ball State,W,1,13
Mississippi State,2007-08-30,1,,Louisiana State,L,6,45
New Mexico State,2007-08-30,1,,Southeastern Louisiana,W,2,14
Oregon State,2007-08-30,1,,Utah,W,1,7
Rutgers,2007-08-30,1,,Buffalo,W,0,3
Tulsa,2007-08-30,1,@,Louisiana-Monroe,W,2,17
UNLV,2007-08-30,1,@,Utah State,W,2,16
Utah,2007-08-30,1,@,Oregon State,L,3,24
Utah State,2007-08-30,1,,Nevada-Las Vegas,L,2,23
Navy,2007-08-31,1,@,Temple,W,2,19
Syracuse,2007-08-31,1,,Washington,L,6,42
Temple,2007-08-31,1,,Navy,L,3,30
Washington,2007-08-31,1,@,Syracuse,W,1,12
Air Force,2007-09-01,1,,South Carolina State,W,0,3
Akron,2007-09-01,1,,Army,W,2,14
Alabama,2007-09-01,1,,Western Carolina,W,0,6
Arizona,2007-09-01,1,@,Brigham Young,L,3,20
Arizona State,2007-09-01,1,,San Jose State,W,0,3
Arkansas,2007-09-01,1,,Troy,W,3,26
Arkansas State,2007-09-01,1,@,Texas,L,3,21
Army,2007-09-01,1,@,Akron,L,2,22
Auburn,2007-09-01,1,,Kansas State,W,1,13
Baylor,2007-09-01,1,@,Texas Christian,L,3,27
Boston College,2007-09-01,1,,Wake Forest,W,4,28
Bowling Green State,2007-09-01,1,@,Minnesota,W,4,31
Brigham Young,2007-09-01,1,,Arizona,W,1,7
California,2007-09-01,1,,Tennessee,W,4,31
Central Michigan,2007-09-01,1,@,Kansas,L,7,52
Colorado,2007-09-01,1,N,Colorado State,W,4,28
Colorado State,2007-09-01,1,N,Colorado,L,3,31
Connecticut,2007-09-01,1,@,Duke,W,2,14
Duke,2007-09-01,1,,Connecticut,L,5,45
East Carolina,2007-09-01,1,@,Virginia Tech,L,2,17
Eastern Michigan,2007-09-01,1,@,Pittsburgh,L,3,27
Florida,2007-09-01,1,,Western Kentucky,W,0,3
Florida Atlantic,2007-09-01,1,,Middle Tennessee State,W,2,14
Florida International,2007-09-01,1,@,Penn State,L,8,59
Fresno State,2007-09-01,1,,Sacramento State,W,0,3
Georgia,2007-09-01,1,,Oklahoma State,W,2,14
Georgia Tech,2007-09-01,1,@,Notre Dame,W,0,3
Hawaii,2007-09-01,1,,Northern Colorado,W,1,6
Houston,2007-09-01,1,@,Oregon,L,6,48
Idaho,2007-09-01,1,@,Southern California,L,5,38
Illinois,2007-09-01,1,N,Missouri,L,5,40
Indiana,2007-09-01,1,,Indiana State,W,1,7
Iowa,2007-09-01,1,@,Northern Illinois,W,0,3
Kansas,2007-09-01,1,,Central Michigan,W,1,7
Kansas State,2007-09-01,1,@,Auburn,L,2,23
Kentucky,2007-09-01,1,,Eastern Kentucky,W,1,10
Louisiana,2007-09-01,1,@,South Carolina,L,4,28
Louisiana Tech,2007-09-01,1,,Central Arkansas,W,1,7
Marshall,2007-09-01,1,@,Miami (FL),L,4,31
Maryland,2007-09-01,1,,Villanova,W,2,14
Memphis,2007-09-01,1,,Mississippi,L,3,23
Miami (FL),2007-09-01,1,,Marshall,W,0,3
Michigan,2007-09-01,1,,Appalachian State,L,4,34
Michigan State,2007-09-01,1,,Alabama-Birmingham,W,1,18
Middle Tennessee State,2007-09-01,1,@,Florida Atlantic,L,3,27
Minnesota,2007-09-01,1,,Bowling Green State,L,4,32
Missouri,2007-09-01,1,N,Illinois,W,5,34
Nebraska,2007-09-01,1,,Nevada,W,1,10
Nevada,2007-09-01,1,@,Nebraska,L,7,52
New Mexico,2007-09-01,1,@,Texas-El Paso,L,1,10
North Carolina,2007-09-01,1,,James Madison,W,2,14
North Carolina State,2007-09-01,1,,Central Florida,L,2,25
North Texas,2007-09-01,1,@,Oklahoma,L,11,79
Northern Illinois,2007-09-01,1,,Iowa,L,2,16
Northwestern,2007-09-01,1,,Northeastern,W,0,0
Notre Dame,2007-09-01,1,,Georgia Tech,L,3,33
Ohio,2007-09-01,1,,Gardner-Webb,W,2,14
Ohio State,2007-09-01,1,,Youngstown State,W,0,6
Oklahoma,2007-09-01,1,,North Texas,W,1,10
Oklahoma State,2007-09-01,1,@,Georgia,L,5,35
Ole Miss,2007-09-01,1,@,Memphis,W,3,21
Oregon,2007-09-01,1,,Houston,W,3,27
Penn State,2007-09-01,1,,Florida International,W,0,0
Pitt,2007-09-01,1,,Eastern Michigan,W,0,3
Purdue,2007-09-01,1,@,Toledo,W,3,24
Rice,2007-09-01,1,,Nicholls State,L,2,16
San Jose State,2007-09-01,1,@,Arizona State,L,6,45
South Carolina,2007-09-01,1,,Louisiana,W,2,14
South Florida,2007-09-01,1,,Elon,W,1,13
Southern Mississippi,2007-09-01,1,,Tennessee-Martin,W,1,13
Stanford,2007-09-01,1,,UCLA,L,6,45
Tennessee,2007-09-01,1,@,California,L,6,45
Texas,2007-09-01,1,,Arkansas State,W,1,13
Texas A&M,2007-09-01,1,,Montana State,W,1,7
Texas Christian,2007-09-01,1,,Baylor,W,0,0
Toledo,2007-09-01,1,,Purdue,L,7,52
Troy,2007-09-01,1,@,Arkansas,L,5,46
UAB,2007-09-01,1,@,Michigan State,L,7,55
UCF,2007-09-01,1,@,North Carolina State,W,3,23
UCLA,2007-09-01,1,@,Stanford,W,2,17
USC,2007-09-01,1,,Idaho,W,1,10
UTEP,2007-09-01,1,,New Mexico,W,0,6
Vanderbilt,2007-09-01,1,,Richmond,W,2,17
Virginia,2007-09-01,1,@,Wyoming,L,2,23
Virginia Tech,2007-09-01,1,,East Carolina,W,1,7
Wake Forest,2007-09-01,1,@,Boston College,L,5,38
Washington State,2007-09-01,1,@,Wisconsin,L,6,42
West Virginia,2007-09-01,1,,Western Michigan,W,3,24
Western Kentucky,2007-09-01,1,@,Florida,L,7,49
Western Michigan,2007-09-01,1,@,West Virginia,L,9,62
Wisconsin,2007-09-01,1,,Washington State,W,3,21
Wyoming,2007-09-01,1,,Virginia,W,0,3
Clemson,2007-09-03,1,,Florida State,W,2,18
Florida State,2007-09-03,1,@,Clemson,L,3,24
SMU,2007-09-03,1,,Texas Tech,L,7,49
Texas Tech,2007-09-03,1,@,Southern Methodist,W,0,9
Cincinnati,2007-09-06,2,,Oregon State,W,0,3
Louisville,2007-09-06,2,,Middle Tennessee State,W,6,42
Middle Tennessee State,2007-09-06,2,@,Louisville,L,7,58
Oregon State,2007-09-06,2,@,Cincinnati,L,4,34
Navy,2007-09-07,2,@,Rutgers,L,5,41
Rutgers,2007-09-07,2,,Navy,W,3,24
Air Force,2007-09-08,2,@,Utah,W,1,12
Akron,2007-09-08,2,@,Ohio State,L,2,20
Alabama,2007-09-08,2,@,Vanderbilt,W,1,10
Arizona,2007-09-08,2,,Northern Arizona,W,3,24
Arizona State,2007-09-08,2,,Colorado,W,2,14
Army,2007-09-08,2,,Rhode Island,W,1,7
Auburn,2007-09-08,2,,South Florida,L,3,26
