School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
California,2016-08-26,1,N,Hawaii,W,6,51,20,17,34,50.0,234,1,38,248,6.5,3,2,1,3
Hawaii,2016-08-26,1,N,California,L,4,31,-20,38,54,70.4,441,4,35,189,5.4,2,0,0,0
Appalachian State,2016-09-01,1,@,Tennessee,L,2,13,-7,16,29,55.2,192,1,43,127,3.0,1,1,1,2
Central Michigan,2016-09-01,1,,Presbyterian,W,7,49,46,10,22,45.5,82,0,33,44,1.3,0,1,2,3
Charlotte,2016-09-01,1,@,Louisville,L,2,14,-56,26,35,74.3,391,8,35,272,7.8,2,2,1,3
Cincinnati,2016-09-01,1,,Tennessee-Martin,W,4,28,21,12,26,46.2,146,1,49,177,3.6,0,1,2,3
Connecticut,2016-09-01,1,,Maine,W,3,24,3,19,33,57.6,269,2,19,40,2.1,0,0,0,0
Florida International,2016-09-01,1,,Indiana,L,1,13,-21,18,28,64.3,240,1,52,246,4.7,1,1,0,1
Idaho,2016-09-01,1,,Montana State,W,2,20,3,20,36,55.6,190,1,38,110,2.9,1,0,1,1
Indiana,2016-09-01,1,@,Florida International,W,4,34,21,24,47,51.1,268,0,21,63,3.0,1,0,3,3
Louisville,2016-09-01,1,,Charlotte,W,10,70,56,18,32,56.3,160,1,31,48,1.5,0,1,0,1
Minnesota,2016-09-01,1,,Oregon State,W,4,30,7,25,40,62.5,228,3,34,89,2.6,0,2,0,2
New Mexico,2016-09-01,1,,South Dakota,W,5,48,27,14,21,66.7,140,1,43,183,4.3,2,2,1,3
North Carolina State,2016-09-01,1,,William & Mary,W,7,48,34,10,19,52.6,106,1,28,62,2.2,1,0,2,2
Oregon State,2016-09-01,1,@,Minnesota,L,3,23,-7,13,27,48.1,130,0,47,150,3.2,4,1,0,1
Rice,2016-09-01,1,@,Western Kentucky,L,2,14,-32,26,35,74.3,552,3,30,97,3.2,2,0,0,0
South Carolina,2016-09-01,1,@,Vanderbilt,W,1,13,3,8,23,34.8,73,0,42,169,4.0,1,0,0,0
Tennessee,2016-09-01,1,,Appalachian State,W,3,20,7,15,23,65.2,108,1,43,184,4.3,1,0,1,1
Tulane,2016-09-01,1,@,Wake Forest,L,0,3,-4,12,21,57.1,96,0,34,79,2.3,1,0,0,0
UNLV,2016-09-01,1,,Jackson State,W,9,63,50,17,43,39.5,144,1,35,108,3.1,0,1,2,3
Utah,2016-09-01,1,,Southern Utah,W,3,24,24,6,18,33.3,42,0,32,116,3.6,0,1,1,2
Utah State,2016-09-01,1,,Weber State,W,6,45,39,15,27,55.6,137,0,41,108,2.6,1,0,1,1
