Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Rahim Abdullah,LB,23.174,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,0.0,3,1,4,0,,AbduRa20
Donnie Abraham,LCB,25.339,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,0.0,4,2,6,0,,AbraDo00
Sam Adams,LDT,26.091,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,0.0,3,0,3,0,,AdamSa00
Ray Agnew,LDT,31.277,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,0.0,1,0,1,0,,AgneRa20
Chidi Ahanotu,LDE,28.336,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,0.0,2,0,2,0,,AhanCh20
Allen Aldridge,SLB,27.105,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,1.0,4,0,4,2,,AldrAl21
Brent Alexander,SS,28.064,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,0.0,2,2,4,0,,AlexBr20
Derrick Alexander,LDE,25.303,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,1.0,1,2,3,1,,AlexDe20
Eric Allen,RCB,33.294,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,0.0,2,0,2,0,,AlleEr00
Taje Allen,RCB,25.310,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,0.5,6,1,7,0,,AlleTa20
Ashley Ambrose,LCB,28.360,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0.0,2,0,2,0,,AmbrAs00
Lester Archambeau,DE,32.077,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,4,0,4,1,,ArchLe20
Jessie Armstead,OLB,28.321,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,1.0,5,2,7,2,,ArmsJe00
Steve Atwater,RS,32.319,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,2,2,4,0,,AtwaSt00
Billy Austin,DB,24.188,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,1,0,1,0,,AustBi20
Raymond Austin,S,24.265,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,1,0,1,0,,AustRa20
Jerry Azumah,CB,22.011,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,1,0,1,0,,AzumJe00
Champ Bailey*,CB,21.082,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,0.0,6,0,6,1,,BailCh00
Robert Bailey,CB,31.009,1999-09-12,NFL,DET,@,SEA,W 28-20,1,1,Sun,0.0,2,0,2,0,,BailRo20
Tavian Banks,RB,25.207,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0.0,1,0,1,0,,BankTa00
Michael Bankston,DE,29.184,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,4,0,4,0,,BankMi21
Mike Barber,MLB,27.307,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,3,0,3,0,,BarbMi20
Ronde Barber,RCB,24.158,1999-09-12,NFL,TAM,,NYG,L 13-17,1,1,Sun,0.0,3,2,5,1,,BarbRo00
Shawn Barber,LB,24.241,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,0.0,6,0,6,1,,BarbSh20
Tom Barndt,RDT,27.182,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,0.0,1,0,1,0,,BarnTo20
Micheal Barrow,WLB,29.146,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,0.0,8,1,9,0,,BarrMi20
Anthony Bass,S,24.169,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,0.0,2,0,2,0,,BassAn20
Mario Bates,RB,26.239,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,0.0,1,0,1,0,,BateMa00
Aaron Beasley,RCB,26.067,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,0.0,4,1,5,0,,BeasAa20
Brett Bech,WR,28.023,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0.0,3,0,3,0,,BechBr00
Myron Bell,SS,27.362,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,1,1,2,0,,BellMy20
Shonn Bell,TE,24.322,1999-09-12,NFL,SFO,@,JAX,L 3-41,1,1,Sun,0.0,1,0,1,0,,BellSh20
Jay Bellamy,FS,27.066,1999-09-12,NFL,SEA,,DET,L 20-28,1,1,Sun,0.0,7,1,8,0,,BellJa22
Jason Belser,FS,29.107,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,3,2,5,1,,BelsJa20
Cornelius Bennett,LLB,34.018,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,2,1,3,1,,BennCo00
Tommy Bennett,SS,26.205,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,0.0,4,3,7,1,,BennTo20
Greg Biekert,MLB,30.182,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,0.0,6,2,8,0,,BiekGr20
