Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Ladell Betts,RB,24.008,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,18,77,4.28,0,BettLa00
Trung Canidate,RB,26.185,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,10,46,4.60,0,CaniTr00
Rock Cartwright,FB,23.275,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,1,4,4.00,0,CartRo01
LaMont Jordan,RB-K,24.297,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,6,0,0.00,1,JordLa00
Curtis Martin*,RB,30.126,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,15,48,3.20,0,MartCu00
Chad Morton,RB/K,26.153,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,3,6,2.00,0,MortCh00
Santana Moss,WR-K,24.095,2003-09-04,NFL,NYJ,@,WAS,L 13-16,1,1,Thu,1,9,9.00,0,MossSa00
Patrick Ramsey,QB,24.202,2003-09-04,NFL,WAS,,NYJ,W 16-13,1,1,Thu,2,27,13.50,0,RamsPa00
Shaun Alexander,RB,26.008,2003-09-07,NFL,SEA,,NOR,W 27-10,1,1,Sun,24,108,4.50,1,AlexSh00
Mike Anderson,RB,29.351,2003-09-07,NFL,DEN,@,CIN,W 30-10,1,1,Sun,7,15,2.14,0,AndeMi00
Richie Anderson,FB,31.359,2003-09-07,NFL,DAL,,ATL,L 13-27,1,1,Sun,4,8,2.00,0,AndeRi00
Tiki Barber,RB,28.153,2003-09-07,NFL,NYG,,STL,W 23-13,1,1,Sun,24,146,6.08,0,BarbTi00
Kevan Barlow,RB,24.243,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,15,62,4.13,0,BarlKe00
Fred Beasley,FB,28.354,2003-09-07,NFL,SFO,,CHI,W 49-7,1,1,Sun,2,0,0.00,0,BeasFr00
Brandon Bennett,HB-K,30.216,2003-09-07,NFL,CIN,,DEN,L 10-30,1,1,Sun,3,1,0.33,0,BennBr00
Jerome Bettis*,RB,31.203,2003-09-07,NFL,PIT,,BAL,W 34-15,1,1,Sun,4,14,3.50,0,BettJe00
