Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Ricardo Colclough,CB,22.346,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,1,3,3.00,0,ColcRi20
Santonio Holmes,WR,22.188,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,1,2,2.00,0,HolmSa00
Ike Taylor,LCB,26.125,2006-09-07,NFL,PIT,,MIA,W 28-17,1,1,Thu,1,0,0.00,0,TaylIk20
Wes Welker,WR,25.129,2006-09-07,NFL,MIA,@,PIT,L 17-28,1,1,Thu,3,79,26.33,0,WelkWe00
Arnaz Battle,WR,26.200,2006-09-10,NFL,SFO,@,ARI,L 27-34,1,1,Sun,3,71,23.67,0,BattAr00
Phillip Buchanon,CB,25.356,2006-09-10,NFL,HOU,,PHI,L 10-24,1,1,Sun,1,0,0.00,0,BuchPh20
Reggie Bush,RB,21.192,2006-09-10,NFL,NOR,@,CLE,W 19-14,1,1,Sun,3,22,7.33,0,BushRe00
Eddie Drummond,WR,26.151,2006-09-10,NFL,DET,,SEA,L 6-9,1,1,Sun,3,10,3.33,0,DrumEd00
Kevin Faulk,RB,30.097,2006-09-10,NFL,NWE,,BUF,W 19-17,1,1,Sun,1,14,14.00,0,FaulKe00
Chris Gamble,LCB,23.183,2006-09-10,NFL,CAR,,ATL,L 6-20,1,1,Sun,3,13,4.33,0,GambCh20
Dante Hall,WR,28.009,2006-09-10,NFL,KAN,,CIN,L 10-23,1,1,Sun,3,5,1.67,0,HallDa00
Devin Hester,CB,23.310,2006-09-10,NFL,CHI,@,GNB,W 26-0,1,1,Sun,5,104,20.80,1,HestDe99
Adam Jones,RCB,22.345,2006-09-10,NFL,TEN,,NYJ,L 16-23,1,1,Sun,3,23,7.67,0,JonePa20
Mark Jones,WR,25.311,2006-09-10,NFL,TAM,,BAL,L 0-27,1,1,Sun,5,47,9.40,0,JoneMa01
Shaun McDonald,WR,25.089,2006-09-10,NFL,STL,,DEN,W 18-10,1,1,Sun,1,0,0.00,0,McDoSh00
Chad Morton,RB,29.159,2006-09-10,NFL,NYG,,IND,L 21-26,1,1,Sun,2,12,6.00,0,MortCh00
Dennis Northcutt,WR,28.262,2006-09-10,NFL,CLE,,NOR,L 14-19,1,1,Sun,2,41,20.50,0,NortDe00
Evan Oglesby,CB,24.266,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,1,0,0.00,0,OgleEv20
Chad Owens,WR/KR,24.160,2006-09-10,NFL,JAX,,DAL,W 24-17,1,1,Sun,4,30,7.50,0,OwenCh00
Roscoe Parrish,WR,24.056,2006-09-10,NFL,BUF,@,NWE,L 17-19,1,1,Sun,1,0,0.00,0,ParrRo00
Keiwan Ratliff,CB,25.144,2006-09-10,NFL,CIN,@,KAN,W 23-10,1,1,Sun,1,2,2.00,0,RatlKe20
Jamaica Rector,WR,25.031,2006-09-10,NFL,DAL,@,JAX,L 17-24,1,1,Sun,4,22,5.50,0,RectJa00
Allen Rossum,CB,30.323,2006-09-10,NFL,ATL,@,CAR,W 20-6,1,1,Sun,3,29,9.67,0,RossAl99
B.J. Sams,DB,25.316,2006-09-10,NFL,BAL,@,TAM,W 27-0,1,1,Sun,4,57,14.25,0,SamsB.00
Leon Washington,RB-KR,24.012,2006-09-10,NFL,NYJ,@,TEN,W 23-16,1,1,Sun,2,11,5.50,0,WashLe00
Brian Westbrook,RB,27.008,2006-09-10,NFL,PHI,@,HOU,W 24-10,1,1,Sun,3,25,8.33,0,WestBr00
