Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Jason David,RCB,25.086,2007-09-06,NFL,NOR,@,IND,L 10-41,1,1,Thu,,1,1,,1,DaviJa20
Marlin Jackson,RCB,24.068,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,,1,0,,,JackMa22
Robert Mathis,LDE,26.192,2007-09-06,NFL,IND,,NOR,W 41-10,1,1,Thu,0,1,1,0,0,MathRo20
Will Allen,CB,29.035,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,,1,0,,,AlleWi20
Ronde Barber,LCB,32.155,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,,1,0,,,BarbRo00
Tyron Brackenridge,CB,23.071,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,,1,0,,,BracTy99
Kevin Carter,RDE,33.353,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,,1,0,,,CartKe00
Jacques Cesaire,DE,27.010,2007-09-09,NFL,SDG,,CHI,W 14-3,1,1,Sun,0,1,0,0,0,CesaJa20
Corey Chavous,SS,31.237,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,,1,0,,,ChavCo00
Brandon Chillar,SLB,24.323,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,,1,1,,,ChilBr20
Ryan Clark,FS,27.332,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,0,1,0,0,0,ClarRy20
Trent Cole,RDE,24.339,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,0,1,0,0,0,ColeTr20
Deke Cooper,FS,29.326,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,,1,0,,,CoopDe20
Stephen Cooper,ILB,28.082,2007-09-09,NFL,SDG,,CHI,W 14-3,1,1,Sun,,1,1,,,CoopSt20
