Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Rob Bironas,K,31.224,2009-09-10,NFL,TEN,@,PIT,L 10-13,1,1,Thu,1,1,100.0,1,3,33.3,,,0,4,bironrob01
Jeff Reed,K,30.154,2009-09-10,NFL,PIT,,TEN,W 13-10,1,1,Thu,1,1,100.0,2,2,100.0,,,0,7,reedxjef01
David Akers,K,34.278,2009-09-13,NFL,PHI,@,CAR,W 38-10,1,1,Sun,5,5,100.0,1,2,50.0,,,0,8,akersdav01
Kris Brown,K,32.264,2009-09-13,NFL,HOU,,NYJ,L 7-24,1,1,Sun,1,1,100.0,,,,,,0,1,brownkri01
John Carney,K,45.146,2009-09-13,NFL,NOR,,DET,W 45-27,1,1,Sun,6,6,100.0,1,2,50.0,,,0,9,carnejoh01
Dan Carpenter,K,23.292,2009-09-13,NFL,MIA,@,ATL,L 7-19,1,1,Sun,1,1,100.0,,,,,,0,1,CarpDa44
Mason Crosby,K,25.010,2009-09-13,NFL,GNB,,CHI,W 21-15,1,1,Sun,1,1,100.0,2,3,66.7,,,0,7,CrosMa20
Phil Dawson,K,34.233,2009-09-13,NFL,CLE,,MIN,L 20-34,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,dawsophi01
Jason Elam,K,39.189,2009-09-13,NFL,ATL,,MIA,W 19-7,1,1,Sun,1,2,50.0,2,4,50.0,,,0,7,elamxjas01
Jay Feely,K,33.113,2009-09-13,NFL,NYJ,@,HOU,W 24-7,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,feelyjay01
Nick Folk,K,24.312,2009-09-13,NFL,DAL,@,TAM,W 34-21,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,FolkNi20
Robbie Gould,K,26.281,2009-09-13,NFL,CHI,@,GNB,L 15-21,1,1,Sun,1,1,100.0,2,2,100.0,,,0,7,gouldrob01
Shayne Graham,K,31.278,2009-09-13,NFL,CIN,,DEN,L 7-12,1,1,Sun,1,1,100.0,,,,,,0,1,grahasha01
Jason Hanson,K,39.088,2009-09-13,NFL,DET,@,NOR,L 27-45,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,hansojas01
Stephen Hauschka,PK,24.076,2009-09-13,NFL,BAL,,KAN,W 38-24,1,1,Sun,5,5,100.0,1,2,50.0,,,0,8,HausSt00
John Kasay,K,39.321,2009-09-13,NFL,CAR,,PHI,L 10-38,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,kasayjoh01
Ryan Longwell,K,35.028,2009-09-13,NFL,MIN,@,CLE,W 34-20,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,longwrya01
Olindo Mare,K,36.099,2009-09-13,NFL,SEA,,STL,W 28-0,1,1,Sun,4,4,100.0,,,,,,0,4,marexoli01
Joe Nedney,K,36.175,2009-09-13,NFL,SFO,@,ARI,W 20-16,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,nednejoe01
Mike Nugent,K,27.195,2009-09-13,NFL,TAM,,DAL,L 21-34,1,1,Sun,3,3,100.0,,2,0.0,,,0,3,nugenmik01
Neil Rackers,K,33.028,2009-09-13,NFL,ARI,,SFO,L 16-20,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,rackenei01
Ryan Succop,K,22.359,2009-09-13,NFL,KAN,@,BAL,L 24-38,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,SuccRy44
Shaun Suisham,K,27.258,2009-09-13,NFL,WAS,@,NYG,L 17-23,1,1,Sun,2,2,100.0,1,1,100.0,,,0,5,suishsha01
