Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Asher Allen,RCB,22.230,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0,0,0,2,AlleAs99
Jabari Greer,LCB,28.210,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0,0,0,2,GreeJa22
Roman Harper,SS,27.272,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0,0,0,1,HarpRo21
Malcolm Jenkins,FS,22.263,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0,0,0,1,JenkMa99
Ben Leber,LB,31.276,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0,0,0,1,LebeBe20
Tracy Porter,RCB,24.029,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,0,0,0,1,PortTr99
Lito Sheppard,CB,29.154,2010-09-09,NFL,MIN,@,NOR,L 9-14,1,1,Thu,0,0,0,3,ShepLi99
Jonathan Vilma,MLB,28.146,2010-09-09,NFL,NOR,,MIN,W 14-9,1,1,Thu,1,5,0,1,VilmJo99
John Abraham,RDE,32.129,2010-09-12,NFL,ATL,@,PIT,L 9-15,1,1,Sun,0,0,0,1,AbraJo00
Mike Adams,S,29.172,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,1,26,0,3,AdamMi21
Jason Allen,RCB,27.069,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,0,0,0,1,AlleJa23
Nate Allen,DB,22.286,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,1,11,0,1,AlleNa99
James Anderson,SLB,26.351,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,1,1,0,1,AndeJa21
Jordan Babineaux,S,28.012,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,1,20,0,1,BabiJo21
Dave Ball,RDE,29.251,2010-09-12,NFL,TEN,,OAK,W 38-13,1,1,Sun,0,0,0,2,BallDa20
Ronde Barber,RCB,35.158,2010-09-12,NFL,TAM,,CLE,W 17-14,1,1,Sun,1,64,0,2,BarbRo00
Nick Barnett,LB,29.108,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,0,0,0,1,BarnNi20
Ron Bartell,LCB,28.202,2010-09-12,NFL,STL,,ARI,L 13-17,1,1,Sun,0,0,0,1,BartRo20
Jon Beason,WLB,25.241,2010-09-12,NFL,CAR,@,NYG,L 18-31,1,1,Sun,0,0,0,1,BeasJo99
Aaron Berry,CB,22.079,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,1,23,0,1,BerrAa00
Antoine Bethea,FS,26.047,2010-09-12,NFL,IND,@,HOU,L 24-34,1,1,Sun,0,0,0,1,BethAn20
E.J. Biggers,LCB,23.091,2010-09-12,NFL,TAM,,CLE,W 17-14,1,1,Sun,1,0,0,2,BiggE.99
