Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Javier Arenas,CB,25.315,2013-09-08,NFL,ARI,@,STL,L 24-27,1,1,Sun,2,32,16.00,0,ArenJa99
Tim Barnes,C,25.117,2013-09-08,NFL,STL,,ARI,W 27-24,1,1,Sun,1,0,0.00,0,BarnTi01
LeGarrette Blount,RB,26.277,2013-09-08,NFL,NWE,@,BUF,W 23-21,1,1,Sun,2,35,17.50,0,BlouLe00
Antonio Brown,WR,25.060,2013-09-08,NFL,PIT,,TEN,L 9-16,1,1,Sun,1,16,16.00,0,BrowAn04
Stephen Burton,WR,23.271,2013-09-08,NFL,JAX,,KAN,L 2-28,1,1,Sun,1,25,25.00,0,BurtSt00
Michael Cox,RB,24.298,2013-09-08,NFL,NYG,@,DAL,L 31-36,1,1,Sun,1,26,26.00,0,CoxxMi00
Perrish Cox,CB,26.241,2013-09-08,NFL,SFO,,GNB,W 34-28,1,1,Sun,1,30,30.00,0,CoxxPe99
Benny Cunningham,RB,23.063,2013-09-08,NFL,STL,,ARI,W 27-24,1,1,Sun,2,46,23.00,0,CunnBe01
Anthony Dixon,RB,25.349,2013-09-08,NFL,SFO,,GNB,W 34-28,1,1,Sun,1,30,30.00,0,DixoAn00
Jacoby Ford,WR,26.043,2013-09-08,NFL,OAK,@,IND,L 17-21,1,1,Sun,2,47,23.50,0,FordJa01
T.J. Graham,WR,24.066,2013-09-08,NFL,BUF,,NWE,L 21-23,1,1,Sun,1,19,19.00,0,GrahT.00
Devin Hester,KR/P,30.308,2013-09-08,NFL,CHI,,CIN,W 24-21,1,1,Sun,1,31,31.00,0,HestDe99
Jeremy Kerley,WR,24.304,2013-09-08,NFL,NYJ,,TAM,W 18-17,1,1,Sun,1,19,19.00,0,KerlJe00
Doug Martin,RB,24.238,2013-09-08,NFL,TAM,@,NYJ,L 17-18,1,1,Sun,1,40,40.00,0,MartDo00
Kevin Ogletree,WR,26.034,2013-09-08,NFL,TAM,@,NYJ,L 17-18,1,1,Sun,1,25,25.00,0,OgleKe00
Eric Page,WR,21.350,2013-09-08,NFL,TAM,@,NYJ,L 17-18,1,1,Sun,1,27,27.00,0,PageEr00
Cordarrelle Patterson,WR,22.175,2013-09-08,NFL,MIN,@,DET,L 24-34,1,1,Sun,2,54,27.00,0,PattCo00
