Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,XP Made,XP Att,XP %,FG Made,FG Att,FG %,2PM,Sfty,TD,Pts,unique_id
Matt Bryant,K,43.100,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,,1,0.0,2,2,100.0,,,0,6,bryanmat01
Jake Elliott,K,23.228,2018-09-06,NFL,PHI,,ATL,W 18-12,1,1,Thu,1,1,100.0,1,1,100.0,,,0,4,ElliJa03
Chris Boswell,K,27.177,2018-09-09,NFL,PIT,@,CLE,T 21-21,1,1,Sun,3,3,100.0,,1,0.0,,,0,3,BoswCh00
Randy Bullock,K,28.267,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,4,4,100.0,2,2,100.0,,,0,10,BullRa00
Harrison Butker,K,23.057,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,5,5,100.0,1,1,100.0,,,0,8,ButkHa00
Daniel Carlson,K,23.229,2018-09-09,NFL,MIN,,SFO,W 24-16,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,CarlDa00
Chandler Catanzaro,K,27.195,2018-09-09,NFL,TAM,@,NOR,W 48-40,1,1,Sun,6,6,100.0,2,3,66.7,,,0,12,CataCh00
Mason Crosby,K,34.006,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,CrosMa20
Ka'imi Fairbairn,K,24.223,2018-09-09,NFL,HOU,@,NWE,L 20-27,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,FairKa01
Graham Gano,K,31.153,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,1,1,100.0,1,1,100.0,,,0,4,GanoGr44
Zane Gonzalez,K,23.125,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,3,3,100.0,,1,0.0,,,0,3,GonzZa00
Stephen Gostkowski,K,34.224,2018-09-09,NFL,NWE,,HOU,W 27-20,1,1,Sun,3,3,100.0,2,2,100.0,,,0,9,GostSt20
Robbie Gould,K,35.277,2018-09-09,NFL,SFO,@,MIN,L 16-24,1,1,Sun,1,1,100.0,3,3,100.0,,,0,10,gouldrob01
Stephen Hauschka,K,33.072,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,,,,1,2,50.0,,,0,3,HausSt00
Dustin Hopkins,K,27.343,2018-09-09,NFL,WAS,@,ARI,W 24-6,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,HopkDu00
Sebastian Janikowski,K,40.191,2018-09-09,NFL,SEA,@,DEN,L 24-27,1,1,Sun,3,3,100.0,1,2,50.0,,,0,6,janikseb01
Josh Lambo,K,27.294,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,2,2,100.0,2,2,100.0,,,0,8,LambJo00
Wil Lutz,K,24.064,2018-09-09,NFL,NOR,,TAM,L 40-48,1,1,Sun,3,3,100.0,1,1,100.0,,,0,6,LutzWi00
Brett Maher,K,28.292,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,,,,,1,0.0,,,0,0,MaheBr01
