Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Khalil Mack,LB,28.195,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0,1,0,0,0,MackKh00
Preston Brown,LB,26.316,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,0,1,0,0,0,BrowPr00
Ben Burr-Kirven,LB,22.000,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,1,0,0,0,BurrBe00
Samson Ebukam,OLB,24.122,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0,1,1,0,0,EbukSa00
Dee Ford,DE,28.173,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0,1,0,0,0,FordDe00
Rasheem Green,DE,22.116,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,1,0,0,0,GreeRa01
Grady Jarrett,DT,26.133,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,0,1,0,0,0,JarrGr00
Jordan Jenkins,LB,25.069,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0,1,0,0,0,JenkJo01
Chandler Jones,LB,29.193,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0,1,1,0,0,JoneCh03
DeMarcus Lawrence,DE,27.133,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0,1,1,0,0,LawrDe00
Cory Littleton,LB,25.294,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0,1,1,3,0,LittCo01
Bradley McDougald,SS,28.297,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,1,0,0,0,McDoBr01
Terrell Suggs,LB,36.332,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0,1,0,0,0,SuggTe99
Kemoko Turay,DE,24.059,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0,1,0,0,0,TuraKe00
Leighton Vander Esch,LB,23.212,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0,1,0,0,0,VandLe00
Fred Warner,LB,22.293,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0,1,0,0,0,WarnFr00
Trae Waynes,CB,27.045,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0,1,0,0,0,WaynTr00
Damien Wilson,LB,26.103,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0,1,0,0,0,WilsDa02
Deatrich Wise,DL,25.044,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0,1,0,0,0,WiseDe00
Xavier Woods,DB,24.044,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0,1,0,0,0,WoodXa00
Benson Mayowa,DE,28.037,2019-09-09,NFL,OAK,,DEN,W 24-16,1,1,Mon,0,1,0,0,0,MayoBe00
Benardrick McKinney,ILB,26.294,2019-09-09,NFL,HOU,@,NOR,L 28-30,1,1,Mon,0,1,0,0,0,McKiBe00
Anthony Nelson,LB,22.192,2019-09-12,NFL,TAM,@,CAR,W 20-14,2,2,Thu,0,1,0,0,0,NelsAn01
Lorenzo Alexander,LB,36.107,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,0,1,0,0,0,AlexLo99
Denico Autry,DE/DT,29.062,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,0,1,0,0,0,AutrDe00
Budda Baker,S,23.248,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,0,1,0,0,0,BakeBu00
Kenny Clark,DL,23.346,2019-09-15,NFL,GNB,,MIN,W 21-16,2,2,Sun,0,1,0,0,0,ClarKe01
Minkah Fitzpatrick,S,22.315,2019-09-15,NFL,MIA,,NWE,L 0-43,2,2,Sun,0,1,1,0,0,FitzMi00
Trey Hendrickson,DE,24.284,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,0,1,0,0,0,HendTr00
Malcolm Jenkins,S,31.269,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,0,1,0,0,0,JenkMa99
Tanoh Kpassagnon,DE,25.093,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,0,1,0,0,0,KpasTa00
Clay Matthews,LB,33.124,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,0,1,0,0,0,MattCl99
Benson Mayowa,DE,28.043,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,0,1,0,0,0,MayoBe00
Whitney Mercilus,OLB,29.056,2019-09-15,NFL,HOU,,JAX,W 13-12,2,2,Sun,0,2,0,0,0,MercWh00
Al-Quadin Muhammad,DE,24.171,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,0,1,0,0,0,MuhaAl00
