Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Jaire Alexander,CB,22.208,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0,0,0,2,AlexJa00
Adrian Amos,S,26.129,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1,0,0,1,AmosAd00
Prince Amukamara,DB,30.091,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0,0,0,2,AmukPr00
Kyle Fuller,DB,27.201,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0,0,0,2,FullKy00
Raven Greene,S,24.215,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0,0,0,1,GreeRa02
Kevin King,CB,24.123,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0,0,0,1,KingKe01
Darnell Savage,S,22.037,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0,0,0,1,SavaDa00
Buster Skrine,DB,30.132,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0,0,0,1,SkriBu00
Preston Smith,LB,26.292,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0,0,0,1,SmitPr00
Tramon Williams,CB,36.173,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0,0,0,2,WillTr99
Jamal Adams,S,23.326,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0,0,0,1,AdamJa00
Lorenzo Alexander,LB,36.100,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0,0,0,1,AlexLo99
Anthony Averett,CB,24.282,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,0,0,0,1,AverAn00
Chidobe Awuzie,DB,24.107,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0,0,0,1,AwuzCh00
James Bradberry,DB,26.035,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,1,0,0,2,BradJa00
Bashaud Breeland,CB,27.221,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0,0,0,1,BreeBa00
Tramaine Brock,CB,31.019,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0,0,0,2,BrocTr00
Jayon Brown,LB,24.194,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,0,0,0,2,BrowJa06
Malcolm Butler,CB,29.190,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,1,38,1,1,ButlMa01
Kevin Byard,FS,26.022,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,1,28,0,1,ByarKe01
Brandon Carr,CB,33.112,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,0,0,0,1,CarrBr99
Lorenzo Carter,LB,23.272,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0,0,0,1,CartLo01
Patrick Chung,SS,32.020,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0,0,0,1,ChunPa99
Chuck Clark,S,24.142,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,0,0,0,1,ClarCh00
Frank Clark,DE,26.086,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,1,5,0,1,ClarFr01
Jadeveon Clowney,DE,26.206,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,0,0,1,ClowJa00
Justin Coleman,CB,26.165,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0,0,0,1,ColeJu01
Fletcher Cox,DT,28.269,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0,0,0,1,CoxxFl00
Ronald Darby,CB,25.249,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0,0,0,2,DarbRo00
Rasul Douglas,CB,24.010,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0,0,0,1,DougRa00
Mike Edwards,DB,23.113,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,0,0,0,1,EdwaMi01
Javien Elliott,DB,26.052,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0,0,0,1,ElliJa01
Tre Flowers,CB,24.098,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,0,0,1,FlowTr01
Shaquill Griffin,CB,24.050,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,0,0,2,GrifSh00
Vernon Hargreaves,DB,24.097,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,1,15,1,1,HargVe00
Anthony Harris,S,28.096,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,2,0,0,2,HarrAn01
Damon Harrison,DT,30.283,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0,0,0,2,HarrDa03
Casey Hayward,CB,29.364,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0,0,0,1,HaywCa00
Jeff Heath,DB,28.117,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0,0,0,2,HeatJe00
Neville Hewitt,LB,26.155,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,1,4,0,1,HewiNe00
Malik Hooker,S,23.159,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,1,26,0,1,HookMa00
Jerry Hughes,DE,31.026,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0,0,0,2,HughJe99
Marlon Humphrey,CB,23.062,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,1,0,0,2,HumpMa00
Donte Jackson,DB,23.304,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0,0,0,1,JackDo02
Quinton Jefferson,DE,26.161,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,0,0,2,JeffQu00
Janoris Jenkins,CB,30.314,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0,0,0,1,JenkJa03
Taron Johnson,CB,23.043,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0,0,0,1,JohnTa01
Chris Jones,CB,24.036,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0,0,0,1,JoneCh06
Christian Jones,LB,28.202,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0,0,0,2,JoneCh05
Jonathan Jones,DB,25.353,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0,0,0,2,JoneJo03
Sidney Jones,CB,23.110,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0,0,0,1,JoneSi00
Jayron Kearse,S,25.209,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0,0,0,1,KearJa00
Eric Kendricks,LB,27.191,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0,0,0,2,KendEr00
Mychal Kendricks,LB,28.345,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0,0,0,1,KendMy00
Luke Kuechly,LB,28.141,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0,0,0,1,KuecLu00
Chris Lammons,CB,23.220,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0,0,0,1,LammCh00
Harvey Langi,LB,26.349,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0,0,0,1,LangHa00
Shaq Lawson,DE,25.083,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0,0,0,1,LawsSh00
Darius Leonard,LB,24.043,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0,0,0,1,LeonDa00
Jourdan Lewis,DB,24.008,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0,0,0,1,LewiJo01
Cory Littleton,LB,25.294,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,1,26,0,2,LittCo01
Avonte Maddox,DB,23.161,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0,0,0,1,MaddAv00
Marcus Maye,S,26.183,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0,0,0,1,MayeMa00
Devin McCourty,DB,32.026,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,1,0,0,2,McCoDe99
Jason McCourty,CB,32.026,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0,0,0,3,McCoJa99
Rashaan Melvin,CB,29.341,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0,0,0,3,MelvRa00
Terrance Mitchell,CB,27.114,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0,0,0,1,MitcTe00
Tarvarius Moore,DB,23.023,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0,0,0,1,MoorTa00
C.J. Mosley,LB,27.081,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,1,17,1,2,MoslC.00
Trent Murphy,DE,28.260,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0,0,0,1,MurpTr00
Montae Nicholson,S,23.278,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0,0,0,1,NichMo00
Josh Norman,DB,31.267,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0,0,0,1,NormJo01
Mark Nzeocha,LB,29.232,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,1,1,0,1,NzeoMa00
Alec Ogletree,LB,27.348,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0,0,0,1,OgleAl00
Alex Okafor,DE,28.212,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0,0,0,1,OkafAl00
Patrick Onwuasor,ILB,27.017,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,0,0,0,1,OnwuPa00
Da'Ron Payne,DL,22.104,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0,0,0,1,PaynDa00
Damarious Randall,S,27.010,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0,0,0,1,RandDa00
Xavier Rhodes,CB,29.081,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0,0,0,1,RhodXa00
Sheldon Richardson,DT,28.283,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0,0,0,1,RichSh00
Logan Ryan,CB,28.211,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,1,0,0,1,RyanLo00
Richard Sherman,DB,31.162,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,1,31,1,2,SherRi00
John Simon,DE,28.329,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0,0,0,1,SimoJo01
Darius Slay,CB,28.250,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0,0,0,1,SlayDa00
Harrison Smith,S,30.218,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0,0,0,2,SmitHa00
D.J. Swearinger,S,28.007,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0,0,0,1,SweaDJ00
Aqib Talib,CB,33.207,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0,0,0,1,TaliAq99
Earl Thomas,S,30.124,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,1,14,0,1,ThomEa99
Shaq Thompson,LB,25.140,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0,0,0,1,ThomSh01
Leighton Vander Esch,LB,23.212,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0,0,0,1,VandLe00
Tracy Walker,DB,24.219,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,1,0,0,2,WalkTr01
Levi Wallace,CB,24.088,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0,0,0,2,WallLe00
Jihad Ward,DT,25.120,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0,0,0,1,WardJi02
Fred Warner,LB,22.293,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0,0,0,1,WarnFr00
Ahkello Witherspoon,DB,24.171,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,1,25,1,3,WithAh00
Johnathan Abram,S,22.319,2019-09-09,NFL,OAK,,DEN,W 24-16,1,1,Mon,0,0,0,1,AbraJo01
Bradley Chubb,OLB,23.077,2019-09-09,NFL,DEN,@,OAK,L 16-24,1,1,Mon,0,0,0,1,ChubBr00
Clelin Ferrell,DE,22.115,2019-09-09,NFL,OAK,,DEN,W 24-16,1,1,Mon,0,0,0,1,FerrCl00
Kareem Jackson,DB,31.152,2019-09-09,NFL,DEN,@,OAK,L 16-24,1,1,Mon,0,0,0,2,JackKa99
Josh Mauro,DE,28.204,2019-09-09,NFL,OAK,,DEN,W 24-16,1,1,Mon,0,0,0,1,MaurJo00
Whitney Mercilus,OLB,29.050,2019-09-09,NFL,HOU,@,NOR,L 28-30,1,1,Mon,1,2,0,1,MercWh00
Carlos Watkins,DE,25.278,2019-09-09,NFL,HOU,@,NOR,L 28-30,1,1,Mon,0,0,0,1,WatkCa00
Marcus Williams,S,23.001,2019-09-09,NFL,NOR,,HOU,W 30-28,1,1,Mon,1,0,0,2,WillMa06
Carlton Davis,DB,22.255,2019-09-12,NFL,TAM,@,CAR,W 20-14,2,2,Thu,0,0,0,2,DaviCa02
Vernon Hargreaves,DB,24.101,2019-09-12,NFL,TAM,@,CAR,W 20-14,2,2,Thu,0,0,0,1,HargVe00
Luke Kuechly,LB,28.145,2019-09-12,NFL,CAR,,TAM,L 14-20,2,2,Thu,0,0,0,1,KuecLu00
Anthony Nelson,LB,22.192,2019-09-12,NFL,TAM,@,CAR,W 20-14,2,2,Thu,0,0,0,1,NelsAn01
Jordan Whitehead,DB,22.178,2019-09-12,NFL,TAM,@,CAR,W 20-14,2,2,Thu,0,0,0,1,WhitJo03
Jaire Alexander,CB,22.218,2019-09-15,NFL,GNB,,MIN,W 21-16,2,2,Sun,0,0,0,2,AlexJa00
Kwon Alexander,LB,25.043,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,1,0,0,3,AlexKw00
Lorenzo Alexander,LB,36.107,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,0,0,0,1,AlexLo99
Ricardo Allen,S,27.271,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,0,0,0,1,AlleRi00
Bashaud Breeland,CB,27.228,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,1,0,0,1,BreeBa00
Anthony Brown,DB,25.274,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,0,0,0,1,BrowAn02
Jayon Brown,LB,24.201,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,0,0,0,1,BrowJa06
Vontaze Burfict,LB,28.356,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,0,0,0,1,BurfVo00
Deon Bush,DB,26.032,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,0,0,0,1,BushDe00
Adam Butler,DL,25.156,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,0,0,0,1,ButlAd00
Malcolm Butler,CB,29.197,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,0,0,0,1,ButlMa01
Brandon Carr,CB,33.119,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,0,0,0,1,CarrBr99
Jadeveon Clowney,DE,26.213,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,0,0,0,1,ClowJa00
Jamie Collins,LB,29.330,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,2,74,1,2,CollJa00
Kamalei Correa,OLB,25.141,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,0,0,0,1,CorrKa00
Fletcher Cox,DT,28.276,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,0,0,0,1,CoxxFl00
Ronald Darby,CB,25.256,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,1,13,0,3,DarbRo00
Rasul Douglas,CB,24.017,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,0,0,0,1,DougRa00
Terrell Edmunds,S,22.238,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,0,0,0,1,EdmuTe00
Tremaine Edmunds,LB,21.136,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,0,0,0,1,EdmuTr01
Kendall Fuller,CB,24.214,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,0,0,0,1,FullKe00
Kyle Fuller,DB,27.211,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,1,8,0,1,FullKy00
Nathan Gerry,LB,24.204,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,1,0,0,1,GerrNa00
Stephon Gilmore,DB,28.361,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,1,54,1,3,GilmSt00
Johnathan Hankins,DT,27.170,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,0,0,0,1,HankJo00
Duron Harmon,DB,28.234,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,0,0,0,1,HarmDu00
Chris Harris,CB,30.089,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,0,0,0,1,HarrCh01
D.J. Hayden,CB,29.080,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,0,0,0,1,HaydDJ00
Casey Hayward,CB,30.006,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,1,0,0,1,HaywCa00
Jeff Heath,DB,28.124,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,0,0,0,1,HeatJe00
Tre Herndon,CB,23.194,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,0,0,0,1,HernTr00
Cameron Heyward,DT,30.132,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,0,0,0,1,HeywCa01
Jordan Hicks,LB,27.080,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,0,0,0,1,HickJo00
Xavien Howard,CB,26.073,2019-09-15,NFL,MIA,,NWE,L 0-43,2,2,Sun,0,0,0,1,HowaXa00
Marlon Humphrey,CB,23.069,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,0,0,0,1,HumpMa00
Micah Hyde,S,28.258,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,0,0,0,1,HydeMi00
Eddie Jackson,DB,26.279,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,0,0,0,2,JackEd01
J.C. Jackson,DB,23.302,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,0,0,0,1,JackJ.00
Kareem Jackson,DB,31.158,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,0,0,0,1,JackKa99
William Jackson,CB,26.323,2019-09-15,NFL,CIN,,SFO,L 17-41,2,2,Sun,1,19,0,1,JackWi02
Rayshawn Jenkins,S,25.233,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,1,0,0,1,JenkRa00
John Johnson,S,23.270,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,1,0,0,1,JohnJo10
Lonnie Johnson,CB,22.107,2019-09-15,NFL,HOU,,JAX,W 13-12,2,2,Sun,0,0,0,1,JohnLo01
Byron Jones,DB,26.354,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,0,0,0,1,JoneBy00
Chandler Jones,LB,29.200,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,0,0,0,1,JoneCh03
Chris Jones,DT,25.074,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,0,0,0,1,JoneCh09
Christian Jones,LB,28.209,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,0,0,0,1,JoneCh05
Jonathan Jones,DB,25.360,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,0,0,0,1,JoneJo03
Sidney Jones,CB,23.117,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,1,1,0,1,JoneSi00
Johnathan Joseph,CB,35.152,2019-09-15,NFL,HOU,,JAX,W 13-12,2,2,Sun,0,0,0,2,JoseJo20
Jayron Kearse,S,25.216,2019-09-15,NFL,MIN,@,GNB,L 16-21,2,2,Sun,0,0,0,1,KearJa00
Eric Kendricks,LB,27.198,2019-09-15,NFL,MIN,@,GNB,L 16-21,2,2,Sun,0,0,0,1,KendEr00
Kevin King,CB,24.133,2019-09-15,NFL,GNB,,MIN,W 21-16,2,2,Sun,1,0,0,1,KingKe01
Dre Kirkpatrick,CB,29.324,2019-09-15,NFL,CIN,,SFO,L 17-41,2,2,Sun,0,0,0,1,KirkDr00
Cory Littleton,LB,25.301,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,0,0,0,2,LittCo01
Dean Lowry,DL,25.098,2019-09-15,NFL,GNB,,MIN,W 21-16,2,2,Sun,0,0,0,1,LowrDe00
Aaron Lynch,LB,26.191,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,0,0,0,1,LyncAa00
Khalil Mack,LB,28.205,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,0,0,0,1,MackKh00
Avonte Maddox,DB,23.168,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,0,0,0,1,MaddAv00
Devin McCourty,DB,32.033,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,1,0,0,1,McCoDe99
Bradley McDougald,SS,28.304,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,1,0,0,1,McDoBr01
Rodney McLeod,S,29.084,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,0,0,0,1,McLeRo00
Rashaan Melvin,CB,29.348,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,0,0,0,2,MelvRa00
Jimmy Moreland,CB,24.020,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,0,0,0,1,MoreJi00
Byron Murphy,CB,21.240,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,0,0,0,2,MurpBy00
Trent Murphy,DE,28.267,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,1,0,0,1,MurpTr00
Steven Nelson,CB,26.236,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,0,0,0,1,NelsSt01
Montae Nicholson,S,23.285,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,1,23,0,1,NichMo00
Josh Norman,DB,31.274,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,0,0,0,1,NormJo01
Alec Ogletree,LB,27.355,2019-09-15,NFL,NYG,,BUF,L 14-28,2,2,Sun,0,0,0,1,OgleAl00
Bobby Okereke,LB,23.048,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,0,0,0,1,OkerBo00
Ed Oliver,DT,21.277,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,0,0,0,1,OlivEd00
Isaiah Oliver,CB,22.350,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,0,0,0,2,OlivIs00
Marcus Peters,CB,26.249,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,0,0,0,1,PeteMa00
