Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Montravius Adams,DL,24.043,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,1,0,1,0,0,AdamMo00
Jaire Alexander,CB,22.208,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,3,2,5,0,0,AlexJa00
Adrian Amos,S,26.129,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,2,1,3,0,0,AmosAd00
Prince Amukamara,DB,30.091,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,2,1,3,0,0,AmukPr00
Tony Brown,CB,24.054,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,3,2,5,0,0,BrowTo01
Kenny Clark,DL,23.336,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.5,1,4,5,0,1,ClarKe01
Ha Ha Clinton-Dix,DB,26.258,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,5,0,5,0,0,ClinHa00
Kyler Fackrell,LB,27.284,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,0,1,1,0,0,FackKy00
Leonard Floyd,LB,26.362,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,2.0,4,0,4,2,2,FloyLe00
Kyle Fuller,DB,27.201,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,6,0,6,0,0,FullKy00
Eddie Goldman,NT,25.242,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,1,0,1,0,0,GoldEd00
Raven Greene,S,24.215,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,5,1,6,0,0,GreeRa02
Akiem Hicks,DT,29.293,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,1.0,2,0,2,1,2,HickAk00
Eddie Jackson,DB,26.269,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,2,0,2,1,0,JackEd01
Kevin King,CB,24.123,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1.0,5,0,5,1,1,KingKe01
Dean Lowry,DL,25.088,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,1,2,3,0,1,LowrDe00
Aaron Lynch,LB,26.181,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,1.0,1,0,1,1,1,LyncAa00
Khalil Mack,LB,28.195,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,5,0,5,1,0,MackKh00
Blake Martinez,LB,25.239,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1.0,5,2,7,1,1,MartBl01
Bilal Nichols,DT,22.356,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,0,1,1,0,0,NichBi00
Roy Robertson-Harris,DE,26.044,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,1.0,3,0,3,2,2,RobeRo00
Darnell Savage,S,22.037,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,3,0,3,0,1,SavaDa00
Buster Skrine,DB,30.132,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,1,0,1,0,0,SkriBu00
Preston Smith,LB,26.292,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1.5,2,3,5,1,3,SmitPr00
Roquan Smith,LB,22.150,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,4,1,5,1,0,SmitRo07
Za'Darius Smith,LB,26.362,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1.0,3,0,3,1,3,SmitZa00
Danny Trevathan,LB,29.165,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,0.0,4,1,5,0,0,TrevDa00
Tramon Williams,CB,36.173,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,0.0,3,0,3,0,0,WillTr99
Jamal Adams,S,23.326,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,5,1,6,0,1,AdamJa00
Matthew Adams,LB,23.270,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0.0,1,1,2,0,0,AdamMa00
Jamal Agnew,CB,24.158,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0.0,4,0,4,0,0,AgneJa00
Walt Aikens,S,28.081,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0.0,3,3,6,0,0,AikeWa00
D.J. Alexander,LB,27.343,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,0.0,1,0,1,0,0,AlexD.00
Kwon Alexander,LB,25.036,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0.0,3,0,3,0,0,AlexKw00
