Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Davante Adams,WR,26.255,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,8,4,36,9.00,0,50.0%,4.50,AdamDa01
Tarik Cohen,RB,24.041,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,10,8,49,6.13,0,80.0%,4.90,CoheTa00
Mike Davis,RB,26.198,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,7,6,17,2.83,0,85.7%,2.43,DaviMi01
Trevor Davis,WR,26.063,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1,1,28,28.00,0,100.0%,28.00,DaviTr03
Taylor Gabriel,WR,28.200,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,5,2,24,12.00,0,40.0%,4.80,GabrTa00
Jimmy Graham,TE,32.285,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,5,3,30,10.00,1,60.0%,6.00,GrahJi00
Aaron Jones,RB,24.277,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1,1,0,0.00,0,100.0%,0.00,JoneAa00
Marcedes Lewis,TE,35.109,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,3,2,14,7.00,0,66.7%,4.67,LewiMa00
David Montgomery,RB,22.090,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,1,1,27,27.00,0,100.0%,27.00,MontDa01
Cordarrelle Patterson,WR,28.172,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,3,1,3,3.00,0,33.3%,1.00,PattCo00
Allen Robinson,WR,26.012,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,13,7,102,14.57,0,53.8%,7.85,RobiAl02
Adam Shaheen,TE,24.316,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,2,1,6,6.00,0,50.0%,3.00,ShahAd00
Robert Tonyan,TE,25.128,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1,1,28,28.00,0,100.0%,28.00,TonyRo00
Marquez Valdes-Scantling,WR,24.330,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,6,4,52,13.00,0,66.7%,8.67,ValdMa00
Jamaal Williams,RB,24.155,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,2,2,15,7.50,0,100.0%,7.50,WillJa06
Nelson Agholor,WR,26.107,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,5,2,11,5.50,0,40.0%,2.20,AghoNe00
Mo Alie-Cox,TE,25.354,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,1,1,3,3.00,0,100.0%,3.00,AlieMo00
Keenan Allen,WR,27.134,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,10,8,123,15.38,1,80.0%,12.30,AlleKe00
Danny Amendola,WR,33.310,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,13,7,104,14.86,1,53.8%,8.00,AmenDa00
Robby Anderson,WR,26.122,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,7,3,23,7.67,0,42.9%,3.29,AndeRo04
Mark Andrews,TE,23.002,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,8,8,108,13.50,1,100.0%,13.50,AndrMa00
Tavon Austin,WR,29.177,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,1,1,8,8.00,0,100.0%,8.00,AustTa00
Kalen Ballage,RB,23.260,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,1,1,13,13.00,0,100.0%,13.00,BallKa00
Peyton Barber,RB,25.193,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,4,2,12,6.00,0,50.0%,3.00,BarbPe01
Saquon Barkley,RB,22.211,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,6,4,19,4.75,0,66.7%,3.17,BarkSa00
Nick Bawden,FB,23.078,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,1,1,0,0.00,0,100.0%,0.00,BawdNi00
Cole Beasley,WR,30.135,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,9,5,40,8.00,0,55.6%,4.44,BeasCo00
Odell Beckham,WR,26.307,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,11,7,71,10.14,0,63.6%,6.45,BeckOd00
Chad Beebe,WR,25.099,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,1,1,9,9.00,0,100.0%,9.00,BeebCh00
Blake Bell,TE,28.032,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,1,1,7,7.00,0,100.0%,7.00,BellBl00
Le'Veon Bell,RB,27.202,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,9,6,32,5.33,1,66.7%,3.56,BellLe00
Josh Bellamy,WR,30.113,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,1,1,15,15.00,0,100.0%,15.00,BellJo02
Travis Benjamin,WR/PR,29.253,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,3,2,12,6.00,0,66.7%,4.00,BenjTr00
Giovani Bernard,HB,27.290,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,3,2,42,21.00,0,66.7%,14.00,BernGi00
Kendrick Bourne,WR,24.035,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,3,1,9,9.00,0,33.3%,3.00,BourKe00
Tyler Boyd,WR,24.297,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,11,8,60,7.50,0,72.7%,5.45,BoydTy00
Miles Boykin,WR,22.331,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,1,1,5,5.00,1,100.0%,5.00,BoykMi00
Nick Boyle,TE,26.203,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,3,3,26,8.67,0,100.0%,8.67,BoylNi00
Cameron Brate,TE,28.067,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,2,2,8,4.00,0,100.0%,4.00,BratCa00
A.J. Brown,WR,22.070,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,4,3,100,33.33,0,75.0%,25.00,BrowAJ00
John Brown,WR,29.158,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,10,7,123,17.57,1,70.0%,12.30,BrowJo02
Marquise Brown,WR,22.096,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,5,4,147,36.75,2,80.0%,29.40,BrowMa04
Rex Burkhead,RB,29.068,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,8,5,41,8.20,0,62.5%,5.13,BurkRe00
Damiere Byrd,WR,26.224,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,7,4,42,10.50,0,57.1%,6.00,ByrdDa00
Deon Cain,WR,23.030,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,2,2,35,17.50,0,100.0%,17.50,CainDe00
