Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,unique_id
Jamal Agnew,CB,24.158,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,3,48,16.00,0,AgneJa00
Corey Ballentine,CB,23.148,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,2,46,23.00,0,BallCo00
Kenjon Barner,RB,29.133,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,2,44,22.00,0,BarnKe00
Chad Beebe,WR,25.099,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,1,13,13.00,0,BeebCh00
Braxton Berrios,WR,23.337,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,1,10,10.00,0,BerrBr00
Brandon Bolden,RB,29.225,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,2,35,17.50,0,BoldBr00
Parris Campbell,WR,22.054,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,2,44,22.00,0,CampPa00
Randall Cobb,WR,29.017,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,1,0,0.00,0,CobbRa00
Tyler Ervin,RB,25.336,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,2,38,19.00,0,ErviTy00
Jakeem Grant,WR,26.343,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,3,59,19.67,0,GranJa00
Mecole Hardman,WR,21.180,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,2,45,22.50,0,HardMe00
Justice Hill,RB,21.298,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,1,9,9.00,0,HillJu00
Dontrell Hilliard,RB,24.194,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,3,80,26.67,0,HillDo00
Andy Isabella,WR,22.294,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,4,86,21.50,0,IsabAn00
