Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Tarik Cohen,RB,24.041,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,4,36,9.00,0,CoheTa00
Trevor Davis,WR,26.063,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,1,1,1.00,0,DaviTr03
Jamal Agnew,CB,24.158,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,5,-2,-0.40,0,AgneJa00
Kenjon Barner,RB,29.133,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,4,46,11.50,0,BarnKe00
Alex Erickson,WR,26.306,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,4,34,8.50,0,EricAl01
Jakeem Grant,WR,26.343,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,1,0,0.00,0,GranJa00
Tyreek Hill,WR,25.191,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,1,0,0.00,0,HillTy00
Dontrell Hilliard,RB,24.194,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,1,18,18.00,0,HillDo00
Micah Hyde,S,28.251,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,1,10,10.00,0,HydeMi00
Cyrus Jones,CB/RS,25.283,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,2,29,14.50,0,JoneCy00
Desmond King,DB,24.268,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,1,0,0.00,0,KingDe01
Christian Kirk,WR,22.294,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,3,18,6.00,0,KirkCh01
Ray-Ray McCloud,WR,22.328,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,2,24,12.00,0,McClRa00
Jojo Natson,WR,25.219,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,2,19,9.50,0,NatsJo00
Gunner Olszewski,WR,22.286,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,2,35,17.50,0,OlszGu00
Jabrill Peppers,S,23.339,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,2,7,3.50,0,PeppJa00
Trey Quinn,WR,23.275,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,1,11,11.00,0,QuinTr00
Chester Rogers,WR,25.239,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,1,5,5.00,0,RogeCh02
Darren Sproles,RB,36.080,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,4,46,11.50,0,SproDa00
Bobo Wilson,WR,24.226,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,1,0,0.00,0,WilsJe00
Deonte Harris,WR,21.279,2019-09-09,NFL,NOR,,HOU,W 30-28,1,1,Mon,3,20,6.67,0,HarrDe07
Dwayne Harris,WR/RS,31.358,2019-09-09,NFL,OAK,,DEN,W 24-16,1,1,Mon,1,7,7.00,0,HarrDw00
Ray-Ray McCloud,WR,22.332,2019-09-12,NFL,CAR,,TAM,L 14-20,2,2,Thu,4,39,9.75,0,McClRa00
Bobo Wilson,WR,24.230,2019-09-12,NFL,TAM,@,CAR,W 20-14,2,2,Thu,3,21,7.00,0,WilsJe00
Jamal Agnew,CB,24.165,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,2,6,3.00,0,AgneJa00
Danny Amendola,WR,33.317,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,2,11,5.50,0,AmenDa00
Kenjon Barner,RB,29.140,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,3,12,4.00,0,BarnKe00
Chad Beebe,WR,25.106,2019-09-15,NFL,MIN,@,GNB,L 16-21,2,2,Sun,4,25,6.25,0,BeebCh00
DeAndre Carter,WR,26.158,2019-09-15,NFL,HOU,,JAX,W 13-12,2,2,Sun,1,5,5.00,0,CartDe02
Randall Cobb,WR,29.024,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,1,4,4.00,0,CobbRa00
Tarik Cohen,RB,24.051,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,1,7,7.00,0,CoheTa00
Trevor Davis,WR,26.073,2019-09-15,NFL,GNB,,MIN,W 21-16,2,2,Sun,2,0,0.00,0,DaviTr03
Tyler Ervin,RB,25.343,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,2,6,3.00,0,ErviTy00
Jakeem Grant,WR,26.350,2019-09-15,NFL,MIA,,NWE,L 0-43,2,2,Sun,2,5,2.50,0,GranJa00
Mecole Hardman,WR,21.187,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,1,20,20.00,0,HardMe00
Deonte Harris,WR/RS,21.285,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,3,34,11.33,0,HarrDe07
Dwayne Harris,WR/RS,31.364,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,1,11,11.00,0,HarrDw00
Micah Hyde,S,28.258,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,2,6,3.00,0,HydeMi00
Adoree' Jackson,CB,23.362,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,2,26,13.00,0,JackAd00
Richie James,WR,24.010,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,2,4,2.00,0,JameRi00
Diontae Johnson,WR,23.072,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,1,11,11.00,0,JohnDi01
Cyrus Jones,CB/RS,25.290,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,3,45,15.00,0,JoneCy00
T.J. Jones,WR,27.058,2019-09-15,NFL,NYG,,BUF,L 14-28,2,2,Sun,3,75,25.00,0,JoneT.00
Desmond King,DB,24.275,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,1,0,0.00,0,KingDe01
Christian Kirk,WR,22.301,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,1,0,0.00,0,KirkCh01
Tyler Lockett,WR,26.352,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,2,10,5.00,0,LockTy00
Jojo Natson,WR,25.226,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,2,42,21.00,0,NatsJo00
Gunner Olszewski,WR,22.293,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,3,9,3.00,0,OlszGu00
Trey Quinn,WR,23.282,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,1,9,9.00,0,QuinTr00
Jalen Richard,RB,25.335,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,1,-1,-1.00,0,RichJa01
